GEOLOGICAL_GROUP_ID,COUPLING_DEPENDENCY_BLOCK,MINERALIZATION_LABEL,N_RECORDS,P_U,P_U_SD_MEDIAN,P_S_RAW,P_S_CALIBRATED,TASK_A_REFERENCE_COUNT,TASK_B_REPORTED_TYPE_MODE,TASK_A_SHAP::Rb,TASK_B_S_SHAP::Rb,COMMON_VALUE::Rb,TASK_A_IMPUTED_FRACTION::Rb,TASK_A_SHAP::CaO,TASK_B_S_SHAP::CaO,COMMON_VALUE::CaO,TASK_A_IMPUTED_FRACTION::CaO,TASK_A_SHAP::Nb,TASK_B_S_SHAP::Nb,COMMON_VALUE::Nb,TASK_A_IMPUTED_FRACTION::Nb,TASK_A_SHAP::Zr,TASK_B_S_SHAP::Zr,COMMON_VALUE::Zr,TASK_A_IMPUTED_FRACTION::Zr,TASK_A_SHAP::P2O5,TASK_B_S_SHAP::P2O5,COMMON_VALUE::P2O5,TASK_A_IMPUTED_FRACTION::P2O5,TASK_A_SHAP::Ba,TASK_B_S_SHAP::Ba,COMMON_VALUE::Ba,TASK_A_IMPUTED_FRACTION::Ba,SHAP_VECTOR_COSINE,TASK_A_SIGNED_SHARE::Rb,TASK_B_S_SIGNED_SHARE::Rb,TASK_A_SIGNED_SHARE::CaO,TASK_B_S_SIGNED_SHARE::CaO,TASK_A_SIGNED_SHARE::Nb,TASK_B_S_SIGNED_SHARE::Nb,TASK_A_SIGNED_SHARE::Zr,TASK_B_S_SIGNED_SHARE::Zr,TASK_A_SIGNED_SHARE::P2O5,TASK_B_S_SIGNED_SHARE::P2O5,TASK_A_SIGNED_SHARE::Ba,TASK_B_S_SIGNED_SHARE::Ba
GG0001,CCB0001,1,7,0.3021931052207947,0.1966994296906484,0.6244234442710876,0.4908282532585865,1,S,0.24967672,0.30217358,414.09,0.0,0.5426409,0.0028099045,0.55,0.0,0.055171132,-0.025742302,23.65,0.0,-0.35681602,-0.07697864,140.07,0.0,0.40069604,0.17982072,0.18,0.0,-0.45293936,-0.0043907594,278.96,0.0,0.5312178609588291,0.12132360473694082,0.5105008616731616,0.26368157217740534,0.0047471346385388625,0.02680890958379134,-0.04348979600549707,-0.17338503074811448,-0.13004996019317142,0.19470733185143344,0.3037943704631236,-0.22009355090231458,-0.007417877026507526
GG0002,CCB0002,0,35,0.0044327550567686,0.0031416573462785,0.2710093259811401,0.3293901137052019,2,I,-0.89540786,-0.15784231,168.0,0.0,-0.30832872,-0.04533722,3.57,0.0,-0.0010117441,-0.0020534815,16.4,0.0,-0.35242978,-0.02312652,134.0,0.0,-0.0011460012,0.29678392,0.16,0.0,-0.6079588,-0.34206358,602.0,0.0,0.6524741985391035,-0.4133383769078852,-0.18201225804982418,-0.14233077279317807,-0.05227958071509248,-0.0004670415380764349,-0.0023679253343323473,-0.16268871398917925,-0.026667818825221325,-0.0005290173306525238,0.3422296051805018,-0.2806460774410285,-0.39444281189502783
GG0003,CCB0003,1,25,0.4601953327655792,0.199526084852037,0.536250650882721,0.4425518440001846,2,S,0.28615567,0.31416544,419.0,0.0,-0.11672038,0.0045112604,0.82,0.0,0.25893596,0.08090419,19.8,0.0,-0.25822067,-0.024650788,106.0,0.0,-0.36196265,-0.11372034,0.04,0.0,0.109184206,0.19069913,6.33,0.0,0.7434939199365562,0.20569284020865583,0.43116028937833484,-0.08390029969503518,0.006191248596678942,0.1861269184166608,0.11103281752544068,-0.18561275760456555,-0.033830713166553214,-0.2601839954034516,-0.15606966413174736,0.07848318867163094,0.26171526720124494
GG0004,CCB0004,0,34,0.0024644802324473502,0.00223491407217085,0.26197871565818787,0.32838915587550377,4,I,-0.39325652499999997,-0.148466685,215.0,0.0,-0.38200726500000004,-0.034437459000000004,1.225,0.0,0.208853735,0.38344097,10.5,0.0,-0.18139165499999998,-0.07389113,163.5,0.0,0.0819063625,-0.13347647499999998,0.09,0.0,-0.253025155,-0.13282127999999999,492.5,0.0,0.6103671733918965,-0.26209401388221143,-0.16377398438864288,-0.25459670991095606,-0.037988050131586966,0.13919492809545045,0.4229747261801265,-0.1208922520578325,-0.0815094967000791,0.0545882037433872,-0.1472382449497076,-0.16863389231016243,-0.14651549764985705
GG0005,CCB0005,0,55,0.1952438503503799,0.218293441308557,0.798623263835907,0.6901139589466854,2,S,0.5152363,0.665801,458.0,0.0,0.33058748,0.03750204,0.73,0.0,0.22039598,0.10796779,11.9,0.0,-0.061585378,-0.004290164,86.0,0.0,0.48963115,0.24375789,0.22,0.0,0.36244237,0.046816725,142.0,0.0,0.8021938997523788,0.26023630181481555,0.6019162520243935,0.1669736065208901,0.03390365493603777,0.11131792299970333,0.09760809535605501,-0.031105632535183378,-0.0038785154054289195,0.24730361531075204,0.2203689023449565,0.18306292081865555,0.04232457993312825
GG0006,CCB0006,0,10,0.6913545429706573,0.15314329052044456,0.0648476015776395,0.1659927966391063,1,S,0.31594689,0.27552466,444.5543658966093,1.0,-0.33351552500000003,0.0039032969000000004,0.98,0.0,-0.047386576,-0.122105662,29.34491217706762,1.0,-0.33089267499999997,-0.101328167,140.47553575044776,1.0,-0.189151525,-0.143701195,0.05,0.0,0.0905118715,-0.00486797,200.2286784615555,1.0,0.7183007057621243,0.24165952776399016,0.4229529770105984,-0.2550973180127181,0.005991881249436041,-0.03624475486532699,-0.18744221752328777,-0.25309116852222685,-0.15554705661437737,-0.14467706331066774,-0.22059313393302266,0.0692301675250703,-0.007472733669277672
GG0007,CCB0007,0,11,0.2343038916587829,0.1044100835827614,0.2792059779167175,0.2883934868781014,1,I,0.068972565,0.2837072,322.0,0.0,0.16868414,0.014573684,0.75,0.0,-0.4541198,-0.3868097,39.1,0.0,0.04794541,-0.04777316,97.0,0.0,-0.81237507,-0.08786552,0.02,0.0,0.15186892,0.19605699,146.0,0.0,0.584068753662753,0.04047766730402977,0.27902344163673165,0.09899502067795189,0.014333085191373959,-0.26650756254421654,-0.38042380930928676,0.028137540698034095,-0.04698446680613761,-0.47675547240483074,-0.08641493691947572,0.08912673637093695,0.19282026013699435
GG0008,CCB0008,0,45,0.03331233933568,0.0237522932298073,0.4424419403076172,0.4153198652806943,2,I,-0.00918216,-0.34190133,239.0,0.0,-0.40720952,0.07451123,1.54,0.0,0.19910313,0.12625042,11.4,0.0,-0.17227066,-0.09019595,170.0,0.0,0.10741641,-0.07697434,0.09,0.0,-0.27729782,-0.035258595,658.0,0.0,0.0671721905611892,-0.007831402112974749,-0.45887137688719765,-0.34730624334050303,0.10000274261483179,0.16981371191330646,0.16944275723638452,-0.14692847987048305,-0.12105346231367053,0.09161472902260057,-0.103308522902743,-0.2365054337401321,-0.04732113804517245
GG0009,CCB0009,0,55,0.0001209818874485,0.0001756082546126,0.3245172202587127,0.3417535496080853,5,I,-0.7123952,-0.33246118,85.2,0.0,-0.43255553,0.031472493,2.88,0.0,0.7950439,0.32455105,9.1,0.0,-0.42601326,-0.03546589,124.0,0.0,0.41047958,0.12994505,0.22,0.0,-0.72379285,-0.36566278,1122.0,0.0,0.9041009556720159,-0.20352518509146145,-0.2726078294224068,-0.1235773967954658,0.02580646559469557,0.227137208256509,0.26612176879497035,-0.12170832649197649,-0.029080926956445992,0.11727048763911571,0.10655090024250688,-0.2067813957254715,-0.2998321089889745
GG0010,CCB0010,1,15,0.947985827922821,0.0203538886500896,0.9649322628974916,0.804169721727208,2,S,0.7639486,0.13872781,500.0,0.0,-0.29021823,0.11905642,0.8,0.0,0.22127582,0.12509839,19.95,0.0,0.019459419,0.0805606,88.2,0.0,0.16889812,0.31155217,0.12,0.0,0.1521811,0.52334857,137.0,0.0,0.4067728544393711,0.4727459440280685,0.1068498135116676,-0.1795925682899414,0.09169867436361008,0.13692969188828277,0.09635227170464135,0.012041859105956518,0.06204873475900793,0.1045173735300595,0.23996119641516261,0.09417256315769139,0.40308930924591047
