joint_state,feature,median_robust_z,geological_groups,dependency_blocks,u_median_threshold,s_median_threshold
low S / low U,Rb,-0.5420031314526742,21,20,0.18200341984629625,0.402412474155426
low S / low U,CaO,0.03445402329808514,21,20,0.18200341984629625,0.402412474155426
low S / low U,Nb,-0.2311312284066293,21,20,0.18200341984629625,0.402412474155426
low S / low U,Zr,0.24981139239873898,21,20,0.18200341984629625,0.402412474155426
low S / low U,P2O5,-0.8993210126354603,21,20,0.18200341984629625,0.402412474155426
low S / low U,Ba,0.670102506342651,21,20,0.18200341984629625,0.402412474155426
high S / low U,Rb,-0.7867243567109931,13,13,0.18200341984629625,0.402412474155426
high S / low U,CaO,1.2403448387310636,13,13,0.18200341984629625,0.402412474155426
high S / low U,Nb,-0.7088597153734918,13,13,0.18200341984629625,0.402412474155426
high S / low U,Zr,0.42275774098248137,13,13,0.18200341984629625,0.402412474155426
high S / low U,P2O5,0.22483025315886507,13,13,0.18200341984629625,0.402412474155426
high S / low U,Ba,0.8041745264180457,13,13,0.18200341984629625,0.402412474155426
low S / high U,Rb,0.012698312466181855,13,13,0.18200341984629625,0.402412474155426
low S / high U,CaO,0.1205890815432978,13,13,0.18200341984629625,0.402412474155426
low S / high U,Nb,0.3308012005076297,13,13,0.18200341984629625,0.402412474155426
low S / high U,Zr,0.8359073514880881,13,13,0.18200341984629625,0.402412474155426
low S / high U,P2O5,-0.14988683543924333,13,13,0.18200341984629625,0.402412474155426
low S / high U,Ba,0.24866767759016642,13,13,0.18200341984629625,0.402412474155426
high S / high U,Rb,0.5402085091341137,21,21,0.18200341984629625,0.402412474155426
high S / high U,CaO,-0.18949712813946806,21,21,0.18200341984629625,0.402412474155426
high S / high U,Nb,0.07647092687059494,21,21,0.18200341984629625,0.402412474155426
high S / high U,Zr,-0.526525550132727,21,21,0.18200341984629625,0.402412474155426
high S / high U,P2O5,0.0999245569594955,21,21,0.18200341984629625,0.402412474155426
high S / high U,Ba,-0.30392716149909227,21,21,0.18200341984629625,0.402412474155426
