feature,task,bin,x_median,y_median_standardized_shap,ci_low,ci_high,geological_groups,dependency_blocks
Rb,Task A prospectivity,1,144.5,-1.4546319244642956,-1.6884577414568795,-1.2266920133656747,14,14
Rb,Task A prospectivity,2,233.0,-0.6217695709441051,-1.0947005474754223,-0.3503081704304469,13,13
Rb,Task A prospectivity,3,319.66499999999996,0.2484808117495069,0.09388792369788686,0.39093513776504485,14,14
Rb,Task A prospectivity,4,419.0,0.618242998733237,0.4934763434637264,0.8347413360956613,13,13
Rb,Task A prospectivity,5,712.7600648371036,0.3030302539947888,-0.5505245520095878,0.88460776027271,14,14
Rb,Task B S-type,1,144.5,-1.1066616487161594,-1.1287918785898814,-0.6428331783355927,14,14
Rb,Task B S-type,2,233.0,-0.8736458800659217,-1.0838895412239404,-0.5847241000854695,13,13
Rb,Task B S-type,3,319.66499999999996,0.36633836556413113,-0.14663288089969892,0.5859849097525844,14,14
Rb,Task B S-type,4,419.0,0.6782323066803044,0.5632131640461855,1.2147461225011373,13,13
Rb,Task B S-type,5,712.7600648371036,0.46338803788949456,0.0,0.8725569882374011,14,14
CaO,Task A prospectivity,1,0.395,3.0274425094992026,2.4540680771902554,4.509550988980449,14,14
CaO,Task A prospectivity,2,0.694,2.0860736969604172,1.4791903364368195,2.8478256991738085,13,13
CaO,Task A prospectivity,3,0.91,0.037815317625685255,-0.21515521805180135,0.38079081617227334,14,14
CaO,Task A prospectivity,4,1.54,-0.5010601670691067,-0.5923997244594876,-0.2662253275116888,13,13
CaO,Task A prospectivity,5,3.16,-0.5348089121818458,-1.3954746221826666,-0.27730619661181755,14,14
CaO,Task B S-type,1,0.395,-1.2756748873980976,-1.9675589904819781,-0.19467750203048254,14,14
CaO,Task B S-type,2,0.694,0.17553400425202495,-0.1255480668815776,0.7260207243724629,13,13
CaO,Task B S-type,3,0.91,0.22492439727155794,-0.1252378022212307,1.4343893856852659,14,14
CaO,Task B S-type,4,1.54,0.9126296267592929,0.139913327880457,2.1654990656290884,13,13
CaO,Task B S-type,5,3.16,-0.30212706536587963,-1.411474274736679,0.2671083307927963,14,14
Nb,Task A prospectivity,1,8.32,2.6808404548642826,0.4472228649379138,3.640757044459791,14,14
Nb,Task A prospectivity,2,13.227744638298741,-0.04085257413277327,-0.3467406934258166,0.2963835683604037,13,13
Nb,Task A prospectivity,3,19.65,0.4188747958214135,0.12261436500903214,0.6680447210297117,14,14
Nb,Task A prospectivity,4,26.3,-0.4629142702264509,-1.5752070730522485,0.141107076212357,13,13
Nb,Task A prospectivity,5,44.79,-3.3154581100614866,-4.4109738645413055,-2.7569838380013505,14,14
Nb,Task B S-type,1,8.32,1.4221566994806143,0.5018901675991897,1.6114412061922103,14,14
Nb,Task B S-type,2,13.227744638298741,0.16396919907768193,0.034771750138295775,0.23769306617860367,13,13
Nb,Task B S-type,3,19.65,0.010858562513734904,-0.11775282894807111,0.5425020822502878,14,14
Nb,Task B S-type,4,26.3,-0.687685938524564,-1.3423460410818366,-0.08985180273984623,13,13
Nb,Task B S-type,5,44.79,-3.0514910491576064,-3.749542499366736,-1.8429247259745047,14,14
Zr,Task A prospectivity,1,60.050000000000004,2.071313293510493,1.2512268556262856,3.468487635091757,14,14
