class,omitted_source_block,remaining_groups,rank_spearman_vs_full,top10_jaccard_vs_full,maximum_primary_bridge_direction_change,primary_bridge_direction_sign_flips,sensitivity_definition,analysis_protocol_hash
S,RCB0001,70,0.999013389711064,1.0,0.0165304429624222,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0002,69,0.9995771670190272,1.0,0.0309504397882697,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0003,70,0.9998590556730091,1.0,0.0031872393782987,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0004,70,0.9987315010570824,1.0,0.0106594929213854,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0005,70,0.9997181113460184,1.0,0.0069676805201734,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0006,70,0.9995771670190272,1.0,0.0032922170705392,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0007,69,0.9984496124031008,1.0,0.011451160563794,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0008,70,0.9995771670190272,1.0,0.0056163065348614,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0009,70,0.9994362226920366,1.0,0.006854745057824,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0010,69,0.9981677237491192,1.0,0.0113470250316907,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0011,70,0.9994362226920366,1.0,0.0079570397558162,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0012,70,0.9994362226920366,1.0,0.011753832604456,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0013,70,0.9998590556730091,1.0,0.0071559793543871,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0014,70,0.998872445384073,1.0,0.0284457237454808,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0015,70,0.9994362226920366,1.0,0.0049018750182252,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,RCB0016,70,0.999154334038055,1.0,0.0468252570602725,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
