evaluation_unit,class,bin,lower_probability,upper_probability,n_units,mean_predicted_probability,observed_class_fraction
record,I,1,0.0,0.1,451,0.04934653205520359,0.2017738359201774
record,I,2,0.1,0.2,342,0.14638562949254494,0.19005847953216373
record,I,3,0.2,0.30000000000000004,241,0.24968593626348803,0.15767634854771784
record,I,4,0.30000000000000004,0.4,194,0.3458745969632237,0.20103092783505155
record,I,5,0.4,0.5,126,0.4441119943346296,0.3333333333333333
record,I,6,0.5,0.6000000000000001,110,0.5522160280834545,0.44545454545454544
record,I,7,0.6000000000000001,0.7000000000000001,116,0.6468523822981735,0.49137931034482757
record,I,8,0.7000000000000001,0.8,71,0.7424515897119549,0.5070422535211268
record,I,9,0.8,0.9,43,0.8420392233271932,0.6511627906976745
record,I,10,0.9,1.0,15,0.9224094192186991,0.8666666666666667
record,A,1,0.0,0.1,959,0.03914326379814679,0.03023983315954119
record,A,2,0.1,0.2,219,0.13785880208695858,0.045662100456621
record,A,3,0.2,0.30000000000000004,132,0.2528878195267735,0.12121212121212122
record,A,4,0.30000000000000004,0.4,69,0.3510896883149078,0.2028985507246377
record,A,5,0.4,0.5,48,0.446470079322656,0.1875
record,A,6,0.5,0.6000000000000001,57,0.5511492584881029,0.3333333333333333
record,A,7,0.6000000000000001,0.7000000000000001,70,0.644478622504643,0.4
record,A,8,0.7000000000000001,0.8,55,0.7496933232654225,0.45454545454545453
record,A,9,0.8,0.9,56,0.8546590177076203,0.5178571428571429
record,A,10,0.9,1.0,44,0.9424265609546141,0.7727272727272727
record,S,1,0.0,0.1,178,0.05625757454172443,0.14606741573033707
record,S,2,0.1,0.2,184,0.14468606500683917,0.391304347826087
record,S,3,0.2,0.30000000000000004,157,0.251455981925035,0.43312101910828027
record,S,4,0.30000000000000004,0.4,178,0.3501106495602747,0.5337078651685393
record,S,5,0.4,0.5,143,0.448754630722366,0.6223776223776224
record,S,6,0.5,0.6000000000000001,165,0.5457296331723531,0.7454545454545455
record,S,7,0.6000000000000001,0.7000000000000001,142,0.6495092842780369,0.7816901408450704
record,S,8,0.7000000000000001,0.8,182,0.7476067949127365,0.8296703296703297
record,S,9,0.8,0.9,206,0.8535389211571333,0.7669902912621359
record,S,10,0.9,1.0,174,0.9441409926304872,0.8333333333333334
geological_group_by_reported_type_stratum,I,1,0.0,0.1,9,0.06334831235023324,0.3333333333333333
geological_group_by_reported_type_stratum,I,2,0.1,0.2,17,0.1482086659679588,0.17647058823529413
geological_group_by_reported_type_stratum,I,3,0.2,0.30000000000000004,12,0.253381940344107,0.0
geological_group_by_reported_type_stratum,I,4,0.30000000000000004,0.4,12,0.3462962279802571,0.4166666666666667
geological_group_by_reported_type_stratum,I,5,0.4,0.5,6,0.4391948497895834,0.16666666666666666
geological_group_by_reported_type_stratum,I,6,0.5,0.6000000000000001,7,0.5495509198683054,0.42857142857142855
geological_group_by_reported_type_stratum,I,7,0.6000000000000001,0.7000000000000001,7,0.6461013469770734,0.5714285714285714
geological_group_by_reported_type_stratum,I,8,0.7000000000000001,0.8,1,0.7909707665443421,1.0
geological_group_by_reported_type_stratum,A,1,0.0,0.1,27,0.05024493911391564,0.0
geological_group_by_reported_type_stratum,A,2,0.1,0.2,15,0.1315403059705324,0.06666666666666667
geological_group_by_reported_type_stratum,A,3,0.2,0.30000000000000004,6,0.24314232622818602,0.16666666666666666
geological_group_by_reported_type_stratum,A,4,0.30000000000000004,0.4,5,0.31322009140456264,0.2
geological_group_by_reported_type_stratum,A,5,0.4,0.5,2,0.45696597030598735,0.5
geological_group_by_reported_type_stratum,A,6,0.5,0.6000000000000001,6,0.5341168802315366,0.8333333333333334
geological_group_by_reported_type_stratum,A,7,0.6000000000000001,0.7000000000000001,4,0.6548749726239799,0.25
geological_group_by_reported_type_stratum,A,8,0.7000000000000001,0.8,2,0.7353485456627349,1.0
geological_group_by_reported_type_stratum,A,9,0.8,0.9,2,0.8118264690041542,0.5
geological_group_by_reported_type_stratum,A,10,0.9,1.0,2,0.9349402209122977,0.5
geological_group_by_reported_type_stratum,S,1,0.0,0.1,6,0.04969070989172902,0.16666666666666666
geological_group_by_reported_type_stratum,S,2,0.1,0.2,6,0.1535714670229514,0.16666666666666666
geological_group_by_reported_type_stratum,S,3,0.2,0.30000000000000004,10,0.2609166741513607,0.2
geological_group_by_reported_type_stratum,S,4,0.30000000000000004,0.4,14,0.3330310418292339,0.2857142857142857
geological_group_by_reported_type_stratum,S,5,0.4,0.5,4,0.4335401887143996,0.5
geological_group_by_reported_type_stratum,S,6,0.5,0.6000000000000001,10,0.5469365348958241,1.0
geological_group_by_reported_type_stratum,S,7,0.6000000000000001,0.7000000000000001,11,0.6433939981487927,0.8181818181818182
geological_group_by_reported_type_stratum,S,8,0.7000000000000001,0.8,7,0.7571874802858524,0.8571428571428571
geological_group_by_reported_type_stratum,S,10,0.9,1.0,3,0.9296971088994748,0.6666666666666666
