feature,excluded_from_all_Task_B_models,exclusion_policy
SiO2,False,eligible_for_fold-wise_screening
TiO2,False,eligible_for_fold-wise_screening
Al2O3,False,eligible_for_fold-wise_screening
Fe2O3,False,eligible_for_fold-wise_screening
FeO,False,eligible_for_fold-wise_screening
MnO,False,eligible_for_fold-wise_screening
MgO,False,eligible_for_fold-wise_screening
CaO,False,eligible_for_fold-wise_screening
Na2O,False,eligible_for_fold-wise_screening
K2O,False,eligible_for_fold-wise_screening
P2O5,False,eligible_for_fold-wise_screening
Rb,False,eligible_for_fold-wise_screening
Sr,False,eligible_for_fold-wise_screening
Y,False,eligible_for_fold-wise_screening
Zr,False,eligible_for_fold-wise_screening
Nb,False,eligible_for_fold-wise_screening
Ba,False,eligible_for_fold-wise_screening
La,False,eligible_for_fold-wise_screening
Ce,False,eligible_for_fold-wise_screening
Pr,False,eligible_for_fold-wise_screening
Nd,False,eligible_for_fold-wise_screening
Sm,False,eligible_for_fold-wise_screening
Eu,False,eligible_for_fold-wise_screening
Gd,False,eligible_for_fold-wise_screening
Tb,False,eligible_for_fold-wise_screening
Dy,False,eligible_for_fold-wise_screening
Ho,False,eligible_for_fold-wise_screening
Er,False,eligible_for_fold-wise_screening
Tm,False,eligible_for_fold-wise_screening
Yb,False,eligible_for_fold-wise_screening
Lu,False,eligible_for_fold-wise_screening
Hf,False,eligible_for_fold-wise_screening
Ta,False,eligible_for_fold-wise_screening
Th,True,frozen_before_model fitting
U,True,frozen_before_model fitting
Li,False,eligible_for_fold-wise_screening
Be,False,eligible_for_fold-wise_screening
Sc,False,eligible_for_fold-wise_screening
Ti,False,eligible_for_fold-wise_screening
V,False,eligible_for_fold-wise_screening
Cr,False,eligible_for_fold-wise_screening
Mn,False,eligible_for_fold-wise_screening
Co,False,eligible_for_fold-wise_screening
Ni,False,eligible_for_fold-wise_screening
Cu,False,eligible_for_fold-wise_screening
Zn,False,eligible_for_fold-wise_screening
Ga,False,eligible_for_fold-wise_screening
Mo,False,eligible_for_fold-wise_screening
Cd,False,eligible_for_fold-wise_screening
Sn,False,eligible_for_fold-wise_screening
Cs,False,eligible_for_fold-wise_screening
W,False,eligible_for_fold-wise_screening
Pb,True,frozen_before_model fitting
Bi,False,eligible_for_fold-wise_screening
A/CNK,False,eligible_for_fold-wise_screening
A/NK,False,eligible_for_fold-wise_screening
Fe*,False,eligible_for_fold-wise_screening
K2O/Na2O,False,eligible_for_fold-wise_screening
Rb/Sr,False,eligible_for_fold-wise_screening
Zr/Hf,False,eligible_for_fold-wise_screening
Eu/Eu*,False,eligible_for_fold-wise_screening
(La/Yb)N,False,eligible_for_fold-wise_screening
