Geological Group ID,Reference-connected block,Reference ID normalized,n_samples,n_I,n_A,n_S
GG0001,RCB0001,REF0001,7,0,0,7
GG0002,RCB0002,REF0190; REF0191,41,41,0,0
GG0003,RCB0003,REF0010; REF0011,25,0,0,25
GG0004,RCB0004,REF0169; REF0170; REF0171; REF0172; REF0173,67,67,0,0
GG0005,RCB0005,REF0144; REF0145,55,0,0,55
GG0006,RCB0006,REF0201,10,0,0,10
GG0007,RCB0007,REF0013,11,11,0,0
GG0008,RCB0008,REF0186; REF0187; REF0188,47,47,0,0
GG0009,RCB0009,REF0146; REF0147; REF0148; REF0149; REF0150,55,55,0,0
GG0010,RCB0010,REF0045; REF0209,15,0,0,15
GG0011,RCB0011,REF0077; REF0110,30,0,30,0
GG0012,RCB0012,REF0055; REF0060; REF0061,31,0,0,31
GG0013,RCB0013,REF0075; REF0080,16,16,0,0
GG0014,RCB0014,REF0072,15,0,15,0
GG0015,RCB0002,REF0191; REF0192,27,27,0,0
GG0016,RCB0015,REF0073,7,0,7,0
GG0017,RCB0007,REF0013; REF0200,27,0,27,0
GG0018,RCB0016,REF0128; REF0129,15,0,0,15
GG0019,RCB0017,REF0184,5,5,0,0
GG0020,RCB0018,REF0014; REF0030,9,0,0,9
GG0021,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,132,0,0,132
GG0023,RCB0019,REF0195; REF0196; REF0197; REF0198,38,0,0,38
GG0024,RCB0020,REF0123; REF0124,20,0,0,20
GG0025,RCB0021,REF0026,12,0,0,12
GG0026,RCB0022,REF0078,8,0,8,0
GG0028,RCB0023,REF0047,5,0,0,5
GG0029,RCB0024,REF0137,7,7,0,0
GG0030,RCB0025,REF0143,51,51,0,0
GG0032,RCB0026,REF0193; REF0194,23,0,23,0
GG0034,RCB0027,REF0015; REF0037; REF0048; REF0065; REF0066; REF0068,75,0,0,75
GG0035,RCB0028,REF0018; REF0053; REF0054,72,0,0,72
GG0037,RCB0029,REF0132,6,0,6,0
GG0038,RCB0030,REF0012; REF0016; REF0019; REF0020; REF0029; REF0034; REF0039; REF0041; REF0046; REF0049; REF0052,222,0,0,222
GG0039,RCB0031,REF0090; REF0121; REF0156; REF0157; REF0158; REF0159,102,102,0,0
GG0040,RCB0032,REF0165; REF0166; REF0167; REF0168,33,0,0,33
GG0041,RCB0033,REF0081,21,0,0,21
GG0045,RCB0034,REF0009,11,0,0,11
GG0046,RCB0035,REF0017; REF0067,18,0,0,18
GG0047,RCB0036,REF0023; REF0031,15,0,0,15
GG0050,RCB0037,REF0027,6,0,6,0
GG0051,RCB0038,REF0028,5,0,0,5
GG0053,RCB0039,REF0033,6,0,6,0
GG0055,RCB0040,REF0038,5,5,0,0
GG0056,RCB0041,REF0040,8,0,0,8
GG0058,RCB0042,REF0050,7,0,0,7
GG0059,RCB0043,REF0056,15,0,0,15
GG0061,RCB0044,REF0063; REF0064,10,0,0,10
GG0062,RCB0045,REF0074,7,7,0,0
GG0064,RCB0046,REF0079,5,0,5,0
GG0067,RCB0047,REF0085,5,0,0,5
GG0070,RCB0048,REF0089,14,0,0,14
GG0073,RCB0049,REF0093,5,0,5,0
GG0074,RCB0050,REF0094,8,0,0,8
GG0076,RCB0051,REF0097,6,0,0,6
GG0077,RCB0052,REF0098,15,0,0,15
GG0082,RCB0053,REF0103,11,0,0,11
GG0085,RCB0054,REF0106,8,0,0,8
GG0087,RCB0055,REF0108,19,19,0,0
GG0088,RCB0056,REF0111,15,0,15,0
GG0089,RCB0057,REF0112,7,7,0,0
GG0090,RCB0058,REF0113,16,16,0,0
GG0096,RCB0059,REF0119,9,0,0,9
GG0099,RCB0060,REF0126,7,0,0,7
GG0101,RCB0061,REF0130,5,5,0,0
GG0102,RCB0062,REF0131,20,0,20,0
GG0103,RCB0063,REF0133,12,12,0,0
GG0118,RCB0064,REF0162; REF0163; REF0164,65,0,0,65
GG0121,RCB0065,REF0176,6,0,0,6
GG0122,RCB0066,REF0178; REF0179,19,19,0,0
GG0123,RCB0067,REF0180; REF0181; REF0182; REF0183,41,0,0,41
GG0125,RCB0068,REF0189,33,33,0,0
GG0126,RCB0069,REF0199,53,0,53,0
GG0128,RCB0070,REF0205,5,5,0,0
