Reference ID,Reference-connected block,n_geological_groups,Geological Group IDs,shared_reference
REF0001,RCB0001,1,GG0001,False
REF0003,RCB0010,1,GG0021,False
REF0004,RCB0010,1,GG0021,False
REF0008,RCB0010,1,GG0021,False
REF0009,RCB0034,1,GG0045,False
REF0010,RCB0003,1,GG0003,False
REF0011,RCB0003,1,GG0003,False
REF0012,RCB0030,1,GG0038,False
REF0013,RCB0007,2,GG0007; GG0017,True
REF0014,RCB0018,1,GG0020,False
REF0015,RCB0027,1,GG0034,False
REF0016,RCB0030,1,GG0038,False
REF0017,RCB0035,1,GG0046,False
REF0018,RCB0028,1,GG0035,False
REF0019,RCB0030,1,GG0038,False
REF0020,RCB0030,1,GG0038,False
REF0023,RCB0036,1,GG0047,False
REF0026,RCB0021,1,GG0025,False
REF0027,RCB0037,1,GG0050,False
REF0028,RCB0038,1,GG0051,False
REF0029,RCB0030,1,GG0038,False
REF0030,RCB0018,1,GG0020,False
REF0031,RCB0036,1,GG0047,False
REF0033,RCB0039,1,GG0053,False
REF0034,RCB0030,1,GG0038,False
REF0036,RCB0010,1,GG0021,False
REF0037,RCB0027,1,GG0034,False
REF0038,RCB0040,1,GG0055,False
REF0039,RCB0030,1,GG0038,False
REF0040,RCB0041,1,GG0056,False
REF0041,RCB0030,1,GG0038,False
REF0042,RCB0010,1,GG0021,False
REF0043,RCB0010,1,GG0021,False
REF0045,RCB0010,1,GG0010,False
REF0046,RCB0030,1,GG0038,False
REF0047,RCB0023,1,GG0028,False
REF0048,RCB0027,1,GG0034,False
REF0049,RCB0030,1,GG0038,False
REF0050,RCB0042,1,GG0058,False
REF0052,RCB0030,1,GG0038,False
REF0053,RCB0028,1,GG0035,False
REF0054,RCB0028,1,GG0035,False
REF0055,RCB0012,1,GG0012,False
REF0056,RCB0043,1,GG0059,False
REF0057,RCB0010,1,GG0021,False
REF0058,RCB0010,1,GG0021,False
REF0059,RCB0010,1,GG0021,False
REF0060,RCB0012,1,GG0012,False
REF0061,RCB0012,1,GG0012,False
REF0063,RCB0044,1,GG0061,False
REF0064,RCB0044,1,GG0061,False
REF0065,RCB0027,1,GG0034,False
REF0066,RCB0027,1,GG0034,False
REF0067,RCB0035,1,GG0046,False
REF0068,RCB0027,1,GG0034,False
REF0072,RCB0014,1,GG0014,False
REF0073,RCB0015,1,GG0016,False
REF0074,RCB0045,1,GG0062,False
REF0075,RCB0013,1,GG0013,False
REF0077,RCB0011,1,GG0011,False
REF0078,RCB0022,1,GG0026,False
REF0079,RCB0046,1,GG0064,False
REF0080,RCB0013,1,GG0013,False
REF0081,RCB0033,1,GG0041,False
REF0085,RCB0047,1,GG0067,False
REF0089,RCB0048,1,GG0070,False
REF0090,RCB0031,1,GG0039,False
REF0093,RCB0049,1,GG0073,False
REF0094,RCB0050,1,GG0074,False
REF0097,RCB0051,1,GG0076,False
REF0098,RCB0052,1,GG0077,False
REF0103,RCB0053,1,GG0082,False
REF0106,RCB0054,1,GG0085,False
REF0108,RCB0055,1,GG0087,False
REF0110,RCB0011,1,GG0011,False
REF0111,RCB0056,1,GG0088,False
REF0112,RCB0057,1,GG0089,False
REF0113,RCB0058,1,GG0090,False
REF0119,RCB0059,1,GG0096,False
REF0121,RCB0031,1,GG0039,False
REF0123,RCB0020,1,GG0024,False
REF0124,RCB0020,1,GG0024,False
REF0126,RCB0060,1,GG0099,False
REF0128,RCB0016,1,GG0018,False
REF0129,RCB0016,1,GG0018,False
REF0130,RCB0061,1,GG0101,False
REF0131,RCB0062,1,GG0102,False
REF0132,RCB0029,1,GG0037,False
REF0133,RCB0063,1,GG0103,False
REF0137,RCB0024,1,GG0029,False
REF0143,RCB0025,1,GG0030,False
REF0144,RCB0005,1,GG0005,False
REF0145,RCB0005,1,GG0005,False
REF0146,RCB0009,1,GG0009,False
REF0147,RCB0009,1,GG0009,False
REF0148,RCB0009,1,GG0009,False
REF0149,RCB0009,1,GG0009,False
REF0150,RCB0009,1,GG0009,False
REF0156,RCB0031,1,GG0039,False
REF0157,RCB0031,1,GG0039,False
REF0158,RCB0031,1,GG0039,False
REF0159,RCB0031,1,GG0039,False
REF0162,RCB0064,1,GG0118,False
REF0163,RCB0064,1,GG0118,False
REF0164,RCB0064,1,GG0118,False
REF0165,RCB0032,1,GG0040,False
REF0166,RCB0032,1,GG0040,False
REF0167,RCB0032,1,GG0040,False
REF0168,RCB0032,1,GG0040,False
REF0169,RCB0004,1,GG0004,False
REF0170,RCB0004,1,GG0004,False
REF0171,RCB0004,1,GG0004,False
REF0172,RCB0004,1,GG0004,False
REF0173,RCB0004,1,GG0004,False
REF0176,RCB0065,1,GG0121,False
REF0178,RCB0066,1,GG0122,False
REF0179,RCB0066,1,GG0122,False
REF0180,RCB0067,1,GG0123,False
REF0181,RCB0067,1,GG0123,False
REF0182,RCB0067,1,GG0123,False
REF0183,RCB0067,1,GG0123,False
REF0184,RCB0017,1,GG0019,False
REF0186,RCB0008,1,GG0008,False
REF0187,RCB0008,1,GG0008,False
REF0188,RCB0008,1,GG0008,False
REF0189,RCB0068,1,GG0125,False
REF0190,RCB0002,1,GG0002,False
REF0191,RCB0002,2,GG0002; GG0015,True
REF0192,RCB0002,1,GG0015,False
REF0193,RCB0026,1,GG0032,False
REF0194,RCB0026,1,GG0032,False
REF0195,RCB0019,1,GG0023,False
REF0196,RCB0019,1,GG0023,False
REF0197,RCB0019,1,GG0023,False
REF0198,RCB0019,1,GG0023,False
REF0199,RCB0069,1,GG0126,False
REF0200,RCB0007,1,GG0017,False
REF0201,RCB0006,1,GG0006,False
REF0205,RCB0070,1,GG0128,False
REF0206,RCB0010,1,GG0021,False
REF0208,RCB0010,1,GG0021,False
REF0209,RCB0010,2,GG0010; GG0021,True
