Record ID,Granite type,Geological Group ID,reported_type_normalized,filter_status
R0001,S,GG0001,S,retained
R0002,S,GG0001,S,retained
R0003,S,GG0001,S,retained
R0004,S,GG0001,S,retained
R0005,S,GG0001,S,retained
R0006,S,GG0001,S,retained
R0007,S,GG0001,S,retained
R0008,S,GG0042,S,excluded_group_protocol
R0009,S,GG0042,S,excluded_group_protocol
R0010,S,GG0042,S,excluded_group_protocol
R0011,S,GG0042,S,excluded_group_protocol
R0012,S,GG0042,S,excluded_group_protocol
R0013,S,GG0042,S,excluded_group_protocol
R0014,S,GG0042,S,excluded_group_protocol
R0015,S,GG0021,S,retained
R0016,S,GG0021,S,retained
R0017,S,GG0021,S,retained
R0018,S,GG0021,S,retained
R0019,S,GG0021,S,retained
R0020,S,GG0021,S,retained
R0021,S,GG0021,S,retained
R0022,S,GG0021,S,retained
R0023,S,GG0021,S,retained
R0024,S,GG0021,S,retained
R0025,S,GG0021,S,retained
R0026,S,GG0021,S,retained
R0027,S,GG0021,S,retained
R0028,S,GG0021,S,retained
R0029,S,GG0021,S,retained
R0030,S,GG0021,S,retained
R0031,S,GG0021,S,retained
R0032,S,GG0021,S,retained
R0033,S,GG0021,S,retained
R0034,S,GG0021,S,retained
R0035,S,GG0021,S,retained
R0036,S,GG0021,S,retained
R0037,S,GG0022,S,excluded_group_protocol
R0038,S,GG0022,S,excluded_group_protocol
R0039,S,GG0022,S,excluded_group_protocol
R0040,S,GG0022,S,excluded_group_protocol
R0041,S,GG0022,S,excluded_group_protocol
R0042,S,GG0022,S,excluded_group_protocol
R0043,S,GG0022,S,excluded_group_protocol
R0044,S,GG0022,S,excluded_group_protocol
R0045,S,GG0022,S,excluded_group_protocol
R0046,S,GG0022,S,excluded_group_protocol
R0047,S,GG0022,S,excluded_group_protocol
R0048,S,GG0022,S,excluded_group_protocol
R0049,S,GG0043,S,excluded_group_protocol
R0050,S,GG0043,S,excluded_group_protocol
R0051,S,GG0043,S,excluded_group_protocol
R0052,S,GG0043,S,excluded_group_protocol
R0053,S,GG0043,S,excluded_group_protocol
R0054,S,GG0043,S,excluded_group_protocol
R0055,S,GG0044,S,excluded_group_protocol
R0056,S,GG0044,S,excluded_group_protocol
R0057,S,GG0044,S,excluded_group_protocol
R0058,S,GG0044,S,excluded_group_protocol
R0059,S,GG0044,S,excluded_group_protocol
R0060,S,GG0021,S,retained
R0061,S,GG0021,S,retained
R0062,S,GG0021,S,retained
R0063,S,GG0021,S,retained
R0064,S,GG0021,S,retained
R0065,S,GG0021,S,retained
R0066,S,GG0021,S,retained
R0067,S,GG0021,S,retained
R0068,S,GG0021,S,retained
R0069,S,GG0021,S,retained
R0070,S,GG0021,S,retained
R0071,S,GG0021,S,retained
R0072,S,GG0021,S,retained
R0073,S,GG0021,S,retained
R0074,S,GG0021,S,retained
R0075,S,GG0021,S,retained
R0076,S,GG0021,S,retained
R0077,S,GG0021,S,retained
R0078,S,GG0021,S,retained
R0079,S,GG0021,S,retained
R0080,S,GG0021,S,retained
R0081,S,GG0045,S,retained
R0082,S,GG0045,S,retained
R0083,S,GG0045,S,retained
R0084,S,GG0045,S,retained
R0085,S,GG0045,S,retained
R0086,S,GG0045,S,retained
R0087,S,GG0045,S,retained
R0088,S,GG0045,S,retained
R0089,S,GG0045,S,retained
R0090,S,GG0045,S,retained
R0091,S,GG0045,S,retained
R0092,S,GG0003,S,retained
R0093,S,GG0003,S,retained
R0094,S,GG0003,S,retained
R0095,S,GG0003,S,retained
R0096,S,GG0003,S,retained
R0097,S,GG0003,S,retained
R0098,S,GG0003,S,retained
R0099,S,GG0003,S,retained
R0100,S,GG0003,S,retained
R0101,S,GG0003,S,retained
R0102,S,GG0003,S,retained
R0103,S,GG0003,S,retained
R0104,S,GG0003,S,retained
R0105,S,GG0003,S,retained
R0106,S,GG0003,S,retained
R0107,S,GG0003,S,retained
R0108,S,GG0003,S,retained
R0109,S,GG0003,S,retained
R0110,S,GG0003,S,retained
R0111,S,GG0003,S,retained
R0112,S,GG0003,S,retained
R0113,S,GG0003,S,retained
R0114,S,GG0003,S,retained
R0115,S,GG0003,S,retained
R0116,S,GG0003,S,retained
R0117,S,GG0038,S,retained
R0118,S,GG0038,S,retained
R0119,S,GG0038,S,retained
R0120,S,GG0038,S,retained
R0121,S,GG0038,S,retained
R0122,S,GG0038,S,retained
R0123,A,GG0017,A,retained
R0124,A,GG0017,A,retained
R0125,A,GG0017,A,retained
R0126,A,GG0017,A,retained
R0127,A,GG0017,A,retained
R0128,A,GG0017,A,retained
R0129,I,GG0007,I,retained
R0130,I,GG0007,I,retained
R0131,I,GG0007,I,retained
R0132,I,GG0007,I,retained
R0133,I,GG0007,I,retained
R0134,I,GG0007,I,retained
R0135,I,GG0007,I,retained
R0136,I,GG0007,I,retained
R0137,I,GG0007,I,retained
R0138,I,GG0007,I,retained
R0139,I,GG0007,I,retained
R0140,S,GG0020,S,retained
R0141,S,GG0020,S,retained
R0142,S,GG0020,S,retained
R0143,S,GG0020,S,retained
R0144,S,GG0034,S,retained
R0145,S,GG0034,S,retained
R0146,S,GG0034,S,retained
R0147,S,GG0034,S,retained
R0148,S,GG0034,S,retained
R0149,S,GG0034,S,retained
R0150,S,GG0034,S,retained
R0151,S,GG0034,S,retained
R0152,S,GG0034,S,retained
R0153,S,GG0034,S,retained
R0154,S,GG0034,S,retained
R0155,S,GG0034,S,retained
R0156,S,GG0034,S,retained
R0157,S,GG0038,S,retained
R0158,S,GG0038,S,retained
R0159,S,GG0038,S,retained
R0160,S,GG0038,S,retained
R0161,S,GG0038,S,retained
R0162,S,GG0038,S,retained
R0163,S,GG0046,S,retained
R0164,S,GG0046,S,retained
R0165,S,GG0046,S,retained
R0166,S,GG0046,S,retained
R0167,S,GG0046,S,retained
R0168,S,GG0046,S,retained
R0169,S,GG0046,S,retained
R0170,S,GG0046,S,retained
R0171,S,GG0046,S,retained
R0172,S,GG0046,S,retained
R0173,S,GG0035,S,retained
R0174,S,GG0035,S,retained
R0175,S,GG0035,S,retained
R0176,S,GG0035,S,retained
R0177,S,GG0035,S,retained
R0178,S,GG0035,S,retained
R0179,S,GG0035,S,retained
R0180,S,GG0038,S,retained
R0181,S,GG0038,S,retained
R0182,S,GG0038,S,retained
R0183,S,GG0038,S,retained
R0184,S,GG0038,S,retained
R0185,S,GG0038,S,retained
R0186,S,GG0038,S,retained
R0187,S,GG0038,S,retained
R0188,S,GG0038,S,retained
R0189,S,GG0038,S,retained
R0190,S,GG0038,S,retained
R0191,S,GG0038,S,retained
R0192,S,GG0038,S,retained
R0193,S,GG0038,S,retained
R0194,S,GG0038,S,retained
R0195,S,GG0038,S,retained
R0196,S,GG0038,S,retained
R0197,S,GG0038,S,retained
R0198,S,GG0038,S,retained
R0199,A,GG0033,A,excluded_group_protocol
R0200,A,GG0033,A,excluded_group_protocol
R0201,A,GG0033,A,excluded_group_protocol
R0202,A,GG0033,A,excluded_group_protocol
R0203,A,GG0033,A,excluded_group_protocol
R0204,A,GG0033,A,excluded_group_protocol
R0205,A,GG0033,A,excluded_group_protocol
R0206,A,GG0033,A,excluded_group_protocol
R0207,A,GG0033,A,excluded_group_protocol
R0208,A,GG0033,A,excluded_group_protocol
R0209,A,GG0033,A,excluded_group_protocol
R0210,A,GG0033,A,excluded_group_protocol
R0211,A,GG0033,A,excluded_group_protocol
R0212,A,GG0033,A,excluded_group_protocol
R0213,A,GG0033,A,excluded_group_protocol
R0214,A,GG0033,A,excluded_group_protocol
R0215,A,GG0033,A,excluded_group_protocol
R0216,S,GG0047,S,retained
R0217,S,GG0047,S,retained
R0218,S,GG0047,S,retained
R0219,S,GG0047,S,retained
R0220,S,GG0047,S,retained
R0221,S,GG0047,S,retained
R0222,S,GG0047,S,retained
R0223,S,GG0047,S,retained
R0224,S,GG0047,S,retained
R0225,S,GG0047,S,retained
R0226,S,GG0047,S,retained
R0227,S,GG0047,S,retained
R0228,A,GG0048,A,excluded_group_protocol
R0229,A,GG0048,A,excluded_group_protocol
R0230,A,GG0048,A,excluded_group_protocol
R0231,A,GG0048,A,excluded_group_protocol
R0232,S,GG0049,S,excluded_group_protocol
R0233,S,GG0049,S,excluded_group_protocol
R0234,S,GG0049,S,excluded_group_protocol
R0235,S,GG0049,S,excluded_group_protocol
