feature,missing_fraction
SiO2,0.07671673819742489
TiO2,0.06545064377682404
Al2O3,0.06545064377682404
Fe2O3,0.1427038626609442
FeO,0.33530042918454933
MnO,0.07027896995708155
MgO,0.0713519313304721
CaO,0.06545064377682404
Na2O,0.0740343347639485
K2O,0.07027896995708155
P2O5,0.08369098712446352
Rb,0.13948497854077252
Sr,0.40450643776824036
Y,0.15236051502145923
Zr,0.13358369098712447
Nb,0.13841201716738197
Ba,0.12070815450643776
La,0.08047210300429185
Ce,0.08261802575107297
Pr,0.09549356223175966
Nd,0.09066523605150215
Sm,0.08100858369098712
Eu,0.0917381974248927
Gd,0.08798283261802575
Tb,0.08851931330472103
Dy,0.08369098712446352
Ho,0.08476394849785408
Er,0.08369098712446352
Tm,0.08530042918454936
Yb,0.08208154506437768
Lu,0.0944206008583691
Hf,0.14860515021459228
Ta,0.1276824034334764
Th,0.13465665236051502
U,0.1684549356223176
Li,0.6319742489270386
Be,0.6722103004291845
Sc,0.625
Ti,0.7698497854077253
V,0.6072961373390557
Cr,0.5874463519313304
Mn,0.9318669527896996
Co,0.6169527896995708
Ni,0.5890557939914163
Cu,0.6255364806866953
Zn,0.6437768240343348
Ga,0.49624463519313305
Mo,0.7258583690987125
Cd,0.8546137339055794
Sn,0.802038626609442
Cs,0.5971030042918455
W,0.6400214592274678
Pb,0.5402360515021459
Bi,0.819206008583691
A/CNK,0.078862660944206
A/NK,0.078862660944206
Fe*,0.3465665236051502
K2O/Na2O,0.07993562231759657
Rb/Sr,0.43776824034334766
Zr/Hf,0.16523605150214593
Eu/Eu*,0.09656652360515021
(La/Yb)N,0.08208154506437768
