Record ID,Sample ID,Age reported (Ma),Granite type,Geological Group ID,Geological Group Name,Reference ID,Citation key,Geological group,Geological Group Name_S2,Province / Region,Parent Geological Unit or Included Subunit(s),Group Type,Grouping Rationale,Confidence Level,Number of Samples,Reference ID(s),Reference-connected block,Reference ID normalized
R0001,08BMS-1A,241 ± 7 Ma,S,GG0001,Baimianshi,REF0001,REF0001,GG0001,Baimianshi,Jiangxi,,Named pluton or intrusive unit,The linked references explicitly identify the Baimianshi; all associated records are assigned to that named geological unit.,High,7,REF0001,RCB0001,REF0001
R0002,08BMS-1B,241 ± 7 Ma,S,GG0001,Baimianshi,REF0001,REF0001,GG0001,Baimianshi,Jiangxi,,Named pluton or intrusive unit,The linked references explicitly identify the Baimianshi; all associated records are assigned to that named geological unit.,High,7,REF0001,RCB0001,REF0001
R0003,08BMS-7,241 ± 7 Ma,S,GG0001,Baimianshi,REF0001,REF0001,GG0001,Baimianshi,Jiangxi,,Named pluton or intrusive unit,The linked references explicitly identify the Baimianshi; all associated records are assigned to that named geological unit.,High,7,REF0001,RCB0001,REF0001
R0004,08BMS-8,241 ± 7 Ma,S,GG0001,Baimianshi,REF0001,REF0001,GG0001,Baimianshi,Jiangxi,,Named pluton or intrusive unit,The linked references explicitly identify the Baimianshi; all associated records are assigned to that named geological unit.,High,7,REF0001,RCB0001,REF0001
R0005,08BMS-9,241 ± 7 Ma,S,GG0001,Baimianshi,REF0001,REF0001,GG0001,Baimianshi,Jiangxi,,Named pluton or intrusive unit,The linked references explicitly identify the Baimianshi; all associated records are assigned to that named geological unit.,High,7,REF0001,RCB0001,REF0001
R0006,08BMS-11A,241 ± 7 Ma,S,GG0001,Baimianshi,REF0001,REF0001,GG0001,Baimianshi,Jiangxi,,Named pluton or intrusive unit,The linked references explicitly identify the Baimianshi; all associated records are assigned to that named geological unit.,High,7,REF0001,RCB0001,REF0001
R0007,08BMS-11B,241 ± 7 Ma,S,GG0001,Baimianshi,REF0001,REF0001,GG0001,Baimianshi,Jiangxi,,Named pluton or intrusive unit,The linked references explicitly identify the Baimianshi; all associated records are assigned to that named geological unit.,High,7,REF0001,RCB0001,REF0001
R0015,DW-1-1,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0016,DW-1-2,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0017,DW-1-3,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0018,DW-1-4,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0019,DW-2-1,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0020,DW-2-2,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0021,DW-2-3,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0022,YZT-1-1,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0023,YZT-1-2,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0024,YZT-1-3,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0025,SXD-1-1,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0026,SXD-1-2,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0027,SXD-1-3,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
R0028,SXD-1-4,403.4 ± 3.9 Ma; 406.1 ± 3.7 Ma; 405.5 ± 4.3 Ma; 406.5 ± 3.4 Ma,S,GG0021,Miao'ershan,REF0003,REF0003,GG0021,Miao'ershan,Hunan; Guangxi,,Composite or parent geological unit,Related subunits are consolidated under the named Miao'ershan parent unit so genetically and spatially related samples remain in one validation group.,Medium,140,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209,RCB0010,REF0003; REF0004; REF0008; REF0036; REF0042; REF0043; REF0057; REF0058; REF0059; REF0206; REF0208; REF0209
