model,outer_fold_id,analysis_protocol_hash,evaluation_unit,convergence_warning_count,n,macro_f1,balanced_accuracy,macro_ovr_auc,precision_I,recall_I,f1_I,support_I,precision_A,recall_A,f1_A,support_A,precision_S,recall_S,f1_S,support_S,record_n,record_macro_f1,record_balanced_accuracy,record_macro_ovr_auc,record_precision_I,record_recall_I,record_f1_I,record_support_I,record_precision_A,record_recall_A,record_f1_A,record_support_A,record_precision_S,record_recall_S,record_f1_S,record_support_S
RF,1,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,geological_group_by_reported_type_stratum,0,8,0.4090909090909091,0.4444444444444444,0.7801587301587302,1.0,0.3333333333333333,0.5,3,0.0,0.0,0.0,1,0.5714285714285714,1.0,0.7272727272727273,4,197,0.23699470899470898,0.3394091288828131,0.6425757794454405,0.6666666666666666,0.07017543859649122,0.12698412698412698,114,0.0,0.0,0.0,6,0.42196531791907516,0.948051948051948,0.584,77
SVM,1,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,geological_group_by_reported_type_stratum,0,8,0.611111111111111,0.6944444444444443,0.9375,1.0,0.3333333333333333,0.5,3,0.5,1.0,0.6666666666666666,1,0.6,0.75,0.6666666666666666,4,197,0.526759237260544,0.6782106782106783,0.8094765902913621,0.8260869565217391,0.5,0.6229508196721312,114,0.23809523809523808,0.8333333333333334,0.37037037037037035,6,0.5046728971962616,0.7012987012987013,0.5869565217391305,77
MLP,1,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,geological_group_by_reported_type_stratum,0,8,0.4090909090909091,0.4444444444444444,0.5839285714285715,1.0,0.3333333333333333,0.5,3,0.0,0.0,0.0,1,0.5714285714285714,1.0,0.7272727272727273,4,197,0.29324894514767935,0.32581453634085217,0.5527465161080084,0.6818181818181818,0.2631578947368421,0.379746835443038,114,0.0,0.0,0.0,6,0.38461538461538464,0.7142857142857143,0.5,77
XGBoost,1,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,geological_group_by_reported_type_stratum,0,8,0.4000000000000001,0.4444444444444444,0.8009920634920635,0.5,0.3333333333333333,0.4,3,0.0,0.0,0.0,1,0.6666666666666666,1.0,0.8,4,197,0.23725490196078433,0.31787802840434415,0.6273538356508707,0.5,0.09649122807017543,0.16176470588235295,114,0.0,0.0,0.0,6,0.4049079754601227,0.8571428571428571,0.55,77
RF,2,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,geological_group_by_reported_type_stratum,0,16,0.6722222222222222,0.6746031746031745,0.8108262108262109,0.75,0.5,0.6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0.6666666666666666,0.8571428571428571,0.75,7,439,0.5359685108376208,0.5790369400338299,0.7187825200015734,0.6,0.39,0.4727272727272727,100,0.24242424242424243,0.5853658536585366,0.34285714285714286,41,0.8254545454545454,0.761744966442953,0.7923211169284468,298
SVM,2,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,geological_group_by_reported_type_stratum,0,16,0.5091036414565826,0.5634920634920634,0.7414122914122915,0.5,0.16666666666666666,0.25,6,0.5,0.6666666666666666,0.5714285714285714,3,0.6,0.8571428571428571,0.7058823529411765,7,439,0.3768213638324119,0.4475156872374093,0.6466263437327723,0.33962264150943394,0.18,0.23529411764705882,100,0.15384615384615385,0.5853658536585366,0.2436548223350254,41,0.7478260869565218,0.5771812080536913,0.6515151515151515,298
MLP,2,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,geological_group_by_reported_type_stratum,0,16,0.6904761904761906,0.6746031746031745,0.8485347985347985,0.625,0.8333333333333334,0.7142857142857143,6,1.0,0.3333333333333333,0.5,3,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,439,0.5825683199507228,0.6157205216347466,0.7623024292244036,0.4957983193277311,0.59,0.5388127853881278,100,0.3442622950819672,0.5121951219512195,0.4117647058823529,41,0.8571428571428571,0.7449664429530202,0.7971274685816876,298
XGBoost,2,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,geological_group_by_reported_type_stratum,0,16,0.6257575757575758,0.6190476190476191,0.7492673992673993,0.8,0.6666666666666666,0.7272727272727273,6,0.5,0.3333333333333333,0.4,3,0.6666666666666666,0.8571428571428571,0.75,7,439,0.5192808607958589,0.558302504501555,0.7184093530679078,0.5064935064935064,0.39,0.4406779661016949,100,0.24175824175824176,0.5365853658536586,0.3333333333333333,41,0.8228782287822878,0.7483221476510067,0.7838312829525483,298
RF,3,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,geological_group_by_reported_type_stratum,0,17,0.4706349206349206,0.5,0.6468253968253969,0.16666666666666666,0.5,0.25,2,0.5,0.3333333333333333,0.4,3,0.8888888888888888,0.6666666666666666,0.7619047619047619,12,420,0.40485173025177534,0.3940447799497993,0.6866692856219587,0.023952095808383235,0.2222222222222222,0.043243243243243246,18,0.6153846153846154,0.41237113402061853,0.49382716049382713,97,0.8882978723404256,0.5475409836065573,0.6774847870182555,305
SVM,3,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,geological_group_by_reported_type_stratum,0,17,0.4492481203007519,0.5277777777777778,0.6714285714285714,0.16666666666666666,0.5,0.25,2,0.5,0.6666666666666666,0.5714285714285714,3,0.7142857142857143,0.4166666666666667,0.5263157894736842,12,420,0.39679966042358794,0.45811378388697976,0.6713983573318316,0.0625,0.4444444444444444,0.1095890410958904,18,0.47761194029850745,0.32989690721649484,0.3902439024390244,97,0.8133333333333334,0.6,0.690566037735849,305
