class,feature,mean_abs_shap,median_signed_shap,feature_shap_spearman,n,analysis_protocol_hash
I,SiO2,0.06765170882397695,-0.007748135831207037,0.19230862534215387,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,TiO2,0.009958375641035822,-0.0021018926054239273,0.6468311482940405,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Al2O3,0.018940272758866897,0.002189064398407936,0.4437791512883368,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Fe2O3,0.05204038130959486,-0.01145024225115776,0.004328736764495958,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,FeO,0.15083226081661796,-0.03139001503586769,-0.8272408489580269,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,MnO,0.07429529292096976,-0.02716563642024994,-0.5190751133802661,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,MgO,0.07351960287952002,-0.004251559730619192,0.18129076294638616,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,CaO,0.10609015607617843,-0.07040760666131973,0.36814537303071726,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Na2O,0.02153562762144563,-0.0024124858900904655,0.2544058057909408,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,K2O,0.030536390243740094,0.007452297490090132,0.4815377065955219,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,P2O5,0.06134975091272212,-0.03086046315729618,-0.6167471247810915,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Rb,0.30937351695806303,0.07501300424337387,-0.8569310623094617,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Sr,0.049610881946028376,-0.008326483890414238,-0.35432332923276594,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Y,0.07763641873770216,-0.020834632217884064,-0.19479510830094182,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Zr,0.03449980795915871,0.004872242920100689,0.5014492666035657,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Nb,0.03867763109290465,0.016870956867933273,0.6480848830684841,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Ba,0.23418029948290833,-0.11112042516469955,0.7289762630659697,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,La,0.02225075291998024,0.0,0.02116367262305446,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Ce,0.02250090965155388,0.0016020091716200113,-0.1470558568914648,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Pr,0.0626776291549559,0.014979291707277298,-0.8433595016564523,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Nd,0.022211251042253567,0.004317580722272396,-0.6975523627468736,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Sm,0.06712008508019293,0.011209413409233093,-0.6549121112798215,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Eu,0.04836673539752035,-0.018205713480710983,0.41779047589507706,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Gd,0.02488533607242665,0.0,-0.7863955996146926,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Tb,0.01998527850364452,-0.005181555636227131,-0.37002090995988535,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Dy,0.028811251091367018,-0.010877445340156555,-0.2763788662122269,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Ho,0.029199531976233855,-0.01467057317495346,0.22964528408189627,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Er,0.021011652650269084,-0.002708437852561474,0.7055465372774125,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Tm,0.047228372460579954,-0.023734301328659058,0.4474611704532364,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Yb,0.019981926964770844,0.0034584759268909693,0.4306982251785836,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Lu,0.06959902191130829,-0.026838820427656174,0.5338609644499509,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Hf,0.04116116159353318,0.018454283475875854,-0.29534096020994316,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Ta,0.15390868497289817,-0.025453444570302963,-0.382493492490921,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Ga,0.12687376707005177,-0.012034432962536812,-0.817403779443597,1340,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,A/CNK,0.024845500027141254,-0.006888364441692829,-0.043759371313684646,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,A/NK,0.1378367567338723,-0.03735547140240669,0.5736628513374876,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Fe*,0.040946093106842905,0.00946196261793375,-0.2565791640622674,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,K2O/Na2O,0.027281485317572473,-0.009147297590970993,0.3974823742258578,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Rb/Sr,0.019750466544917883,0.008648626506328583,0.5074040076964927,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Zr/Hf,0.042060967933685196,-0.009210724383592606,-0.6609535400781503,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Eu/Eu*,0.15454798273446835,-0.08333061635494232,0.6692919531665634,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,(La/Yb)N,0.10349448777913978,0.024967165663838387,-0.7523196350711951,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,SiO2,0.01748535612455284,-0.006223487202078104,-0.32915918936315525,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,TiO2,0.05367275418628131,-0.021511485800147057,-0.5444659348923762,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Al2O3,0.11716396264942236,-0.05438411235809326,-0.8096608363277251,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Fe2O3,0.1397231760417913,0.0030516088008880615,0.661834598266095,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,FeO,0.1745644250523349,-0.11080561578273773,0.8560386429342645,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,MnO,0.07730927248662496,0.014501227997243404,0.6777787586617547,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,MgO,0.09256489578206169,-0.019900433719158173,-0.31224371501269316,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,CaO,0.07412154077851438,-0.013970834203064442,-0.6621872146689828,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Na2O,0.05018094354818672,-0.003887676168233156,0.5544787091477129,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,K2O,0.0651854085385164,-0.012327505275607109,0.628803487847271,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,P2O5,0.09715883938716632,-0.06798408180475235,-0.5589970501295229,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Rb,0.08720350793370461,-0.025535397231578827,-0.3573326740748111,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Sr,0.06551002998567405,-0.014074972830712795,0.7023634415338563,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Y,0.03080589759325409,-0.004308701492846012,0.06184392879844997,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Zr,0.05105433355095361,-0.01955200545489788,0.135636136933312,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Nb,0.166479747798817,-0.10212437063455582,0.7602715548944905,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Ba,0.036082859816315226,-0.002713179914280772,-0.4609933894722995,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,La,0.12338926431446648,-0.0857727900147438,0.7330485112984212,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Ce,0.18785328651555513,-0.12082245945930481,0.8331598380148382,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Pr,0.11174351028264802,-0.04063282534480095,0.8054682540369248,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Nd,0.017731756147791752,0.005689254030585289,-0.42230980070293106,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Sm,0.12460108619044884,-0.07970508188009262,0.6100915345801355,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Eu,0.027666278231415993,-0.011616011150181293,-0.39686981236391106,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Gd,0.0484845182903911,-0.007503948174417019,0.20342700638168124,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Tb,0.032747572298066865,0.008612114936113358,-0.12634387597525312,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Dy,0.023829219751852915,-0.007133967243134975,-0.2050663835902385,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Ho,0.02178141413280504,0.0,-0.6650920025397008,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Er,0.013967621405846006,0.0022481391206383705,0.009327226262231881,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Tm,0.01084182192613695,0.0,0.06196298119729546,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Yb,0.031119630656642715,-0.012325817719101906,0.7719958392361709,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Lu,0.20345342581118406,-0.05453546717762947,0.8184961684275324,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Hf,0.31544548276192774,-0.2183542549610138,0.747541244368941,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Ta,0.18616364099850444,-0.13650032877922058,0.7055489860069003,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Ga,0.08200477593623574,0.00528732780367136,0.7655792710689282,1340,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,A/CNK,0.10172561936749656,-0.014709453098475933,-0.8359662104812507,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,A/NK,0.12520700412698313,-0.029480107128620148,-0.7429716516863264,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Fe*,0.09399741210861948,-0.030029870569705963,0.81032482722873,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,K2O/Na2O,0.0060811089506743925,0.0,0.32850146939601355,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Rb/Sr,0.039681470563015075,0.009616718627512455,-0.6903867521929873,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Zr/Hf,0.029135154527647453,-0.007521822117269039,0.011291862934936692,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Eu/Eu*,0.10118827642995544,-0.05345526337623596,-0.7637926156265159,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,(La/Yb)N,0.05544267083077341,-0.014550181105732918,0.8129292482964416,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,SiO2,0.013605813668700749,0.0,0.0016872106985551469,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,TiO2,0.031830261529691956,0.012816060334444046,-0.533701005338643,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,Al2O3,0.016759630315746368,0.0012559453025460243,0.5130571464366144,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,Fe2O3,0.07222635132920557,-0.0027324706315994263,-0.8157897095631225,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,FeO,0.013911174909895473,0.00201598834246397,-0.22833452281163968,1709,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
