Record ID,Geological Group ID,Reference-connected block,crossfit_fold,valid_oof,abstain_reason,reported_granite_type,predicted_probability_I,predicted_probability_A,predicted_probability_S,model_output_I,model_output_A,model_output_S,base_value_I,base_value_A,base_value_S,feature_set_hash,model_parameter_hash,analysis_protocol_hash,score_type,shap_output_scale,interpretation_model,imputed::SiO2,imputed::TiO2,imputed::Al2O3,imputed::Fe2O3,imputed::FeO,imputed::MnO,imputed::MgO,imputed::CaO,imputed::Na2O,imputed::K2O,imputed::P2O5,imputed::Rb,imputed::Sr,imputed::Y,imputed::Zr,imputed::Nb,imputed::Ba,imputed::La,imputed::Ce,imputed::Pr,imputed::Nd,imputed::Sm,imputed::Eu,imputed::Gd,imputed::Tb,imputed::Dy,imputed::Ho,imputed::Er,imputed::Tm,imputed::Yb,imputed::Lu,imputed::Hf,imputed::Ta,imputed::Ga,imputed::A/CNK,imputed::A/NK,imputed::Fe*,imputed::K2O/Na2O,imputed::Rb/Sr,imputed::Zr/Hf,imputed::Eu/Eu*,imputed::(La/Yb)N,was_imputed::SiO2,was_imputed::TiO2,was_imputed::Al2O3,was_imputed::Fe2O3,was_imputed::FeO,was_imputed::MnO,was_imputed::MgO,was_imputed::CaO,was_imputed::Na2O,was_imputed::K2O,was_imputed::P2O5,was_imputed::Rb,was_imputed::Sr,was_imputed::Y,was_imputed::Zr,was_imputed::Nb,was_imputed::Ba,was_imputed::La,was_imputed::Ce,was_imputed::Pr,was_imputed::Nd,was_imputed::Sm,was_imputed::Eu,was_imputed::Gd,was_imputed::Tb,was_imputed::Dy,was_imputed::Ho,was_imputed::Er,was_imputed::Tm,was_imputed::Yb,was_imputed::Lu,was_imputed::Hf,was_imputed::Ta,was_imputed::Ga,was_imputed::A/CNK,was_imputed::A/NK,was_imputed::Fe*,was_imputed::K2O/Na2O,was_imputed::Rb/Sr,was_imputed::Zr/Hf,was_imputed::Eu/Eu*,was_imputed::(La/Yb)N
R0001,GG0001,RCB0001,3.0,True,,S,0.16891169548034668,0.025555968284606934,0.8055323958396912,-0.5373295545578003,-2.4258346557617188,1.024797797203064,-0.0005885008722543716,0.38313037157058716,-0.39025938510894775,E2C83C7F32F908A526025BF2C6B06A97C12835AAEBFE3304B1E4A119E81B66B2,5C50613C596B407A3E5B73F89AD3FDAD4668EB3A3E69B7B4A8E4196CB04162A0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,probability,raw_margin,XGBoost,71.98999999999997,0.26,14.349999999999998,1.58,1.246118048445275,0.039999999999999994,0.29,0.8699999999999999,2.3900000000000006,5.81,0.26,414.09000000000003,60.95999999999998,13.25,132.23999999999998,23.65,278.96000000000004,36.39,81.06000000000002,9.56,34.83,7.249999999999998,0.56,5.55,0.73,3.3200000000000003,0.49000000000000005,1.2799999999999998,0.18000000000000005,0.98,0.13999999999999999,4.5,2.65,18.469999999999995,1.215834996991775,1.4040086638655906,0.7834641449603126,2.4309623430962337,6.792814960629919,29.386666666666667,0.2698958253569278,26.635236373030228,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
R0002,GG0001,RCB0001,3.0,True,,S,0.15469230711460114,0.026242971420288086,0.819064736366272,-0.7429438829421997,-2.5169835090637207,0.9237813353538513,-0.0005885008722543716,0.38313037157058716,-0.39025938510894775,E2C83C7F32F908A526025BF2C6B06A97C12835AAEBFE3304B1E4A119E81B66B2,5C50613C596B407A3E5B73F89AD3FDAD4668EB3A3E69B7B4A8E4196CB04162A0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,probability,raw_margin,XGBoost,72.01999999999997,0.26,14.279999999999998,1.58,1.2174486891489078,0.039999999999999994,0.29,0.8699999999999999,2.43,5.82,0.24999999999999997,394.34999999999997,48.89000000000001,12.82,134.74,22.330000000000002,262.6499999999999,33.39000000000001,69.71999999999997,8.650000000000002,32.3,6.610000000000002,0.54,5.12,0.6599999999999999,2.9700000000000006,0.4699999999999999,1.23,0.15999999999999998,0.97,0.13999999999999999,4.539999999999999,2.44,17.820000000000004,1.2020994764401496,1.3867628280458786,0.78319694897325,2.3950617283950617,8.06606668030272,29.678414096916306,0.28377993477022034,24.69137413545609,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
R0003,GG0001,RCB0001,3.0,True,,S,0.16993923485279083,0.034297291189432144,0.7957634329795837,-0.47468090057373047,-2.0750555992126465,1.0691801309585571,-0.0005885008722543716,0.38313037157058716,-0.39025938510894775,E2C83C7F32F908A526025BF2C6B06A97C12835AAEBFE3304B1E4A119E81B66B2,5C50613C596B407A3E5B73F89AD3FDAD4668EB3A3E69B7B4A8E4196CB04162A0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,probability,raw_margin,XGBoost,72.57,0.26,14.120000000000001,1.62,1.2779256303648867,0.039999999999999994,0.3,0.97,2.0599999999999996,5.41,0.23,378.26000000000005,49.34,13.449999999999998,140.06999999999994,24.69,362.63,39.21,85.91,10.259999999999998,37.699999999999996,7.190000000000003,0.5699999999999998,5.86,0.79,3.6099999999999994,0.52,1.3400000000000003,0.18000000000000005,1.0500000000000003,0.15000000000000002,4.459999999999999,2.48,18.990000000000002,1.2826388754602953,1.5273321270029738,0.8014080117610101,2.626213592233009,7.666396432914473,31.405829596412552,0.26846349355341276,26.78601567209162,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
R0004,GG0001,RCB0001,3.0,True,,S,0.16974763572216034,0.44921088218688965,0.3810414671897888,-1.227226972579956,-0.25404733419418335,-0.4186316132545471,-0.0005885008722543716,0.38313037157058716,-0.39025938510894775,E2C83C7F32F908A526025BF2C6B06A97C12835AAEBFE3304B1E4A119E81B66B2,5C50613C596B407A3E5B73F89AD3FDAD4668EB3A3E69B7B4A8E4196CB04162A0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,probability,raw_margin,XGBoost,73.82000000000001,0.24999999999999997,13.260000000000002,1.4900000000000002,1.1371567180445865,0.030000000000000002,0.28,0.55,2.5,5.950000000000001,0.18000000000000002,420.9000000000001,52.57,42.20000000000001,160.69999999999993,21.53,306.52000000000004,75.77000000000002,109.83000000000003,17.950000000000003,73.39000000000003,13.820000000000004,0.9099999999999999,13.54,1.88,9.280000000000001,1.42,3.5299999999999994,0.4300000000000001,2.4099999999999997,0.32000000000000006,5.150000000000001,2.0000000000000004,22.17,1.1477281263136416,1.2564866043470757,0.7867813940025428,2.3799999999999994,8.006467567053454,31.203883495145632,0.20337692356600895,22.551779680305337,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
R0005,GG0001,RCB0001,3.0,True,,S,0.5100235342979431,0.04998898133635521,0.43998751044273376,0.3323875069618225,-1.9902667999267578,0.18467697501182556,-0.0005885008722543716,0.38313037157058716,-0.39025938510894775,E2C83C7F32F908A526025BF2C6B06A97C12835AAEBFE3304B1E4A119E81B66B2,5C50613C596B407A3E5B73F89AD3FDAD4668EB3A3E69B7B4A8E4196CB04162A0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,probability,raw_margin,XGBoost,73.77000000000001,0.20000000000000004,14.06,1.3200000000000003,0.9914763978511818,0.019999999999999997,0.22000000000000006,0.3200000000000001,2.8699999999999997,5.72,0.18000000000000002,366.2900000000001,42.32999999999999,5.37,90.53000000000002,16.95,205.22999999999996,19.67,43.14999999999999,4.819999999999999,18.64,3.49,0.4200000000000001,3.0,0.41000000000000003,1.65,0.23,0.55,0.06999999999999994,0.4200000000000001,0.06000000000000001,3.16,2.2700000000000005,13.820000000000004,1.2231625888230582,1.288376256848268,0.7761682093830506,1.993031358885017,8.653201039451927,28.64873417721519,0.3968255113076868,33.59353023909988,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
R0006,GG0001,RCB0001,3.0,True,,S,0.13514156639575958,0.29801803827285767,0.566840410232544,-1.2740397453308105,-0.48320847749710083,0.1597152203321457,-0.0005885008722543716,0.38313037157058716,-0.39025938510894775,E2C83C7F32F908A526025BF2C6B06A97C12835AAEBFE3304B1E4A119E81B66B2,5C50613C596B407A3E5B73F89AD3FDAD4668EB3A3E69B7B4A8E4196CB04162A0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,probability,raw_margin,XGBoost,72.53000000000003,0.33999999999999997,14.439999999999998,1.3200000000000003,1.248090522991121,0.019999999999999997,0.19999999999999996,0.37000000000000005,2.3300000000000005,6.349999999999999,0.17000000000000004,501.17,52.07999999999999,16.370000000000005,234.72000000000003,34.3,330.54,75.23999999999997,161.98,19.640000000000004,72.48000000000002,11.679999999999998,0.6700000000000002,8.239999999999998,0.9299999999999999,4.34,0.6399999999999999,1.63,0.21999999999999997,1.2399999999999998,0.18000000000000005,7.839999999999998,4.04,25.590000000000003,1.268972289888715,1.3487077668682286,0.8121613555607774,2.7253218884120165,9.623079877112136,29.938775510204078,0.2087917865612328,43.523887300939165,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
R0007,GG0001,RCB0001,3.0,True,,S,0.1658429205417633,0.20973367989063263,0.6244234442710876,-1.1054513454437256,-0.8706539273262024,0.22033627331256866,-0.0005885008722543716,0.38313037157058716,-0.39025938510894775,E2C83C7F32F908A526025BF2C6B06A97C12835AAEBFE3304B1E4A119E81B66B2,5C50613C596B407A3E5B73F89AD3FDAD4668EB3A3E69B7B4A8E4196CB04162A0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,probability,raw_margin,XGBoost,72.42000000000002,0.28,14.570000000000002,1.19,1.336608536645727,0.019999999999999997,0.19999999999999996,0.29,2.15,6.759999999999999,0.17000000000000004,570.4499999999998,49.010000000000005,15.86,184.88,27.770000000000007,220.94999999999993,52.34,104.84000000000002,13.97,52.65999999999999,9.199999999999998,0.5699999999999998,6.930000000000001,0.81,3.8900000000000006,0.5800000000000001,1.5100000000000002,0.18000000000000005,0.98,0.15000000000000002,5.86,2.3,18.19,1.280146355884129,1.3423342439878714,0.7906932042168662,3.144186046511628,11.639461334421549,31.5494880546075,0.2182418124171872,38.309652975114105,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
R0015,GG0021,RCB0010,4.0,True,,S,0.039846260100603104,0.09191922843456268,0.8682344555854797,-1.8574020862579346,-1.0215203762054443,1.2240313291549683,0.09975238889455795,-0.018988098949193954,-0.198203444480896,E2C83C7F32F908A526025BF2C6B06A97C12835AAEBFE3304B1E4A119E81B66B2,5C50613C596B407A3E5B73F89AD3FDAD4668EB3A3E69B7B4A8E4196CB04162A0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,probability,raw_margin,XGBoost,74.59000000000003,0.08999999999999998,12.850000000000003,0.97,0.4300000000000001,0.09,0.28,1.56,2.47,4.25,0.07,590.0000000000002,45.29999999999999,38.39999999999999,109.99999999999997,25.8,191.0,32.5,71.20000000000003,7.530000000000001,31.0,6.719999999999998,0.33000000000000007,6.390000000000001,1.13,7.01,1.3599999999999999,3.9399999999999995,0.49000000000000005,3.8900000000000006,0.4699999999999999,4.23,4.9,20.499999999999996,1.1173749309289573,1.4831929740105512,0.723010480963483,1.7206477732793521,13.024282560706405,26.004728132387704,0.15395808809050687,5.992862798694045,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R0016,GG0021,RCB0010,4.0,True,,S,0.17312747240066528,0.34048640727996826,0.48638612031936646,-1.1257638931274414,-0.4494169056415558,-0.09278931468725204,0.09975238889455795,-0.018988098949193954,-0.198203444480896,E2C83C7F32F908A526025BF2C6B06A97C12835AAEBFE3304B1E4A119E81B66B2,5C50613C596B407A3E5B73F89AD3FDAD4668EB3A3E69B7B4A8E4196CB04162A0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,probability,raw_margin,XGBoost,74.73,0.10000000000000003,12.650000000000002,0.8899999999999999,0.51,0.09,0.26999999999999996,1.1100000000000003,2.67,4.41,0.08,653.0000000000001,39.099999999999994,45.29999999999999,135.00000000000006,30.799999999999997,183.00000000000006,23.9,55.100000000000016,6.290000000000001,22.800000000000004,5.87,0.25000000000000006,5.34,1.1399999999999997,7.469999999999999,1.4900000000000002,4.83,0.6399999999999999,4.49,0.6399999999999999,6.249999999999999,6.2,15.5,1.1310621895948678,1.3801078877108908,0.7314409576111947,1.6516853932584268,16.70076726342711,21.6,0.13651298544617815,3.818142520180805,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R0017,GG0021,RCB0010,4.0,True,,S,0.11282145977020264,0.1774916797876358,0.7096868753433228,-1.3607577085494995,-0.9076405763626099,0.4782595932483673,0.09975238889455795,-0.018988098949193954,-0.198203444480896,E2C83C7F32F908A526025BF2C6B06A97C12835AAEBFE3304B1E4A119E81B66B2,5C50613C596B407A3E5B73F89AD3FDAD4668EB3A3E69B7B4A8E4196CB04162A0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,probability,raw_margin,XGBoost,73.82000000000001,0.08999999999999998,13.339999999999998,1.0099999999999998,0.5899999999999999,0.09,0.29,1.04,2.7699999999999996,4.679999999999999,0.07,653.0000000000001,47.2,56.19999999999998,154.00000000000003,26.699999999999996,154.00000000000003,20.300000000000004,47.49999999999999,5.559999999999999,21.000000000000004,5.08,0.20000000000000007,4.6,0.96,6.37,1.25,4.11,0.74,5.160000000000001,0.74,5.42,6.7,17.800000000000004,1.1586228430145193,1.3863027778085217,0.7435487577028745,1.6895306859205772,13.834745762711862,28.413284132841326,0.1264861164958143,2.8219343865502244,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
