class,feature,bridge_role,global_group_level_spearman,block_bootstrap_ci_low,block_bootstrap_ci_high,partition_direction_sign_consistency,partitions_with_finite_direction,expected_partitions,partition_availability,geological_groups,source_blocks,bootstrap_replicates_valid,analysis_protocol_hash
I,Rb,primary,-0.9241113346747148,-0.9487572678397633,-0.8676784440831307,1.0,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,CaO,primary,0.6745529389316445,0.5021597626396831,0.7881128648898763,0.88,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Nb,primary,0.8738430583501006,0.800181893308761,0.9137401031449621,0.88,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Zr,primary,0.00419192300408419,-0.2777592178912699,0.28430367084623215,0.56,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,P2O5,primary,-0.869975203155791,-0.9269762832681807,-0.7640395303647997,1.0,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Ba,primary,0.9346076458752514,0.8574802753764056,0.9687107544196315,1.0,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,MgO,legacy_sensitivity_only,0.6080992726999705,0.39997317712533403,0.7724325447170127,0.8,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,Na2O,legacy_sensitivity_only,-0.2168597938909002,-0.46709997760829836,0.059739138860127355,0.5416666666666666,24,25,0.96,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
I,K2O,legacy_sensitivity_only,0.5558340958488048,0.3094771666456712,0.7276029858925867,0.782608695652174,23,25,0.92,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Rb,primary,-0.10291750503018107,-0.38754722497939076,0.17552870898633197,0.68,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,CaO,primary,-0.7102339892435147,-0.8293131313914481,-0.5320180113635258,1.0,24,25,0.96,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Nb,primary,0.8190811535881958,0.6805353644845753,0.9082282428180927,1.0,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Zr,primary,0.7914015277870624,0.6553115262191959,0.871696559693797,0.8,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,P2O5,primary,-0.7165834689933348,-0.827051310059977,-0.5408346616614867,0.84,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Ba,primary,-0.35352112676056335,-0.5689939409215954,-0.09303081290674325,0.72,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,MgO,legacy_sensitivity_only,-0.5915821266705896,-0.7573232693571932,-0.36740938038516824,0.9583333333333334,24,25,0.96,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,Na2O,legacy_sensitivity_only,0.6590310779394045,0.47760795875368695,0.7887438865240746,0.88,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,K2O,legacy_sensitivity_only,0.6701600541418287,0.49708367220918276,0.8026848080914554,0.875,24,25,0.96,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,Rb,primary,0.7892689470154257,0.6666254150477865,0.8678620016242294,1.0,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,CaO,primary,0.3385340252803854,0.05484615910817253,0.5864978382999252,0.6666666666666666,24,25,0.96,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,Nb,primary,-0.9316230717639168,-0.9630846555368685,-0.8632490691216735,1.0,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,Zr,primary,-0.8868264630520349,-0.9271803337548018,-0.811566147789482,0.96,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,P2O5,primary,0.9325539277079508,0.8897263875538344,0.953103417291388,1.0,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,Ba,primary,-0.822132796780684,-0.9035786843529982,-0.6865165684812025,1.0,25,25,1.0,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,MgO,legacy_sensitivity_only,0.10835918542320787,-0.16146008534203884,0.38399815929752074,0.6818181818181818,22,25,0.88,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,Na2O,legacy_sensitivity_only,-0.23190180093699805,-0.5098522946271223,0.0632270396318599,0.625,24,25,0.96,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
S,K2O,legacy_sensitivity_only,-0.8913165610245936,-0.9385592690547768,-0.8095498253426824,0.9565217391304348,23,25,0.92,71,68,2000,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
