evaluation_unit,probability_version,class,metric,value,n,positive_support,analysis_protocol_hash
record_mean_across_repeats,raw,multiclass,log_loss,0.8597825066260136,1355,,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,multiclass,brier_score,0.5250877503786892,1355,,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,top_label,ece,0.12279743600902485,1355,,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,I,ovr_brier_score,0.201610340465279,1355,371.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,I,ovr_ece,0.09219875480554668,1355,371.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,I,calibration_slope,0.43624160419049834,1355,371.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,I,calibration_intercept,-0.4695315562875179,1355,371.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,A,ovr_brier_score,0.09506716696862365,1355,157.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,A,ovr_ece,0.08431803083709527,1355,157.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,A,calibration_slope,0.7162162527680406,1355,157.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,A,calibration_intercept,-1.1506337732173582,1355,157.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,S,ovr_brier_score,0.22841024294478654,1355,827.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,S,ovr_ece,0.12796658813873568,1355,827.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,S,calibration_slope,0.5486806727951793,1355,827.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,raw,S,calibration_intercept,0.429947769859444,1355,827.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,multiclass,log_loss,0.8485985599298741,54,,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,multiclass,brier_score,0.4957386421043664,54,,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,top_label,ece,0.10608874277116868,54,,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,I,ovr_brier_score,0.17039031854757442,54,15.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,I,ovr_ece,0.0825045073944946,54,15.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,I,calibration_slope,0.9940635331299414,54,15.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,I,calibration_intercept,-0.026200367840982057,54,15.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,A,ovr_brier_score,0.11629126545051234,54,9.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,A,ovr_ece,0.09603665326421496,54,9.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,A,calibration_slope,0.6744040358253369,54,9.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,A,calibration_intercept,-0.4813306660005231,54,9.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,S,ovr_brier_score,0.20905705810627973,54,30.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,S,ovr_ece,0.11976828056805838,54,30.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,S,calibration_slope,0.8120976605141843,54,30.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,raw,S,calibration_intercept,0.20863624287920443,54,30.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,multiclass,log_loss,0.8852532734107388,1355,,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,multiclass,brier_score,0.5320253557905585,1355,,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,top_label,ece,0.07063330207181398,1355,,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,I,ovr_brier_score,0.19270827923316744,1355,371.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,I,ovr_ece,0.06969621467680562,1355,371.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,I,calibration_slope,0.8559968124155368,1355,371.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,I,calibration_intercept,-0.27534709660123186,1355,371.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,A,ovr_brier_score,0.09676269695707135,1355,157.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,A,ovr_ece,0.14274943406913815,1355,157.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,A,calibration_slope,1.5908941984857121,1355,157.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,A,calibration_intercept,-0.6227739443857476,1355,157.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,S,ovr_brier_score,0.24255437960031975,1355,827.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,S,ovr_ece,0.18818819823884056,1355,827.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,S,calibration_slope,1.06060933101223,1355,827.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
record_mean_across_repeats,calibrated,S,calibration_intercept,0.7343918763844525,1355,827.0,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,calibrated,multiclass,log_loss,0.8867574332787558,54,,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
geological_group_by_reported_type_stratum,calibrated,multiclass,brier_score,0.5220412815502459,54,,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
