Record ID,Geological Group ID,Reference-connected block,reported_type,true_code,repeat_id,repeat_seed,outer_fold,valid_oof,abstain_reason,raw_P_I,raw_P_A,raw_P_S,calibrated_P_I,calibrated_P_A,calibrated_P_S,temperature,temperature_fitted,analysis_protocol_hash,effective_split_seed,split_seed_offset,SHAP::(La/Yb)N,SHAP::A/CNK,SHAP::A/NK,SHAP::Al2O3,SHAP::Ba,SHAP::CaO,SHAP::Ce,SHAP::Dy,SHAP::Er,SHAP::Eu,SHAP::Eu/Eu*,SHAP::Fe*,SHAP::Fe2O3,SHAP::FeO,SHAP::Ga,SHAP::Gd,SHAP::Hf,SHAP::Ho,SHAP::K2O,SHAP::K2O/Na2O,SHAP::La,SHAP::Lu,SHAP::MgO,SHAP::MnO,SHAP::Na2O,SHAP::Nb,SHAP::Nd,SHAP::P2O5,SHAP::Pr,SHAP::Rb,SHAP::Rb/Sr,SHAP::SiO2,SHAP::Sm,SHAP::Sr,SHAP::Ta,SHAP::Tb,SHAP::TiO2,SHAP::Tm,SHAP::Y,SHAP::Yb,SHAP::Zr,SHAP::Zr/Hf
R0081,GG0045,RCB0034,S,2,1,20269892,1,True,,0.12051361799240112,0.8259407877922058,0.05354565754532814,0.19884576272220322,0.6829414052893871,0.1182128319884096,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.072661206,0.04563184,0.08241707,0.031988926,0.016046144,0.015419692,-0.1449282,0.0017042656,0.0054223635,0.016692314,-0.025651567,0.11048394,-0.2006174,0.04151193,0.08106165,0.06079714,0.560009,-0.035611317,-0.07391077,-0.012913864,-0.09865946,0.18258445,0.21249416,-0.013154373,-0.021796033,0.06860499,-0.012325858,-0.0073549286,0.00926243,0.017575907,-0.0050727674,0.0019331202,0.0012401058,-0.04914368,0.18296537,0.0507392,0.075237885,-0.0074787736,-0.019179305,-0.0007037227,-0.18489914,-0.013046157
R0082,GG0045,RCB0034,S,2,1,20269892,1,True,,0.4029780328273773,0.09458288550376892,0.5024390816688538,0.39265140303445223,0.15505374057117158,0.4522948563943763,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06817309,-2.1757558e-05,0.050803423,-0.00012295227,0.041921157,0.09327033,-0.19621885,0.0029936328,-0.02228769,0.08012272,-0.012819874,-0.01032943,-0.33498374,-0.1704994,0.045858137,0.04270476,-1.2162753,-0.03555824,-0.12160246,-0.012913864,-0.09786046,0.11279194,0.17947419,0.0052067153,-0.017146114,0.03987306,-0.0011144371,-0.012890691,-0.24808758,0.01845393,-0.02767862,0.006263539,-0.042951256,-0.017206071,0.13425434,0.04229071,0.075977206,-0.007688652,-0.019179305,0.01620498,-0.16764571,-0.010261986
R0083,GG0045,RCB0034,S,2,1,20269892,1,True,,0.2721373438835144,0.13860011100769043,0.5892625451087952,0.3039710945911163,0.19723639889316694,0.4987925065157168,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06560278,-0.0006231782,0.089528516,0.0011407724,0.043867268,0.08944506,-0.19528377,0.0029936328,-0.027794,0.033112112,0.0020113857,0.011272616,-0.27967772,0.016019534,0.0029299539,0.044484913,-1.2940305,-0.048491552,-0.0037683519,-0.012913864,-0.098271064,0.12150839,0.19057167,-0.0031321114,-0.021796033,0.03053226,-0.0066152206,-0.0038144104,-0.19398788,0.01845393,-0.008158188,-0.025644707,-0.041170966,-0.042027608,0.13584684,0.04201536,0.075977206,-0.007688652,-0.019179305,0.015631914,-0.18489914,-0.010261986
R0084,GG0045,RCB0034,S,2,1,20269892,1,True,,0.22326801717281342,0.069381482899189,0.707350492477417,0.2803427131453413,0.13252568768713918,0.5871315991675196,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.116017714,0.0009967904,-0.019269515,0.011928239,0.0015977863,-0.090889566,-0.14880162,0.0029936328,0.14667286,0.033112112,-0.00293105,0.04210621,-0.22742492,0.03204091,0.03115065,0.042690217,-1.1671467,-0.0347237,-0.12681852,-0.012913864,-0.098271064,0.18675524,0.2517378,0.024143452,-0.012679337,-0.29945838,-0.011144641,-0.0032293336,-0.04621104,-0.024267364,-0.008158188,0.034068055,-0.043642998,-0.052606814,-0.20429909,0.030469976,0.08570622,-0.008504755,-0.019179305,0.015631914,-0.18489914,-0.034851722
R0085,GG0045,RCB0034,S,2,1,20269892,1,True,,0.2662277817726135,0.2580853998661041,0.47568684816360474,0.2914581152528394,0.2857119097460638,0.4228299750010968,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06745456,0.0009967904,-0.047633372,0.018976253,0.0015977863,0.11588877,-0.21661383,0.0029936328,-0.063843116,0.033112112,0.0020113857,0.020389974,-0.25051382,0.01828307,0.05324225,0.044484913,-1.2797589,-0.048491552,0.07741353,-0.012913864,-0.098271064,0.14666884,0.2072488,0.029918004,-0.023247037,0.028485265,-0.007810926,-0.0032293336,-0.03603953,0.01845393,-0.019598084,-0.032145534,-0.042951256,-0.06962469,0.15121225,0.0507392,0.08226772,-0.008504755,-0.019179305,0.111784324,-0.18489914,-0.010261986
R0086,GG0045,RCB0034,S,2,1,20269892,1,True,,0.20372509956359863,0.5333622097969055,0.2629126310348511,0.24808149176355468,0.4597710014317972,0.2921475068046481,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.07706903,0.007081637,-0.020483611,-0.12727663,0.039587278,0.14524859,-0.19240203,0.0017042656,0.03823051,0.016692314,-0.03398799,0.06311469,-0.10905672,0.036723644,0.07301852,0.059095033,0.10609795,-0.04937917,0.016054561,-0.012913864,-0.06779982,0.2589776,-0.12001553,0.019378804,0.0018082401,-0.39835006,-0.0098572085,-0.0038144104,-0.019621192,0.012083769,0.005610171,0.006186257,-0.007956309,-0.08727539,0.2097378,0.024322122,0.091234714,-0.0074787736,-0.015870001,0.08774595,-0.16783959,-0.046577558
R0087,GG0045,RCB0034,S,2,1,20269892,1,True,,0.3429199755191803,0.2966361343860626,0.3604438304901123,0.3397077211524836,0.3095557821053488,0.3507364967421677,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.06560278,0.01404818,0.057933226,0.007000041,0.044942945,0.07822005,-0.19528377,0.0029936328,0.15844285,0.033112112,-0.001106265,0.05746971,-0.22179729,0.047097974,0.04203511,0.044484913,-1.2380574,-0.0347237,-0.12681852,-0.012913864,-0.098271064,0.28004402,0.21647845,-0.0023718895,-0.017427512,0.0315792,-0.0066152206,-0.0038144104,-0.19989058,0.01845393,-0.008158188,0.0019331202,0.07994981,-0.037868254,0.15082243,0.019156627,0.07704954,-0.008504755,-0.019179305,0.111784324,-0.18489914,-0.010261986
R0088,GG0045,RCB0034,S,2,1,20269892,1,True,,0.3799845576286316,0.10660510510206223,0.5134103298187256,0.37657341671297173,0.16672255093234709,0.4567040323546812,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.117383584,-2.1757558e-05,-0.048507035,-0.09912215,0.044464394,-0.07699045,-0.17152125,0.0029936328,0.119618826,0.08012272,0.0020113857,0.042990856,-0.30885723,0.034768827,0.034758784,0.043697104,-1.1263044,-0.0347237,-0.07437305,-0.012913864,-0.098271064,0.19174835,0.28253752,0.0029060338,-0.012679337,0.017386872,-0.011959853,-0.0032293336,-0.03617128,0.01845393,-0.008158188,-0.0053823516,-0.042951256,-0.049298517,-0.21362242,0.003522982,0.07525745,-0.008504755,-0.019179305,0.015631914,-0.16764571,-0.027171047
R0089,GG0045,RCB0034,S,2,1,20269892,1,True,,0.4475266933441162,0.06547876447439194,0.48699450492858887,0.4260124803054682,0.12425699477190122,0.44973052492263055,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.120884374,0.016550722,0.06687316,0.017635182,0.044942945,-0.080626,-0.15813613,0.0029936328,-0.0655311,0.033112112,-0.010995089,0.040492173,-0.20914295,0.020322276,0.03785382,0.042690217,-1.3774121,-0.0347237,-0.12160246,-0.004092294,-0.098271064,0.09510887,0.17132916,0.011837862,-0.0006915955,0.020611022,-0.0085792,-0.0032293336,-0.22306389,0.01845393,-0.008158188,0.016360799,-0.042951256,-0.037868254,-0.33650473,0.035105556,0.0766998,-0.008504755,-0.008751888,0.0134595465,-0.19308253,-0.027171047
R0090,GG0045,RCB0034,S,2,1,20269892,1,True,,0.2330927699804306,0.5001400709152222,0.2667672038078308,0.26869310716770045,0.4383358140718371,0.29297107876046247,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,-0.07362152,-0.0102696195,0.09751873,0.0063696736,0.05322455,0.12399731,-0.20093805,0.0017042656,-0.0065985518,0.06370292,-0.04387682,0.05376628,-0.46630362,-0.1430166,0.028576827,0.0635965,0.60080105,-0.048911035,-0.068694726,-0.012913864,-0.097540185,0.1528081,0.17550416,-0.013154373,-0.021796033,0.048020348,-0.006670917,-0.049946915,-0.25165403,0.017575907,0.007565108,-0.01162103,-0.027710352,-0.06251533,0.14359634,0.09673201,0.07011888,-0.0045398604,-0.019179305,-0.011078844,-0.16764571,-0.013046157
