Record ID,Geological Group ID,Reference-connected block,reported_type,true_code,repeat_id,repeat_seed,outer_fold,valid_oof,abstain_reason,raw_P_I,raw_P_A,raw_P_S,calibrated_P_I,calibrated_P_A,calibrated_P_S,temperature,temperature_fitted,analysis_protocol_hash,effective_split_seed,split_seed_offset,SHAP::(La/Yb)N,SHAP::A/CNK,SHAP::A/NK,SHAP::Al2O3,SHAP::Ba,SHAP::CaO,SHAP::Ce,SHAP::Dy,SHAP::Er,SHAP::Eu,SHAP::Eu/Eu*,SHAP::Fe*,SHAP::Fe2O3,SHAP::FeO,SHAP::Ga,SHAP::Gd,SHAP::Hf,SHAP::Ho,SHAP::K2O,SHAP::K2O/Na2O,SHAP::La,SHAP::Lu,SHAP::MgO,SHAP::MnO,SHAP::Na2O,SHAP::Nb,SHAP::Nd,SHAP::P2O5,SHAP::Pr,SHAP::Rb,SHAP::Rb/Sr,SHAP::SiO2,SHAP::Sm,SHAP::Sr,SHAP::Ta,SHAP::Tb,SHAP::TiO2,SHAP::Tm,SHAP::Y,SHAP::Yb,SHAP::Zr,SHAP::Zr/Hf
R0081,GG0045,RCB0034,S,2,1,20269892,1,True,,0.12051361799240112,0.8259407877922058,0.05354565754532814,0.19884576272220322,0.6829414052893871,0.1182128319884096,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.0,0.040209968,-0.044059347,-0.01070812,0.054817475,0.005471026,0.008234642,0.007734181,-0.02178845,0.0119566955,0.017418984,-0.0011849774,-0.0037249727,0.0,0.005338407,0.0014982896,-0.28991422,-0.02552374,-0.023640802,0.013405215,0.05402644,-0.22093838,-0.010575146,-0.0061343033,0.0044809403,-0.29834503,0.008056249,-0.2680579,0.0,0.16788296,0.044066597,-0.005820171,0.015334669,0.006514836,-0.008108461,-0.18706737,0.0016888762,-0.11062278,0.009151201,-0.3153532,-0.0060827183,-0.01104443
R0082,GG0045,RCB0034,S,2,1,20269892,1,True,,0.4029780328273773,0.09458288550376892,0.5024390816688538,0.39265140303445223,0.15505374057117158,0.4522948563943763,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.0,0.13889723,-0.018096695,0.0044587767,0.12472994,0.034518033,0.009488145,0.008598957,0.021271145,0.0119566955,0.012151234,-0.0011849774,0.25713307,0.0,0.005338407,0.0014982896,0.4285131,0.016377058,0.038993955,0.018737398,0.052568916,-0.17035812,-0.010575146,-0.05319109,0.0047258744,-0.21441217,-0.0031619486,-0.28913137,0.0,0.2174395,0.044066597,-0.0074801124,-0.0025010817,0.006514836,-0.010846827,-0.13500452,0.0016888762,-0.029355789,0.010619797,-0.22570366,-0.02942691,-0.01104443
R0083,GG0045,RCB0034,S,2,1,20269892,1,True,,0.2721373438835144,0.13860011100769043,0.5892625451087952,0.3039710945911163,0.19723639889316694,0.4987925065157168,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.0,0.14000297,-0.018096695,0.005576729,0.12198741,0.030489888,0.024624787,0.013873339,0.021700773,0.0119566955,0.017418984,-0.0011849774,0.19930814,0.0,0.005338407,0.0014982896,0.43024945,0.016377058,-0.027484315,0.017134145,0.052568916,-0.16044503,-0.010575146,-0.010619289,0.0047258744,-0.087900355,-0.0031619486,-0.28913137,0.0,0.22927977,0.044066597,-0.006305108,0.0070311865,0.006514836,-0.010846827,-0.1740526,0.0016888762,-0.057736896,0.010619797,-0.22436592,-0.02942691,-0.01104443
R0084,GG0045,RCB0034,S,2,1,20269892,1,True,,0.22326801717281342,0.069381482899189,0.707350492477417,0.2803427131453413,0.13252568768713918,0.5871315991675196,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.0,0.11046258,0.015108276,0.00603793,0.08997464,0.043913297,0.02043935,0.016236022,-0.09246253,0.0119566955,0.026425954,-0.0011849774,0.16458482,0.0,0.009854526,0.0014982896,0.5544167,-0.02552374,0.094547816,0.014792717,0.059939004,-0.15949425,-0.010575146,0.06727645,0.009777907,0.16034722,0.008056249,-0.34159335,0.0,0.23352407,0.020952517,-0.019267967,0.0096278675,0.006514836,-0.01084864,-0.16845219,0.009582422,-0.11062278,0.029524583,-0.21638371,0.14131506,-0.01104443
R0085,GG0045,RCB0034,S,2,1,20269892,1,True,,0.2662277817726135,0.2580853998661041,0.47568684816360474,0.2914581152528394,0.2857119097460638,0.4228299750010968,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.0,0.12195293,-0.018096695,0.005576729,0.08865522,0.030489888,0.010101158,0.008808477,-0.09362872,0.0119566955,0.017418984,-0.0011849774,0.117933795,0.0,0.005338407,0.0014982896,0.3500346,0.016377058,-0.07269074,0.019619878,0.05782701,-0.19917518,-0.010575146,0.064681426,0.0047258744,-0.217145,-0.0031619486,-0.30703574,0.0,0.1950958,0.044066597,-0.006305108,0.013424859,0.006514836,-0.01175724,-0.1584908,0.0016888762,-0.11062278,0.010619797,-0.24127564,0.014301255,-0.01104443
R0086,GG0045,RCB0034,S,2,1,20269892,1,True,,0.20372509956359863,0.5333622097969055,0.2629126310348511,0.24808149176355468,0.4597710014317972,0.2921475068046481,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.0,0.091178976,-0.01951353,0.0058364095,0.093261376,0.012052581,0.01570551,0.016236022,-0.02178845,0.0119566955,0.017418984,-0.0011849774,0.007403084,0.0,0.005338407,0.0014982896,-0.002069532,-0.02552374,-0.027484315,0.014792717,0.03997326,-0.21443996,-0.010575146,0.016103733,0.0014529475,0.13870856,0.008056249,-0.33658782,0.0,0.2743036,0.04616807,-0.019479947,0.024202358,0.006514836,-0.01084864,-0.20274058,0.0016888762,-0.11062278,0.019439798,-0.28858343,-0.05760779,-0.01104443
R0087,GG0045,RCB0034,S,2,1,20269892,1,True,,0.3429199755191803,0.2966361343860626,0.3604438304901123,0.3397077211524836,0.3095557821053488,0.3507364967421677,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.0,0.058837313,-0.018096695,0.00603793,0.08736096,0.039997257,0.008234642,0.008598957,-0.09246253,0.0119566955,0.017418984,-0.0011849774,0.117717355,0.0,0.005338407,0.0014982896,0.37821153,-0.02552374,-0.032750018,0.0155903315,0.052568916,-0.18304265,-0.010575146,-0.025612477,0.0014529475,-0.2479902,-0.0031619486,-0.28631344,0.0,0.18815367,0.044066597,-0.005820171,0.015334669,0.006514836,-0.0090170605,-0.18706737,0.0016888762,-0.11062278,0.010619797,-0.23299992,0.15424861,-0.01104443
R0088,GG0045,RCB0034,S,2,1,20269892,1,True,,0.3799845576286316,0.10660510510206223,0.5134103298187256,0.37657341671297173,0.16672255093234709,0.4567040323546812,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.0,0.062464904,-0.018096695,0.00603793,0.08736096,0.039997257,0.008234642,0.008598957,-0.09246253,0.0119566955,0.017418984,-0.0011849774,0.23021276,0.0,0.005338407,0.0014982896,0.63290495,-0.02552374,-0.032750018,0.0155903315,0.052568916,-0.16358274,-0.010575146,-0.025612477,0.0014529475,-0.14572512,-0.0031619486,-0.27017128,0.0,0.18639293,0.044066597,-0.005820171,0.015334669,0.006514836,-0.0090170605,-0.18528101,0.0016888762,-0.11062278,0.010619797,-0.20813233,0.15424861,-0.01104443
R0089,GG0045,RCB0034,S,2,1,20269892,1,True,,0.4475266933441162,0.06547876447439194,0.48699450492858887,0.4260124803054682,0.12425699477190122,0.44973052492263055,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.0,-0.008225148,-0.019907618,-0.01070812,0.08916491,-0.056033388,0.008234642,0.008598957,-0.09246253,0.0119566955,0.041171376,-0.0011849774,0.023411386,0.0,0.005338407,0.0014982896,0.6373253,0.016377058,-0.032750018,0.018737398,0.05782701,-0.1986714,-0.010575146,0.05402316,0.0047258744,-0.21339257,-0.0031619486,-0.28807566,0.0,0.2006931,0.044066597,-0.005820171,0.013424859,0.006514836,-0.013587006,-0.18528101,0.0016888762,0.029303463,0.010619797,-0.21788912,0.16492127,-0.01104443
R0090,GG0045,RCB0034,S,2,1,20269892,1,True,,0.2330927699804306,0.5001400709152222,0.2667672038078308,0.26869310716770045,0.4383358140718371,0.29297107876046247,1.5599255564233097,True,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221,20269892,0,0.0,0.12434341,-0.040895484,0.0128159365,0.05960755,-0.0046942187,0.024624787,0.015371246,0.0066703428,0.0119566955,0.041171376,-0.0011849774,0.25496536,0.0,0.005338407,0.0014982896,-0.20746233,0.016377058,-0.027484315,0.017715422,0.052568916,-0.14692667,-0.010575146,0.0072414363,-0.000747351,-0.05658521,-0.0031619486,-0.28498763,0.0,0.2995791,0.044066597,-0.019752905,0.0032341941,0.0072546746,-0.010846827,-0.1740526,0.0016888762,0.029303463,0.011243818,-0.20243715,-0.030508356,-0.01104443
