metric,class,estimate,ci_low,ci_high,bootstrap_unit,bootstrap_replicates,group_type_strata,source_blocks,probability_version,analysis_protocol_hash
macro_f1,multiclass,0.5111111111111111,0.3400592994622846,0.6578692037647261,Reference-connected block,2000,54,52,raw,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
balanced_accuracy,multiclass,0.5,0.3484001782531195,0.653018982932776,Reference-connected block,2000,54,52,raw,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
precision_I,I,0.4666666666666667,0.21428571428571427,0.7142857142857143,Reference-connected block,2000,54,52,raw,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
precision_A,A,0.5,0.0,1.0,Reference-connected block,2000,54,52,raw,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
precision_S,S,0.6363636363636364,0.4666666666666667,0.7878787878787878,Reference-connected block,2000,54,52,raw,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
recall_I,I,0.4666666666666667,0.1875,0.75,Reference-connected block,2000,54,52,raw,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
recall_A,A,0.3333333333333333,0.0,0.6666666666666666,Reference-connected block,2000,54,52,raw,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
recall_S,S,0.7,0.53125,0.8621081504702192,Reference-connected block,2000,54,52,raw,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
f1_I,I,0.4666666666666667,0.21419172932330827,0.6666666666666666,Reference-connected block,2000,54,52,raw,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
f1_A,A,0.4,0.0,0.7,Reference-connected block,2000,54,52,raw,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
f1_S,S,0.6666666666666666,0.5184865900383141,0.7838861588861583,Reference-connected block,2000,54,52,raw,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
macro_f1,multiclass,0.523419540229885,0.3595116437259923,0.6685206991798999,Reference-connected block,2000,54,52,calibrated,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
balanced_accuracy,multiclass,0.5111111111111111,0.3669293743890519,0.6611954887218043,Reference-connected block,2000,54,52,calibrated,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
precision_I,I,0.5,0.23518099547511312,0.7692307692307693,Reference-connected block,2000,54,52,calibrated,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
precision_A,A,0.5,0.0,1.0,Reference-connected block,2000,54,52,calibrated,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
precision_S,S,0.6470588235294118,0.4722222222222222,0.8064516129032258,Reference-connected block,2000,54,52,calibrated,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
recall_I,I,0.4666666666666667,0.21428571428571427,0.75,Reference-connected block,2000,54,52,calibrated,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
recall_A,A,0.3333333333333333,0.0,0.6666666666666666,Reference-connected block,2000,54,52,calibrated,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
recall_S,S,0.7333333333333333,0.5789473684210527,0.8888888888888888,Reference-connected block,2000,54,52,calibrated,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
f1_I,I,0.4827586206896552,0.23988235294117646,0.6923076923076923,Reference-connected block,2000,54,52,calibrated,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
f1_A,A,0.4,0.0,0.6666666666666666,Reference-connected block,2000,54,52,calibrated,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
f1_S,S,0.6875,0.5490196078431373,0.8055659203980099,Reference-connected block,2000,54,52,calibrated,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
