feature,masked_count_total,masked_pearson_r_mean,masked_pearson_r_min,normalized_mae_mean
Al2O3 (wt.%),690,0.8234511532701237,0.8133631703417328,0.33417919406678814
Ba (ppm),693,0.6943202857153686,0.48889188232843567,0.2745380997688924
CaO (wt.%),693,0.6696189033893463,0.5694604405993328,0.3382025372500758
Ce (ppm),720,0.9032384449914262,0.8470094782504036,0.21289132632228822
Dy (ppm),723,0.7203529822062654,0.42061088571638383,0.43321696381035646
Er (ppm),723,0.807420630409362,0.7066363692982697,0.5255517138893631
Eu (ppm),717,0.9809770847667444,0.9740944386516631,1.0429632954299195
Fe2O3 (wt.%),648,0.8446448659378234,0.8212900184025012,0.3121349755569564
FeO (wt.%),444,0.7892551115916252,0.7753523655302136,0.3344769372137486
Ga (ppm),378,0.3918215042632525,0.1730150756528685,0.6364447592334614
Gd (ppm),723,0.9479709253409098,0.9118030810075218,0.17825472769544304
Hf (ppm),654,0.9443381030822016,0.838769385821984,0.789434356497439
Ho (ppm),723,0.9633987394601112,0.9073192601672029,3.788573629742015
K2O (wt.%),687,0.8093127239788777,0.7830279416621339,0.3314007297756945
La (ppm),726,0.7241985656343676,0.6075452227412056,0.24687849302355788
Lu (ppm),717,0.9979067456872089,0.9939134716062478,29.473795671948128
MgO (wt.%),687,0.9089477912043646,0.883940663083499,0.20484810118442864
MnO (wt.%),681,0.680297860878308,0.27138917683570346,0.7761838093237644
Na2O (wt.%),690,0.7381069400464373,0.7293902479711812,0.5353386302246559
Nb (ppm),678,0.8283042535171535,0.7414359249827264,0.3359981058687848
Nd (ppm),720,0.8433874910060094,0.6704347803275543,0.20561158827268508
P2O5 (wt.%),678,0.8451578595335759,0.7815548825041512,0.2619200505380154
Pb (ppm),366,0.21614059115283032,0.06521351374024593,12.74774456939757
Pr (ppm),717,0.7978262940537384,0.5254622001312506,0.2748558263700902
Rb (ppm),681,0.9382592681065054,0.9115199008781366,0.2597795347818281
SiO2 (wt.%),684,0.9117240886402311,0.896342746770018,0.19864651164568278
Sm (ppm),726,0.359263757432055,0.06891933284945728,0.47069781843669994
Sr (ppm),447,0.9093524185384285,0.755541655573493,0.30192191862619977
Ta (ppm),690,0.7461239448749896,0.6501927331950939,3.337278610086654
Tb (ppm),720,0.9863428151361866,0.9731641578950905,1.7801289173621127
Th (ppm),684,0.9430806412416562,0.902122883066868,1.7094394697153588
TiO2 (wt.%),690,0.747444718888878,0.7039128010907097,0.26358076872289504
Tm (ppm),720,0.9975185340266504,0.9950041031733643,24.990863527034943
Y (ppm),666,0.8785425821004834,0.8206231211847355,0.30632574853544065
Yb (ppm),726,0.9347556963187594,0.9007304698799384,0.298794596080833
Zr (ppm),690,0.8523557083447151,0.8165101847805475,0.28337318211086
