feature_1,feature_2,completed_minus_observed_pearson_r
Pb (ppm),Pb (ppm),0.0
Pb (ppm),Ga (ppm),-0.026026483640649935
Pb (ppm),FeO (wt.%),-0.059590107182544094
Pb (ppm),Sr (ppm),-0.12336996133043855
Pb (ppm),Fe2O3 (wt.%),0.09954244680667274
Pb (ppm),Hf (ppm),-0.08217776419860011
Pb (ppm),Y (ppm),-0.09540771901422278
Pb (ppm),Nb (ppm),0.009194196911970404
Pb (ppm),P2O5 (wt.%),0.27408290709063876
Pb (ppm),Rb (ppm),0.05558270200157789
Ga (ppm),Pb (ppm),-0.026026483640649935
Ga (ppm),Ga (ppm),0.0
Ga (ppm),FeO (wt.%),-0.009179751480597971
Ga (ppm),Sr (ppm),0.1769041083939139
Ga (ppm),Fe2O3 (wt.%),-0.005332355132887871
Ga (ppm),Hf (ppm),-0.08926727903945544
Ga (ppm),Y (ppm),-0.04215134735106524
Ga (ppm),Nb (ppm),0.020220845205069615
Ga (ppm),P2O5 (wt.%),0.011324728691334477
Ga (ppm),Rb (ppm),-0.039833483264743064
FeO (wt.%),Pb (ppm),-0.059590107182544094
FeO (wt.%),Ga (ppm),-0.009179751480597971
FeO (wt.%),FeO (wt.%),0.0
FeO (wt.%),Sr (ppm),-0.07861290325676368
FeO (wt.%),Fe2O3 (wt.%),0.05832503063884112
FeO (wt.%),Hf (ppm),-0.14436528654241965
FeO (wt.%),Y (ppm),-0.0772955227330734
FeO (wt.%),Nb (ppm),-0.0033804015839300483
FeO (wt.%),P2O5 (wt.%),0.0587674912005796
FeO (wt.%),Rb (ppm),-0.05597731192333172
Sr (ppm),Pb (ppm),-0.12336996133043855
Sr (ppm),Ga (ppm),0.1769041083939139
Sr (ppm),FeO (wt.%),-0.07861290325676368
Sr (ppm),Sr (ppm),0.0
Sr (ppm),Fe2O3 (wt.%),0.0403793835575334
Sr (ppm),Hf (ppm),0.019969405190298245
Sr (ppm),Y (ppm),-0.05152690300074603
Sr (ppm),Nb (ppm),0.014574117080690563
Sr (ppm),P2O5 (wt.%),-0.0460022669015718
Sr (ppm),Rb (ppm),0.01886256420482535
Fe2O3 (wt.%),Pb (ppm),0.09954244680667274
Fe2O3 (wt.%),Ga (ppm),-0.005332355132887871
Fe2O3 (wt.%),FeO (wt.%),0.05832503063884112
Fe2O3 (wt.%),Sr (ppm),0.0403793835575334
Fe2O3 (wt.%),Fe2O3 (wt.%),0.0
Fe2O3 (wt.%),Hf (ppm),-0.04190873654113858
Fe2O3 (wt.%),Y (ppm),0.0015752096635525403
Fe2O3 (wt.%),Nb (ppm),0.0012175077040102733
Fe2O3 (wt.%),P2O5 (wt.%),0.0145927717470056
Fe2O3 (wt.%),Rb (ppm),0.010773064188921322
Hf (ppm),Pb (ppm),-0.08217776419860011
Hf (ppm),Ga (ppm),-0.08926727903945544
Hf (ppm),FeO (wt.%),-0.14436528654241965
Hf (ppm),Sr (ppm),0.019969405190298245
Hf (ppm),Fe2O3 (wt.%),-0.04190873654113858
Hf (ppm),Hf (ppm),0.0
Hf (ppm),Y (ppm),-0.16533280616084828
Hf (ppm),Nb (ppm),-0.10916618505789907
Hf (ppm),P2O5 (wt.%),0.05068108447742929
Hf (ppm),Rb (ppm),0.041346966986425454
Y (ppm),Pb (ppm),-0.09540771901422278
Y (ppm),Ga (ppm),-0.04215134735106524
Y (ppm),FeO (wt.%),-0.0772955227330734
Y (ppm),Sr (ppm),-0.05152690300074603
Y (ppm),Fe2O3 (wt.%),0.0015752096635525403
Y (ppm),Hf (ppm),-0.16533280616084828
Y (ppm),Y (ppm),0.0
Y (ppm),Nb (ppm),-0.010029519380001795
Y (ppm),P2O5 (wt.%),0.008721218218400273
Y (ppm),Rb (ppm),-0.02151612123655855
Nb (ppm),Pb (ppm),0.009194196911970404
Nb (ppm),Ga (ppm),0.020220845205069615
Nb (ppm),FeO (wt.%),-0.0033804015839300483
Nb (ppm),Sr (ppm),0.014574117080690563
Nb (ppm),Fe2O3 (wt.%),0.0012175077040102733
Nb (ppm),Hf (ppm),-0.10916618505789907
Nb (ppm),Y (ppm),-0.010029519380001795
Nb (ppm),Nb (ppm),0.0
Nb (ppm),P2O5 (wt.%),-0.029790746377062083
Nb (ppm),Rb (ppm),-0.0052985142935425555
P2O5 (wt.%),Pb (ppm),0.27408290709063876
P2O5 (wt.%),Ga (ppm),0.011324728691334477
P2O5 (wt.%),FeO (wt.%),0.0587674912005796
P2O5 (wt.%),Sr (ppm),-0.0460022669015718
P2O5 (wt.%),Fe2O3 (wt.%),0.0145927717470056
P2O5 (wt.%),Hf (ppm),0.05068108447742929
P2O5 (wt.%),Y (ppm),0.008721218218400273
P2O5 (wt.%),Nb (ppm),-0.029790746377062083
P2O5 (wt.%),P2O5 (wt.%),0.0
P2O5 (wt.%),Rb (ppm),-0.026035842505274867
Rb (ppm),Pb (ppm),0.05558270200157789
Rb (ppm),Ga (ppm),-0.039833483264743064
Rb (ppm),FeO (wt.%),-0.05597731192333172
Rb (ppm),Sr (ppm),0.01886256420482535
Rb (ppm),Fe2O3 (wt.%),0.010773064188921322
Rb (ppm),Hf (ppm),0.041346966986425454
Rb (ppm),Y (ppm),-0.02151612123655855
Rb (ppm),Nb (ppm),-0.0052985142935425555
Rb (ppm),P2O5 (wt.%),-0.026035842505274867
Rb (ppm),Rb (ppm),0.0
