feature,missing_fraction,missing_fraction_label_0,missing_fraction_label_1,absolute_label_missingness_gap,masked_count_total,masked_pearson_r_mean,masked_pearson_r_min,normalized_mae_mean,passes_missingness,passes_label_gap,passes_masked_recovery,retained_in_quality_panel
SiO2 (wt.%),0.062114356232003294,0.034822983168891465,0.1285310734463277,0.09370809027743623,684,0.9117240886402311,0.896342746770018,0.19864651164568278,True,True,True,True
TiO2 (wt.%),0.05429864253393665,0.035983749274521186,0.09887005649717515,0.06288630722265395,690,0.747444718888878,0.7039128010907097,0.26358076872289504,True,True,True,True
Al2O3 (wt.%),0.053475935828877004,0.034822983168891465,0.09887005649717515,0.06404707332828369,690,0.8234511532701237,0.8133631703417328,0.33417919406678814,True,True,True,True
Fe2O3 (wt.%),0.11065405183052242,0.06848520023215322,0.2132768361581921,0.1447916359260389,648,0.8446448659378234,0.8212900184025012,0.3121349755569564,True,True,True,True
FeO (wt.%),0.39243109831345124,0.4172954149738828,0.3319209039548023,0.0853745110190805,444,0.7892551115916252,0.7753523655302136,0.3344769372137486,False,True,True,False
MnO (wt.%),0.06499382969971206,0.046430644225188625,0.11016949152542373,0.0637388473002351,681,0.680297860878308,0.27138917683570346,0.7761838093237644,True,True,True,True
MgO (wt.%),0.058823529411764705,0.04236796285548462,0.09887005649717515,0.05650209364169052,687,0.9089477912043646,0.883940663083499,0.20484810118442864,True,True,True,True
CaO (wt.%),0.05141916906622789,0.03192106790481718,0.09887005649717515,0.06694898859235797,693,0.6696189033893463,0.5694604405993328,0.3382025372500758,True,True,True,True
Na2O (wt.%),0.05429864253393665,0.035983749274521186,0.09887005649717515,0.06288630722265395,690,0.7381069400464373,0.7293902479711812,0.5353386302246559,True,True,True,True
K2O (wt.%),0.057178116001645414,0.04004643064422519,0.09887005649717515,0.05882362585294996,687,0.8093127239788777,0.7830279416621339,0.3314007297756945,True,True,True,True
P2O5 (wt.%),0.07198683669271905,0.06094022054556007,0.09887005649717515,0.037929835951615073,678,0.8451578595335759,0.7815548825041512,0.2619200505380154,True,True,True,True
Rb (ppm),0.06499382969971206,0.05107370864770749,0.09887005649717515,0.04779634784946766,681,0.9382592681065054,0.9115199008781366,0.2597795347818281,True,True,True,True
Sr (ppm),0.38543809132044426,0.5333720255368544,0.025423728813559324,0.507948296723295,447,0.9093524185384285,0.755541655573493,0.30192191862619977,False,False,True,False
Y (ppm),0.08597285067873303,0.06500290191526407,0.1370056497175141,0.07200274780225004,666,0.8785425821004834,0.8206231211847355,0.30632574853544065,True,True,True,True
Zr (ppm),0.053475935828877004,0.06268136970400465,0.031073446327683617,0.031607923376321026,690,0.8523557083447151,0.8165101847805475,0.28337318211086,True,True,True,True
Nb (ppm),0.06993006993006994,0.05629715612304121,0.10310734463276836,0.046810188509727145,678,0.8283042535171535,0.7414359249827264,0.3359981058687848,True,True,True,True
Ba (ppm),0.0481283422459893,0.056877539175856064,0.026836158192090395,0.03004138098376567,693,0.6943202857153686,0.48889188232843567,0.2745380997688924,True,True,True,True
La (ppm),0.004524886877828055,0.002901915264074289,0.00847457627118644,0.005572661007112152,726,0.7241985656343676,0.6075452227412056,0.24687849302355788,True,True,True,True
Ce (ppm),0.011106540518305225,0.01044689495066744,0.012711864406779662,0.0022649694561122213,720,0.9032384449914262,0.8470094782504036,0.21289132632228822,True,True,True,True
Pr (ppm),0.016042780748663103,0.002901915264074289,0.0480225988700565,0.04512068360598221,717,0.7978262940537384,0.5254622001312506,0.2748558263700902,True,True,True,True
Nd (ppm),0.013574660633484163,0.004062681369704005,0.03672316384180791,0.03266048247210391,720,0.8433874910060094,0.6704347803275543,0.20561158827268508,True,True,True,True
Sm (ppm),0.005758946935417524,0.004062681369704005,0.009887005649717515,0.00582432428001351,726,0.359263757432055,0.06891933284945728,0.47069781843669994,True,True,False,False
Eu (ppm),0.01851090086384204,0.01857225769007545,0.018361581920903956,0.0002106757691714943,717,0.9809770847667444,0.9740944386516631,1.0429632954299195,True,True,True,True
Gd (ppm),0.010283833813245578,0.0075449796865931515,0.01694915254237288,0.00940417285577973,723,0.9479709253409098,0.9118030810075218,0.17825472769544304,True,True,True,True
Tb (ppm),0.012340600575894693,0.009866511897852582,0.018361581920903956,0.008495070023051374,720,0.9863428151361866,0.9731641578950905,1.7801289173621127,True,True,True,True
Dy (ppm),0.007404360345536816,0.002901915264074289,0.018361581920903956,0.015459666656829667,723,0.7203529822062654,0.42061088571638383,0.43321696381035646,True,True,True,True
Ho (ppm),0.009461127108185932,0.006384213580963436,0.01694915254237288,0.010564938961409445,723,0.9633987394601112,0.9073192601672029,3.788573629742015,True,True,True,True
Er (ppm),0.006993006993006993,0.002901915264074289,0.01694915254237288,0.014047237278298593,723,0.807420630409362,0.7066363692982697,0.5255517138893631,True,True,True,True
Tm (ppm),0.014397367338543809,0.013348810214741729,0.01694915254237288,0.0036003423276311525,720,0.9975185340266504,0.9950041031733643,24.990863527034943,True,True,True,True
Yb (ppm),0.005758946935417524,0.002901915264074289,0.012711864406779662,0.009809949142705374,726,0.9347556963187594,0.9007304698799384,0.298794596080833,True,True,True,True
Lu (ppm),0.01809954751131222,0.012188044109112013,0.03248587570621469,0.020297831597102675,717,0.9979067456872089,0.9939134716062478,29.473795671948128,True,True,True,True
Hf (ppm),0.10119292472233649,0.118398142774231,0.059322033898305086,0.05907610887592591,654,0.9443381030822016,0.838769385821984,0.789434356497439,True,True,True,True
Ta (ppm),0.055944055944055944,0.06674405107370865,0.029661016949152543,0.0370830341245561,690,0.7461239448749896,0.6501927331950939,3.337278610086654,True,True,True,True
Th (ppm),0.061291649526943645,0.0742890307603018,0.029661016949152543,0.04462801381114925,684,0.9430806412416562,0.902122883066868,1.7094394697153588,True,True,True,True
Ga (ppm),0.4796380090497738,0.3969820081253627,0.6807909604519774,0.2838089523266147,378,0.3918215042632525,0.1730150756528685,0.6364447592334614,False,False,False,False
Pb (ppm),0.49609214315096667,0.4248403946604759,0.6694915254237288,0.2446511307632529,366,0.21614059115283032,0.06521351374024593,12.74774456939757,False,False,False,False
