CV Block ID,Geological Group ID,record_count,reference_ids
CVB0001,GG0001,7,REF0001
CVB0002,GG0002,41,REF0190;REF0191
CVB0002,GG0015,27,REF0191;REF0192
CVB0003,GG0003,25,REF0010;REF0011
CVB0004,GG0004,67,REF0169;REF0170;REF0171;REF0172;REF0173
CVB0005,GG0005,55,REF0144;REF0145
CVB0006,GG0006,10,REF0201
CVB0007,GG0007,11,REF0013
CVB0007,GG0017,27,REF0013;REF0200
CVB0008,GG0008,47,REF0186;REF0187;REF0188
CVB0009,GG0009,55,REF0146;REF0147;REF0148;REF0149;REF0150
CVB0010,GG0010,15,REF0045;REF0209
CVB0010,GG0021,140,REF0003;REF0004;REF0008;REF0036;REF0042;REF0043;REF0057;REF0058;REF0059;REF0206;REF0208;REF0209
CVB0010,GG0044,12,REF0007;REF0125;REF0209
CVB0011,GG0011,30,REF0077;REF0110
CVB0012,GG0012,31,REF0055;REF0060;REF0061
CVB0013,GG0013,16,REF0075;REF0080
CVB0014,GG0014,15,REF0072
CVB0015,GG0016,7,REF0073
CVB0016,GG0018,15,REF0128;REF0129
CVB0017,GG0019,5,REF0184
CVB0018,GG0020,9,REF0014;REF0030
CVB0019,GG0022,18,REF0005;REF0084
CVB0020,GG0023,38,REF0195;REF0196;REF0197;REF0198
CVB0021,GG0024,20,REF0123;REF0124
CVB0022,GG0025,12,REF0026
CVB0023,GG0026,8,REF0078
CVB0024,GG0027,20,REF0202;REF0203
CVB0025,GG0028,5,REF0047
CVB0026,GG0029,7,REF0137
CVB0027,GG0030,61,REF0143
CVB0028,GG0031,4,REF0096
CVB0029,GG0032,23,REF0193;REF0194
CVB0030,GG0033,81,REF0021;REF0022;REF0051;REF0069;REF0070;REF0071;REF0155
CVB0031,GG0034,75,REF0015;REF0037;REF0048;REF0065;REF0066;REF0068
CVB0032,GG0035,72,REF0018;REF0053;REF0054
CVB0033,GG0036,84,REF0087;REF0109;REF0177
CVB0034,GG0037,6,REF0132
CVB0035,GG0038,222,REF0012;REF0016;REF0019;REF0020;REF0029;REF0034;REF0039;REF0041;REF0046;REF0049;REF0052
CVB0036,GG0039,119,REF0090;REF0121;REF0156;REF0157;REF0158;REF0159
CVB0037,GG0040,33,REF0165;REF0166;REF0167;REF0168
CVB0038,GG0041,21,REF0081
CVB0039,GG0042,7,REF0002
CVB0040,GG0043,6,REF0006
CVB0041,GG0045,11,REF0009
CVB0042,GG0046,18,REF0017;REF0067
CVB0043,GG0047,15,REF0023;REF0031
CVB0044,GG0048,4,REF0024
CVB0045,GG0049,12,REF0025
CVB0046,GG0050,6,REF0027
CVB0047,GG0051,5,REF0028
CVB0048,GG0052,3,REF0032
CVB0049,GG0053,6,REF0033
CVB0050,GG0054,21,REF0035
CVB0051,GG0055,5,REF0038
CVB0052,GG0056,8,REF0040
CVB0053,GG0057,10,REF0044
CVB0054,GG0058,7,REF0050
CVB0055,GG0059,15,REF0056
CVB0056,GG0060,11,REF0062
CVB0057,GG0061,10,REF0063;REF0064
CVB0058,GG0062,7,REF0074
CVB0059,GG0063,18,REF0076
CVB0060,GG0064,5,REF0079
CVB0061,GG0065,11,REF0082
CVB0062,GG0066,3,REF0083
CVB0063,GG0067,5,REF0085
CVB0064,GG0068,5,REF0086
CVB0065,GG0069,4,REF0088
CVB0066,GG0070,14,REF0089
CVB0067,GG0071,14,REF0091
CVB0068,GG0072,8,REF0092
CVB0069,GG0073,5,REF0093
CVB0070,GG0074,8,REF0094
CVB0071,GG0075,10,REF0095
CVB0072,GG0076,6,REF0097
CVB0073,GG0077,15,REF0098
CVB0074,GG0078,34,REF0099
CVB0075,GG0079,99,REF0100
CVB0076,GG0080,6,REF0101
CVB0077,GG0081,5,REF0102
CVB0078,GG0082,11,REF0103
CVB0079,GG0083,12,REF0104
CVB0080,GG0084,4,REF0105
CVB0081,GG0085,8,REF0106
CVB0082,GG0086,16,REF0107
CVB0083,GG0087,19,REF0108
CVB0084,GG0088,15,REF0111
CVB0085,GG0089,7,REF0112
CVB0086,GG0090,16,REF0113
CVB0087,GG0091,25,REF0114
CVB0088,GG0092,13,REF0115
CVB0089,GG0093,21,REF0116
CVB0090,GG0094,13,REF0117
CVB0091,GG0095,33,REF0118
CVB0092,GG0096,9,REF0119
CVB0093,GG0097,8,REF0120
CVB0094,GG0098,18,REF0122
CVB0095,GG0099,7,REF0126
CVB0096,GG0100,13,REF0127
CVB0097,GG0101,5,REF0130
CVB0098,GG0102,20,REF0131
CVB0099,GG0103,12,REF0133
CVB0100,GG0104,6,REF0134
CVB0101,GG0105,11,REF0135
CVB0102,GG0106,25,REF0136
CVB0103,GG0107,5,REF0138
CVB0104,GG0108,40,REF0139
CVB0105,GG0109,9,REF0140
CVB0106,GG0110,13,REF0141
CVB0107,GG0111,35,REF0142
CVB0108,GG0112,11,REF0151
CVB0109,GG0113,12,REF0152
CVB0110,GG0114,16,REF0153
CVB0111,GG0115,23,REF0154
CVB0112,GG0116,10,REF0160
CVB0113,GG0117,26,REF0161
CVB0114,GG0118,65,REF0162;REF0163;REF0164
CVB0115,GG0119,12,REF0174
CVB0116,GG0120,16,REF0175
CVB0117,GG0121,6,REF0176
CVB0118,GG0122,19,REF0178;REF0179
CVB0119,GG0123,41,REF0180;REF0181;REF0182;REF0183
CVB0120,GG0124,9,REF0185
CVB0121,GG0125,33,REF0189
CVB0122,GG0126,53,REF0199
CVB0123,GG0127,3,REF0204
CVB0124,GG0128,5,REF0205
CVB0125,GG0129,8,REF0207
