feature,primary_missing_fraction,decision
SiO2 (wt.%),0.062114356232003294,retained
TiO2 (wt.%),0.05429864253393665,retained
Al2O3 (wt.%),0.053475935828877004,retained
Fe2O3 (wt.%),0.11065405183052242,retained
FeO (wt.%),0.39243109831345124,retained
MnO (wt.%),0.06499382969971206,retained
MgO (wt.%),0.058823529411764705,retained
CaO (wt.%),0.05141916906622789,retained
Na2O (wt.%),0.05429864253393665,retained
K2O (wt.%),0.057178116001645414,retained
P2O5 (wt.%),0.07198683669271905,retained
FeOT (wt.%),0.8284656519950637,excluded_nonharmonized_total_iron
Rb (ppm),0.06499382969971206,retained
Sr (ppm),0.38543809132044426,retained
Y (ppm),0.08597285067873303,retained
Zr (ppm),0.053475935828877004,retained
Nb (ppm),0.06993006993006994,retained
Ba (ppm),0.0481283422459893,retained
La (ppm),0.004524886877828055,retained
Ce (ppm),0.011106540518305225,retained
Pr (ppm),0.016042780748663103,retained
Nd (ppm),0.013574660633484163,retained
Sm (ppm),0.005758946935417524,retained
Eu (ppm),0.01851090086384204,retained
Gd (ppm),0.010283833813245578,retained
Tb (ppm),0.012340600575894693,retained
Dy (ppm),0.007404360345536816,retained
Ho (ppm),0.009461127108185932,retained
Er (ppm),0.006993006993006993,retained
Tm (ppm),0.014397367338543809,retained
Yb (ppm),0.005758946935417524,retained
Lu (ppm),0.01809954751131222,retained
Hf (ppm),0.10119292472233649,retained
Ta (ppm),0.055944055944055944,retained
Th (ppm),0.061291649526943645,retained
U (ppm),0.09214315096668038,excluded_direct_ore_feature
Li (ppm),0.7079391197038256,excluded_feature_missingness
Be (ppm),0.702180172768408,excluded_feature_missingness
Sc (ppm),0.6425339366515838,excluded_feature_missingness
Ti (ppm),0.8041958041958042,excluded_feature_missingness
V (ppm),0.6170300287947347,excluded_feature_missingness
Cr (ppm),0.5779514603044015,excluded_feature_missingness
Mn (ppm),0.9518716577540107,excluded_feature_missingness
Co (ppm),0.6219662690250926,excluded_feature_missingness
Ni (ppm),0.5750719868366927,excluded_feature_missingness
Cu (ppm),0.6454134101192924,excluded_feature_missingness
Zn (ppm),0.6351295763060469,excluded_feature_missingness
Ga (ppm),0.4796380090497738,retained
Mo (ppm),0.7449609214315097,excluded_feature_missingness
Cd (ppm),0.8724804607157548,excluded_feature_missingness
Sn (ppm),0.8288770053475936,excluded_feature_missingness
Cs (ppm),0.5549156725627313,excluded_feature_missingness
W (ppm),0.6836692719045661,excluded_feature_missingness
Pb (ppm),0.49609214315096667,retained
Bi (ppm),0.8202385849444673,excluded_feature_missingness
