study_name,model,repeat,outer_fold,selected_trial_number,parameter_hash,threshold,threshold_status,completed_trial_count,roc_auc,average_precision,fold_auc_sd,f1_at_0_5,balanced_accuracy_at_0_5,complexity,optimizer_converged_fraction,optimizer_iterations_max,optimizer_fit_cycles_max,outer_seed,inner_seed,actual_inner_folds,parameters_json
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f1,RF,1,1,34,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,0.45999999999999996,constraints_met,40,0.8454081632653061,0.6606133589817191,0.07492998047263162,0.6666666666666666,0.7607142857142857,7820.0,1.0,0.0,1.0,20270815,20270915,4,"{""max_depth"": 20, ""max_features"": 0.41574092342361063, ""min_samples_leaf"": 2, ""n_estimators"": 782}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_SVM_r1_f1,SVM,1,1,18,1eabd5293d0de0d20b09b2b3967fef1a35087bac10b7cb29330d5b74e8d4c83c,0.54,constraints_met,40,0.851530612244898,0.7478795163552612,0.10471613291142641,0.7547169811320755,0.8214285714285714,5.144758615898085,1.0,0.0,1.0,20270815,20270915,4,"{""C"": 15.749788003158205, ""gamma"": 0.08860023808725476}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_MLP_r1_f1,MLP,1,1,20,f556307e0680cb81a2f4789e663cb6be742c39e36a755d1c0839790b3b551ac7,0.42500000000000004,constraints_met,40,0.8500000000000001,0.6827178191782288,0.11635492745389495,0.68,0.7678571428571428,57.0,1.0,668.0,2.0,20270815,20270915,4,"{""alpha"": 3.996184326885124e-06, ""hidden_layer_sizes"": [57], ""learning_rate_init"": 0.0010570588374711513}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_XGBoost_r1_f1,XGBoost,1,1,22,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,0.27,constraints_met,40,0.8765306122448979,0.7550099613087795,0.07723216940561542,0.6538461538461539,0.7535714285714286,3904.0,1.0,0.0,1.0,20270815,20270915,4,"{""colsample_bytree"": 0.8151819867614247, ""gamma"": 0.31191216234110436, ""learning_rate"": 0.07556292187152198, ""max_depth"": 3, ""min_child_weight"": 2.7022211499696995, ""n_estimators"": 488, ""reg_alpha"": 0.025422996748557927, ""reg_lambda"": 0.2470359372482211, ""subsample"": 0.810858334066734}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f2,RF,1,2,38,524b665e7886c59d45a540381626605749f185b46449066b98b383ad21d1d842,0.475,constraints_met,40,0.8257694314032342,0.6199609094782154,0.07534515323049,0.6086956521739131,0.7240479916536254,3429.3333333333335,1.0,0.0,1.0,20270815,20271015,4,"{""max_depth"": 16, ""max_features"": 0.33847617051113776, ""min_samples_leaf"": 3, ""n_estimators"": 643}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_SVM_r1_f2,SVM,1,2,35,30984325f21d7e51e97a2be857f1f9b554e5ac13110396eb44facbb335316e27,0.5,constraints_met,40,0.8268127282211789,0.6952704659501234,0.08665944141429252,0.72,0.7981220657276995,4.67746973586727,1.0,0.0,1.0,20270815,20271015,4,"{""C"": 4.882916807878598, ""gamma"": 0.09744192241072244}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_MLP_r1_f2,MLP,1,2,23,2213497e33c6e472650e05b4b926ed941436053a2d75884eb2be8511d3a63ba9,0.11,constraints_met,40,0.8278560250391236,0.7020434938521507,0.11949773931621238,0.6,0.7214397496087637,160.0,1.0,77.0,1.0,20270815,20271015,4,"{""alpha"": 0.0004671563334878068, ""hidden_layer_sizes"": [83, 77], ""learning_rate_init"": 0.005620398135413517}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_XGBoost_r1_f2,XGBoost,1,2,23,346ddaf5046939880747f8abfdd9d7bd219590954e73ecb9a4c5f431db560ccd,0.64,constraints_met,40,0.8523735002608241,0.6667916540519404,0.05040097195941087,0.6530612244897959,0.7540427751695358,6896.0,1.0,0.0,1.0,20270815,20271015,4,"{""colsample_bytree"": 0.6048264921173632, ""gamma"": 0.19946905888200187, ""learning_rate"": 0.0493739662907725, ""max_depth"": 3, ""min_child_weight"": 3.6306182750552916, ""n_estimators"": 862, ""reg_alpha"": 0.002405039148050681, ""reg_lambda"": 0.030421925927407525, ""subsample"": 0.8420706963420665}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f3,RF,1,3,11,092f683bb82138f6b36af62c8c89b40acfca1e1ff5c6887140096d88b6823f67,0.385,constraints_met,40,0.7979414951245938,0.5777832357677833,0.07988706793010125,0.4878048780487805,0.6570964247020585,2630.0,1.0,0.0,1.0,20270815,20271115,4,"{""max_depth"": null, ""max_features"": 0.3040994981169328, ""min_samples_leaf"": 9, ""n_estimators"": 789}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_SVM_r1_f3,SVM,1,3,9,2f96755415e843cdb37d149418584815a6bcc5aaab4c957e97f9868cf7aef7d6,0.36,constraints_met,40,0.8304442036836402,0.6368812110181655,0.05156547783427675,0.47368421052631576,0.6519501625135428,2.694801559070731,1.0,0.0,1.0,20270815,20271115,4,"{""C"": 0.3308272939289489, ""gamma"": 0.01495925637557467}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_MLP_r1_f3,MLP,1,3,6,177f6cf95b8d2ad76a0b5bf0182435344faca0311c1b3e659cab5e1b7dfba2cd,0.16,constraints_met,40,0.7973997833152763,0.6216948328582173,0.08394336208554087,0.5957446808510638,0.7199349945828819,166.0,1.0,377.0,1.0,20270815,20271115,4,"{""alpha"": 7.597970811528197e-05, ""hidden_layer_sizes"": [98, 68], ""learning_rate_init"": 0.00022050459857809624}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_XGBoost_r1_f3,XGBoost,1,3,12,ef4f82564a9ba494f340b55224365edc9cfc5cba40b00edea526e21aa7f8439a,0.2,constraints_met,40,0.8228602383531961,0.6324761222442925,0.051835944855419765,0.5909090909090909,0.7147887323943662,21248.0,1.0,0.0,1.0,20270815,20271115,4,"{""colsample_bytree"": 0.6182078936491094, ""gamma"": 0.7018101112614493, ""learning_rate"": 0.1170336015430084, ""max_depth"": 5, ""min_child_weight"": 2.2138114764539507, ""n_estimators"": 664, ""reg_alpha"": 1.1727441700456089e-06, ""reg_lambda"": 0.0011594014640212635, ""subsample"": 0.7670783503490396}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f4,RF,1,4,18,fb80954f908f0a8fec654d7f0bd2c8e8bca916a7ee8075726d83e223782fc38a,0.395,constraints_met,40,0.8341836734693878,0.6339176078617925,0.036845172034269395,0.6153846153846154,0.7285714285714285,831.6666666666666,1.0,0.0,1.0,20270815,20271215,4,"{""max_depth"": 5, ""max_features"": 0.41915196463034327, ""min_samples_leaf"": 6, ""n_estimators"": 998}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_SVM_r1_f4,SVM,1,4,32,73f9a81e69f10ff60d89c420dea462c8aa28c72f6bb372b8d127941f1caa6e3a,0.485,constraints_met,40,0.8112244897959183,0.6649595695890089,0.02982304458069486,0.6909090909090909,0.7821428571428571,3.9450163423924134,1.0,0.0,1.0,20270815,20271215,4,"{""C"": 2.6734629899727937, ""gamma"": 0.032946582177666675}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_MLP_r1_f4,MLP,1,4,33,3f42412155d2efbc5c112cb100d2d5d1e427594006fe8a3a80388f5a93ebdf65,0.12000000000000001,constraints_met,40,0.810204081632653,0.6423171919518986,0.02476455737283658,0.5882352941176471,0.7107142857142856,97.0,1.0,87.0,1.0,20270815,20271215,4,"{""alpha"": 0.0001826932685568838, ""hidden_layer_sizes"": [39, 58], ""learning_rate_init"": 0.004955380324977287}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_XGBoost_r1_f4,XGBoost,1,4,4,2a8b1d148acd67bb10e93abe1211393f264d78f08459ade4caba8041b6f90760,0.46499999999999997,constraints_met,40,0.8505102040816327,0.6724047041863288,0.023486840224811678,0.6909090909090909,0.7821428571428571,2460.0,1.0,0.0,1.0,20270815,20271215,4,"{""colsample_bytree"": 0.7789379391760244, ""gamma"": 0.8118660718703283, ""learning_rate"": 0.0457022486420064, ""max_depth"": 2, ""min_child_weight"": 3.4852136184325233, ""n_estimators"": 615, ""reg_alpha"": 2.4963425487125875e-06, ""reg_lambda"": 0.0059795460974147166, ""subsample"": 0.6746652679694823}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r1_f5,RF,1,5,35,0a1f82f77679a88d1a356b6b4711e4b425ebd6f1115a98bac96ad1d5b1d27c16,0.49,constraints_met,40,0.8428571428571429,0.5999453552742968,0.07332969139818296,0.7307692307692307,0.8089947089947089,3592.5,1.0,0.0,1.0,20270815,20271315,4,"{""max_depth"": null, ""max_features"": 0.6781395192266195, ""min_samples_leaf"": 4, ""n_estimators"": 479}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_SVM_r1_f5,SVM,1,5,27,d59f5a2979c0f15c7662a57de41f8255b1f6ef840e3687133496f4c13628c441,0.46499999999999997,constraints_met,40,0.8804232804232804,0.7201777797911169,0.06531680842607292,0.6666666666666666,0.7563492063492063,4.813838293712995,1.0,0.0,1.0,20270815,20271315,4,"{""C"": 6.686020445869481, ""gamma"": 0.09741504013610294}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_MLP_r1_f5,MLP,1,5,37,acb49521732b9bcf049542a2dea5a4b7f812ac36c18c2e327600257eb9f88370,0.275,constraints_met,40,0.8835978835978835,0.7000133651006668,0.07990219588005157,0.6086956521739131,0.7235449735449735,120.0,1.0,448.0,1.0,20270815,20271315,4,"{""alpha"": 8.184860780791642e-05, ""hidden_layer_sizes"": [88, 32], ""learning_rate_init"": 0.00028790157339973483}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_XGBoost_r1_f5,XGBoost,1,5,22,5f62d3872bc5b0320c77367b04fd72f500b433ab1cfe1ba74280d204b50cc69f,0.33,constraints_met,40,0.8666666666666666,0.6853952014127376,0.07898860471113063,0.72,0.7976190476190477,9344.0,1.0,0.0,1.0,20270815,20271315,4,"{""colsample_bytree"": 0.8716755412958956, ""gamma"": 0.7607855068019125, ""learning_rate"": 0.04397069247195843, ""max_depth"": 4, ""min_child_weight"": 2.02550363846712, ""n_estimators"": 584, ""reg_alpha"": 0.008750542413784838, ""reg_lambda"": 0.011024534306252939, ""subsample"": 0.8733519389343458}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_RF_r2_f1,RF,2,1,21,5433d0f0a4d6ea328db2349074630567f5298b63732b314b3553fc709de342bb,0.405,constraints_met,40,0.8271221532091096,0.6297580399329321,0.15727311242367176,0.7169811320754716,0.795807453416149,4282.5,1.0,0.0,1.0,20280815,20280915,4,"{""max_depth"": null, ""max_features"": 0.36462594957577765, ""min_samples_leaf"": 4, ""n_estimators"": 571}"
task_a_source_connected_optuna_shap_v7_3_convergence_audited_9eb1905b0d2d_SVM_r2_f1,SVM,2,1,33,21d4b1502bd0fee5baf7a05de6be7be21cd926ad8b2e619d376fcf39947c84b6,0.47,constraints_met,40,0.8302277432712215,0.7064661169165474,0.12211837223635368,0.7272727272727273,0.8064182194616978,5.099591227107878,1.0,0.0,1.0,20280815,20280915,4,"{""C"": 22.931190465852698, ""gamma"": 0.0548384836529972}"
