model,repeat,outer_fold,COMPLETE,PRUNED,FAIL,total_trials,total_duration_seconds,passed
MLP,1,1,40,0,0,40,809.164746,True
MLP,1,2,40,0,0,40,851.098974,True
MLP,1,3,40,0,0,40,842.699557,True
MLP,1,4,40,0,0,40,666.002632,True
MLP,1,5,40,0,0,40,1639.127661,True
MLP,2,1,40,0,0,40,1528.598564,True
MLP,2,2,40,0,0,40,753.271128,True
MLP,2,3,40,0,0,40,1016.116205,True
MLP,2,4,40,0,0,40,925.374068,True
MLP,2,5,40,0,0,40,818.227338,True
MLP,3,1,40,0,0,40,1144.00467,True
MLP,3,2,40,0,0,40,892.779662,True
MLP,3,3,40,0,0,40,1115.067677,True
MLP,3,4,40,0,0,40,1311.400705,True
MLP,3,5,40,0,0,40,1189.9554679999999,True
RF,1,1,40,0,0,40,824.404828,True
RF,1,2,40,0,0,40,569.066672,True
RF,1,3,40,0,0,40,592.52902,True
RF,1,4,40,0,0,40,540.162528,True
RF,1,5,40,0,0,40,581.5013739999999,True
RF,2,1,40,0,0,40,673.749638,True
RF,2,2,40,0,0,40,633.111977,True
RF,2,3,40,0,0,40,539.184453,True
RF,2,4,40,0,0,40,623.508285,True
RF,2,5,40,0,0,40,770.2517310000001,True
RF,3,1,40,0,0,40,695.781783,True
RF,3,2,40,0,0,40,558.554212,True
RF,3,3,40,0,0,40,628.381567,True
RF,3,4,40,0,0,40,540.35113,True
RF,3,5,40,0,0,40,535.204734,True
SVM,1,1,40,0,0,40,31.289952,True
SVM,1,2,40,0,0,40,32.2901,True
SVM,1,3,40,0,0,40,25.361964,True
SVM,1,4,40,0,0,40,30.104112,True
SVM,1,5,40,0,0,40,31.05362,True
SVM,2,1,40,0,0,40,32.175225,True
SVM,2,2,40,0,0,40,24.902764,True
SVM,2,3,40,0,0,40,29.794917,True
SVM,2,4,40,0,0,40,33.541819000000004,True
SVM,2,5,40,0,0,40,30.716784,True
SVM,3,1,40,0,0,40,29.959454,True
SVM,3,2,40,0,0,40,33.566997,True
SVM,3,3,40,0,0,40,30.499019,True
SVM,3,4,40,0,0,40,34.439958,True
SVM,3,5,40,0,0,40,22.079655,True
XGBoost,1,1,40,0,0,40,133.616032,True
XGBoost,1,2,40,0,0,40,126.4001,True
XGBoost,1,3,40,0,0,40,113.00186,True
XGBoost,1,4,40,0,0,40,113.776832,True
XGBoost,1,5,40,0,0,40,110.161545,True
XGBoost,2,1,40,0,0,40,129.832281,True
XGBoost,2,2,40,0,0,40,107.591432,True
XGBoost,2,3,40,0,0,40,100.046418,True
XGBoost,2,4,40,0,0,40,103.069034,True
XGBoost,2,5,40,0,0,40,130.104324,True
XGBoost,3,1,40,0,0,40,155.119238,True
XGBoost,3,2,40,0,0,40,116.953933,True
XGBoost,3,3,40,0,0,40,103.66833,True
XGBoost,3,4,40,0,0,40,123.283365,True
XGBoost,3,5,40,0,0,40,118.968565,True
