Geological Group ID,target,target_nunique,cv_block,model_score,model_score_mean_sensitivity,record_count,prediction,score_type,threshold,threshold_status,repeat,outer_fold,model,parameter_hash,analysis_protocol_hash,optimizer_converged,optimizer_iterations,optimizer_fit_cycles
GG0012,1,1,CVB0012,0.11892111470662892,0.15111713199707633,28,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0019,0,1,CVB0017,0.017601327395911002,0.05078608463605958,5,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0023,0,1,CVB0020,0.17769701852224257,0.21774800154238427,38,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0029,0,1,CVB0026,0.006641918073031161,0.10942137390847165,7,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0030,0,1,CVB0027,0.04614353469267584,0.08430255122616881,59,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0037,0,1,CVB0034,0.14123139152072328,0.15878175204002457,6,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0041,1,1,CVB0038,0.6477985541075268,0.6234317172889272,21,1,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0048,1,1,CVB0044,0.09154966666608257,0.1003831812589816,4,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0054,1,1,CVB0050,0.5308864364787491,0.5242560222006208,21,1,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0059,1,1,CVB0055,0.5461222212644303,0.5387315466620493,15,1,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0064,1,1,CVB0060,0.695351423201232,0.7071146416139862,5,1,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0071,0,1,CVB0067,0.43856923979901413,0.36717575397816565,14,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0074,0,1,CVB0070,0.1607342253423301,0.1553996783499429,8,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0081,0,1,CVB0077,0.28546481826767245,0.28127686131999086,5,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0084,0,1,CVB0080,0.0308560832086378,0.05238018787557217,4,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
GG0089,0,1,CVB0085,0.09437787708466906,0.09603182724383631,7,0,predict_proba,0.45999999999999996,constraints_met,1,1,RF,f6eaa8254f4b2d2bc62a7945af87d62804b2bd8f985aed0baeff452631f62f8b,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,True,0,1
