repeat,outer_fold,outer_seed,partition,Geological Group ID,CV Block ID
1,1,20270815,train,GG0001,CVB0001
1,1,20270815,train,GG0042,CVB0039
1,1,20270815,train,GG0043,CVB0040
1,1,20270815,train,GG0044,CVB0010
1,1,20270815,train,GG0045,CVB0041
1,1,20270815,train,GG0003,CVB0003
1,1,20270815,train,GG0038,CVB0035
1,1,20270815,train,GG0007,CVB0007
1,1,20270815,train,GG0020,CVB0018
1,1,20270815,train,GG0034,CVB0031
1,1,20270815,train,GG0046,CVB0042
1,1,20270815,train,GG0035,CVB0032
1,1,20270815,train,GG0047,CVB0043
1,1,20270815,train,GG0049,CVB0045
1,1,20270815,train,GG0025,CVB0022
1,1,20270815,train,GG0050,CVB0046
1,1,20270815,train,GG0051,CVB0047
1,1,20270815,train,GG0052,CVB0048
1,1,20270815,train,GG0053,CVB0049
1,1,20270815,train,GG0055,CVB0051
1,1,20270815,train,GG0056,CVB0052
1,1,20270815,train,GG0057,CVB0053
1,1,20270815,train,GG0010,CVB0010
1,1,20270815,train,GG0028,CVB0025
1,1,20270815,train,GG0058,CVB0054
1,1,20270815,train,GG0061,CVB0057
1,1,20270815,train,GG0014,CVB0014
1,1,20270815,train,GG0016,CVB0015
1,1,20270815,train,GG0062,CVB0058
1,1,20270815,train,GG0013,CVB0013
1,1,20270815,train,GG0026,CVB0023
1,1,20270815,train,GG0065,CVB0061
1,1,20270815,train,GG0066,CVB0062
1,1,20270815,train,GG0067,CVB0063
1,1,20270815,train,GG0068,CVB0064
1,1,20270815,train,GG0036,CVB0033
1,1,20270815,train,GG0069,CVB0065
1,1,20270815,train,GG0070,CVB0066
1,1,20270815,train,GG0039,CVB0036
1,1,20270815,train,GG0072,CVB0068
1,1,20270815,train,GG0073,CVB0069
1,1,20270815,train,GG0075,CVB0071
1,1,20270815,train,GG0031,CVB0028
1,1,20270815,train,GG0076,CVB0072
1,1,20270815,train,GG0077,CVB0073
1,1,20270815,train,GG0078,CVB0074
1,1,20270815,train,GG0079,CVB0075
1,1,20270815,train,GG0080,CVB0076
1,1,20270815,train,GG0082,CVB0078
1,1,20270815,train,GG0083,CVB0079
1,1,20270815,train,GG0085,CVB0081
1,1,20270815,train,GG0086,CVB0082
1,1,20270815,train,GG0087,CVB0083
1,1,20270815,train,GG0088,CVB0084
1,1,20270815,train,GG0090,CVB0086
1,1,20270815,train,GG0091,CVB0087
1,1,20270815,train,GG0092,CVB0088
1,1,20270815,train,GG0093,CVB0089
1,1,20270815,train,GG0094,CVB0090
1,1,20270815,train,GG0095,CVB0091
1,1,20270815,train,GG0097,CVB0093
1,1,20270815,train,GG0098,CVB0094
1,1,20270815,train,GG0024,CVB0021
1,1,20270815,train,GG0099,CVB0095
1,1,20270815,train,GG0100,CVB0096
1,1,20270815,train,GG0018,CVB0016
1,1,20270815,train,GG0102,CVB0098
1,1,20270815,train,GG0103,CVB0099
1,1,20270815,train,GG0104,CVB0100
1,1,20270815,train,GG0105,CVB0101
1,1,20270815,train,GG0107,CVB0103
1,1,20270815,train,GG0108,CVB0104
1,1,20270815,train,GG0109,CVB0105
1,1,20270815,train,GG0111,CVB0107
1,1,20270815,train,GG0005,CVB0005
1,1,20270815,train,GG0009,CVB0009
1,1,20270815,train,GG0112,CVB0108
1,1,20270815,train,GG0113,CVB0109
1,1,20270815,train,GG0114,CVB0110
1,1,20270815,train,GG0116,CVB0112
1,1,20270815,train,GG0117,CVB0113
1,1,20270815,train,GG0118,CVB0114
1,1,20270815,train,GG0040,CVB0037
1,1,20270815,train,GG0004,CVB0004
1,1,20270815,train,GG0119,CVB0115
1,1,20270815,train,GG0121,CVB0117
1,1,20270815,train,GG0122,CVB0118
1,1,20270815,train,GG0123,CVB0119
1,1,20270815,train,GG0008,CVB0008
1,1,20270815,train,GG0125,CVB0121
1,1,20270815,train,GG0002,CVB0002
1,1,20270815,train,GG0015,CVB0002
1,1,20270815,train,GG0032,CVB0029
1,1,20270815,train,GG0126,CVB0122
1,1,20270815,train,GG0006,CVB0006
1,1,20270815,train,GG0027,CVB0024
1,1,20270815,train,GG0127,CVB0123
1,1,20270815,train,GG0129,CVB0125
1,1,20270815,validation,GG0048,CVB0044
1,1,20270815,validation,GG0054,CVB0050
1,1,20270815,validation,GG0012,CVB0012
1,1,20270815,validation,GG0059,CVB0055
1,1,20270815,validation,GG0064,CVB0060
1,1,20270815,validation,GG0041,CVB0038
1,1,20270815,validation,GG0071,CVB0067
