model,Geological Group ID,target,cv_block,model_score,model_score_mean_sensitivity,model_score_sd,score_type,positive_vote_fraction,prediction
MLP,GG0001,1,CVB0001,0.5662072939400588,0.6234129884383778,0.3473767348133257,predict_proba,0.6666666666666666,1
MLP,GG0002,0,CVB0002,5.2479770482239396e-06,1.4149070479243563e-05,2.0126887411622454e-05,predict_proba,0.0,0
MLP,GG0003,1,CVB0003,0.8061806011155533,0.8060760069761659,0.19382100176205505,predict_proba,1.0,1
MLP,GG0004,0,CVB0004,4.458830919641667e-10,3.892623199582106e-08,6.698401586410923e-08,predict_proba,0.0,0
MLP,GG0005,0,CVB0005,0.0035494066159726004,0.008714305569386684,0.011929350468857266,predict_proba,0.0,0
MLP,GG0006,0,CVB0006,0.9859292189894568,0.8610929414602803,0.22507425839038797,predict_proba,1.0,1
MLP,GG0007,0,CVB0007,3.5766729248512724e-07,2.4436679632671706e-06,3.7835449814906797e-06,predict_proba,0.0,0
MLP,GG0008,0,CVB0008,0.002997263708773598,0.00693765992649166,0.009536233380494741,predict_proba,0.0,0
MLP,GG0009,0,CVB0009,1.3807888848235946e-16,5.002971026517706e-12,8.665266400620505e-12,predict_proba,0.0,0
MLP,GG0010,1,CVB0010,0.9643457323058476,0.9639890349546083,0.03577558063087867,predict_proba,1.0,1
MLP,GG0012,1,CVB0012,1.3415479763012673e-06,8.761675139372354e-06,1.4029895628203468e-05,predict_proba,0.0,0
MLP,GG0013,1,CVB0013,0.0008354299358381959,0.090914308198127,0.15630673561990274,predict_proba,0.3333333333333333,0
MLP,GG0014,1,CVB0014,0.002139117145198335,0.0021807211516491278,0.002201808457934702,predict_proba,0.0,0
MLP,GG0015,0,CVB0002,0.013794597070924475,0.33801577610671246,0.5688828453126947,predict_proba,0.3333333333333333,0
MLP,GG0016,1,CVB0015,0.44356072219203324,0.5227651766420657,0.4322867177437795,predict_proba,0.6666666666666666,1
MLP,GG0018,0,CVB0016,1.241683804232515e-19,8.040043081890453e-15,1.3925655518758366e-14,predict_proba,0.0,0
MLP,GG0019,0,CVB0017,2.656841797825606e-12,3.2302017743856804e-10,5.571435625748184e-10,predict_proba,0.0,0
MLP,GG0020,1,CVB0018,0.5081519557795263,0.5280506658233367,0.3803293290927612,predict_proba,0.6666666666666666,1
MLP,GG0023,0,CVB0020,9.968956450963273e-07,9.568749636633635e-06,1.5091248754428462e-05,predict_proba,0.0,0
