model,repeat,roc_auc,average_precision,f1,balanced_accuracy
MLP,1,0.8258689839572192,0.557226090023559,0.6031746031746031,0.7225935828877006
MLP,2,0.7887700534759358,0.5825914955620013,0.6027397260273972,0.7269385026737968
MLP,3,0.8419117647058822,0.6821220340231757,0.7222222222222222,0.8141711229946524
RF,1,0.8586229946524063,0.6687538410323467,0.6764705882352942,0.7757352941176471
RF,2,0.8048128342245989,0.5482195320917644,0.6666666666666666,0.7733957219251337
RF,3,0.8492647058823529,0.6405111605888358,0.7323943661971831,0.8198529411764706
SVM,1,0.7991310160427807,0.6458782836622805,0.6956521739130435,0.7904411764705883
SVM,2,0.7904411764705883,0.5839188205041455,0.6842105263157895,0.7914438502673797
SVM,3,0.794451871657754,0.5960724878339249,0.6956521739130435,0.7904411764705883
XGBoost,1,0.8666443850267379,0.6835965223350493,0.7096774193548387,0.7894385026737968
XGBoost,2,0.8241978609625669,0.6029480682405534,0.6470588235294118,0.7553475935828877
XGBoost,3,0.8826871657754011,0.6987228736761604,0.7428571428571429,0.8255347593582887
