model_left,model_right,resampling_unit,observed_auc_difference_left_minus_right,bootstrap_mean_auc_difference_left_minus_right,ci_low,ci_high,bootstrap_iterations_valid
MLP,RF,Geological Group ID,-0.025066844919786058,-0.024616245451030017,-0.09491789819376034,0.04104037032235749,2000
MLP,SVM,Geological Group ID,0.018382352941176516,0.018215493038747473,-0.05277623418952773,0.08592293789739568,2000
MLP,XGBoost,Geological Group ID,-0.043783422459893084,-0.04419722761684947,-0.1068954388984509,0.008546159738075293,2000
RF,SVM,Geological Group ID,0.043449197860962574,0.04364007513666254,-0.0013959447415329725,0.09465907158136752,2000
RF,XGBoost,Geological Group ID,-0.018716577540107027,-0.018668128850946708,-0.05209463892483075,0.01041666666666674,2000
SVM,XGBoost,Geological Group ID,-0.0621657754010696,-0.06253976454186028,-0.10972957717569792,-0.022836277173913126,2000
MLP,RF,CV Block ID,-0.025066844919786058,-0.024785087177954253,-0.09953514378977175,0.036509895606785525,2000
MLP,SVM,CV Block ID,0.018382352941176516,0.017431137948948645,-0.053803746147115174,0.08822947941896535,2000
MLP,XGBoost,CV Block ID,-0.043783422459893084,-0.044164087869803526,-0.11079926893098929,0.01111753189339389,2000
RF,SVM,CV Block ID,0.043449197860962574,0.044331815546400324,-0.002634387034659827,0.09488095238095233,2000
RF,XGBoost,CV Block ID,-0.018716577540107027,-0.01881011384628925,-0.05219543258673708,0.011317536591355069,2000
SVM,XGBoost,CV Block ID,-0.0621657754010696,-0.06238990577993859,-0.10886417282430219,-0.01910775298114832,2000
