repeat,outer_fold,model,parameter_hash,maximum_model_score_reproduction_error,maximum_additivity_absolute_error,mean_additivity_absolute_error,validation_records
1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,1.1102230246251565e-16,1.3232231140136719e-05,1.813489360007805e-06,351
1,2,XGBoost,346ddaf5046939880747f8abfdd9d7bd219590954e73ecb9a4c5f431db560ccd,1.1102230246251565e-16,1.811981201171875e-05,2.7926996387448394e-06,401
1,3,XGBoost,ef4f82564a9ba494f340b55224365edc9cfc5cba40b00edea526e21aa7f8439a,1.1102230246251565e-16,9.059906005859375e-06,1.5975811377295792e-06,698
1,4,XGBoost,2a8b1d148acd67bb10e93abe1211393f264d78f08459ade4caba8041b6f90760,1.1102230246251565e-16,3.7550926208496094e-06,7.588164938008127e-07,489
1,5,XGBoost,5f62d3872bc5b0320c77367b04fd72f500b433ab1cfe1ba74280d204b50cc69f,1.1102230246251565e-16,1.1324882507324219e-05,1.545166369618439e-06,492
2,1,XGBoost,1ece5d830ab3e8d5a297a5d654d4d15166e82c716f155d9a1f3c2508225edd93,1.1102230246251565e-16,8.106231689453125e-06,1.3272114261821076e-06,364
2,2,XGBoost,9c6ef1372de324832af1a3a11298ab0f70c60e7c6607f338577a7e844b51225e,1.1102230246251565e-16,8.58306884765625e-06,1.1569474522462662e-06,544
2,3,XGBoost,40f455f4e8aaedd0a9d3bd7cc2aee6a89380eb0e7ca14605e93e85e5c5cf4dbe,1.1102230246251565e-16,5.7220458984375e-06,1.1452221832935166e-06,636
2,4,XGBoost,5c88e068396f32f89d85756e9dbc6ab2fb26afa93a4d5569f61d74bfd99473ad,9.71445146547012e-17,1.6763806343078613e-06,3.8900881582963553e-07,423
2,5,XGBoost,56796d49f176b4495e43225dcb173289cd9c6688936c5fede3dbd4f9365bb5e7,1.1102230246251565e-16,4.947185516357422e-06,9.534013425481731e-07,464
3,1,XGBoost,f4a802cdc1e43d5f56d758d699e74da4821ce57f5514d7dcb5b58cf07195fff2,1.1102230246251565e-16,7.152557373046875e-06,1.518217087124979e-06,358
3,2,XGBoost,34ceedf6a1bb29961f2328af1d5171f68f761751bb240b7ec5769fb12f9571f5,1.1102230246251565e-16,1.6450881958007812e-05,2.430059909182391e-06,467
3,3,XGBoost,fa918013c1409dc959ee826802f97650202fb62bb6eb8e25b1ec88c78be5c93e,1.1102230246251565e-16,1.1026859283447266e-05,1.5072134648641897e-06,504
3,4,XGBoost,9abda8600d43251c251722bc0e6d5dceaead9da1a359ba4bd8a06cbb5ed10078,1.1102230246251565e-16,1.0669231414794922e-05,1.268035828553397e-06,348
3,5,XGBoost,f5fcb432771cd87cf229d688f5ab756f893357956cbe8217ffb976d534b575e8,1.1102230246251565e-16,1.329183578491211e-05,1.6344451797577684e-06,754
