Record ID,Geological Group ID,CV Block ID,Reference ID,target,repeat,outer_fold,model,parameter_hash,model_score,score_type,decision_threshold,analysis_protocol_hash,base_value,raw_model_output,additivity_absolute_error,SHAP::SiO2 (wt.%),COMPLETED::SiO2 (wt.%),OBSERVED::SiO2 (wt.%),IMPUTED::SiO2 (wt.%),SHAP::TiO2 (wt.%),COMPLETED::TiO2 (wt.%),OBSERVED::TiO2 (wt.%),IMPUTED::TiO2 (wt.%),SHAP::Al2O3 (wt.%),COMPLETED::Al2O3 (wt.%),OBSERVED::Al2O3 (wt.%),IMPUTED::Al2O3 (wt.%),SHAP::Fe2O3 (wt.%),COMPLETED::Fe2O3 (wt.%),OBSERVED::Fe2O3 (wt.%),IMPUTED::Fe2O3 (wt.%),SHAP::FeO (wt.%),COMPLETED::FeO (wt.%),OBSERVED::FeO (wt.%),IMPUTED::FeO (wt.%),SHAP::MnO (wt.%),COMPLETED::MnO (wt.%),OBSERVED::MnO (wt.%),IMPUTED::MnO (wt.%),SHAP::MgO (wt.%),COMPLETED::MgO (wt.%),OBSERVED::MgO (wt.%),IMPUTED::MgO (wt.%),SHAP::CaO (wt.%),COMPLETED::CaO (wt.%),OBSERVED::CaO (wt.%),IMPUTED::CaO (wt.%),SHAP::Na2O (wt.%),COMPLETED::Na2O (wt.%),OBSERVED::Na2O (wt.%),IMPUTED::Na2O (wt.%),SHAP::K2O (wt.%),COMPLETED::K2O (wt.%),OBSERVED::K2O (wt.%),IMPUTED::K2O (wt.%),SHAP::P2O5 (wt.%),COMPLETED::P2O5 (wt.%),OBSERVED::P2O5 (wt.%),IMPUTED::P2O5 (wt.%),SHAP::Rb (ppm),COMPLETED::Rb (ppm),OBSERVED::Rb (ppm),IMPUTED::Rb (ppm),SHAP::Sr (ppm),COMPLETED::Sr (ppm),OBSERVED::Sr (ppm),IMPUTED::Sr (ppm),SHAP::Y (ppm),COMPLETED::Y (ppm),OBSERVED::Y (ppm),IMPUTED::Y (ppm),SHAP::Zr (ppm),COMPLETED::Zr (ppm),OBSERVED::Zr (ppm),IMPUTED::Zr (ppm),SHAP::Nb (ppm),COMPLETED::Nb (ppm),OBSERVED::Nb (ppm),IMPUTED::Nb (ppm),SHAP::Ba (ppm),COMPLETED::Ba (ppm),OBSERVED::Ba (ppm),IMPUTED::Ba (ppm),SHAP::La (ppm),COMPLETED::La (ppm),OBSERVED::La (ppm),IMPUTED::La (ppm),SHAP::Ce (ppm),COMPLETED::Ce (ppm),OBSERVED::Ce (ppm),IMPUTED::Ce (ppm),SHAP::Pr (ppm),COMPLETED::Pr (ppm),OBSERVED::Pr (ppm),IMPUTED::Pr (ppm),SHAP::Nd (ppm),COMPLETED::Nd (ppm),OBSERVED::Nd (ppm),IMPUTED::Nd (ppm),SHAP::Sm (ppm),COMPLETED::Sm (ppm),OBSERVED::Sm (ppm),IMPUTED::Sm (ppm),SHAP::Eu (ppm),COMPLETED::Eu (ppm),OBSERVED::Eu (ppm),IMPUTED::Eu (ppm),SHAP::Gd (ppm),COMPLETED::Gd (ppm),OBSERVED::Gd (ppm),IMPUTED::Gd (ppm),SHAP::Tb (ppm),COMPLETED::Tb (ppm),OBSERVED::Tb (ppm),IMPUTED::Tb (ppm),SHAP::Dy (ppm),COMPLETED::Dy (ppm),OBSERVED::Dy (ppm),IMPUTED::Dy (ppm),SHAP::Ho (ppm),COMPLETED::Ho (ppm),OBSERVED::Ho (ppm),IMPUTED::Ho (ppm),SHAP::Er (ppm),COMPLETED::Er (ppm),OBSERVED::Er (ppm),IMPUTED::Er (ppm),SHAP::Tm (ppm),COMPLETED::Tm (ppm),OBSERVED::Tm (ppm),IMPUTED::Tm (ppm),SHAP::Yb (ppm),COMPLETED::Yb (ppm),OBSERVED::Yb (ppm),IMPUTED::Yb (ppm),SHAP::Lu (ppm),COMPLETED::Lu (ppm),OBSERVED::Lu (ppm),IMPUTED::Lu (ppm),SHAP::Hf (ppm),COMPLETED::Hf (ppm),OBSERVED::Hf (ppm),IMPUTED::Hf (ppm),SHAP::Ta (ppm),COMPLETED::Ta (ppm),OBSERVED::Ta (ppm),IMPUTED::Ta (ppm),SHAP::Th (ppm),COMPLETED::Th (ppm),OBSERVED::Th (ppm),IMPUTED::Th (ppm),SHAP::Ga (ppm),COMPLETED::Ga (ppm),OBSERVED::Ga (ppm),IMPUTED::Ga (ppm),SHAP::Pb (ppm),COMPLETED::Pb (ppm),OBSERVED::Pb (ppm),IMPUTED::Pb (ppm)
R0228,GG0048,CVB0044,REF0024,1,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,0.00525219039991498,predict_proba,0.27,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,-0.8429335355758667,-5.243844032287598,3.4570693969726562e-06,-0.9775754,67.91999999999999,67.92,0,-0.59606344,0.5899999999999999,0.59,0,0.33279657,12.710000000000004,12.71,0,0.087923035,1.5100000000000002,1.51,0,0.9759182,3.4700000000000006,3.47,0,0.6841976,0.08,0.08,0,-0.036788076,0.76,0.76,0,-0.6339583,3.1400000000000006,3.14,0,0.13312249,1.9299999999999997,1.93,0,-0.20875834,3.83,3.83,0,0.24175176,0.13,0.13,0,-1.3175533,179.0,179.0,0,0.21401188,76.30000000000001,76.3,0,0.11780894,48.989999999999995,48.99,0,-0.5425817,315.00000000000006,315.0,0,0.16468045,17.300000000000004,17.3,0,-0.44526762,753.0000000000001,753.0,0,-0.06788645,47.39000000000001,47.39,0,-0.07207464,92.94,92.94,0,-0.010598958,11.070000000000002,11.07,0,0.15627804,43.39,43.39,0,-0.11449243,8.95,8.95,0,-1.5675751,1.7599999999999993,1.76,0,0.121098,8.47,8.47,0,0.05298092,1.4099999999999997,1.41,0,0.57199883,8.610000000000001,8.61,0,-0.14616124,1.7599999999999993,1.76,0,0.041658897,5.260000000000001,5.26,0,-0.08103546,0.79,0.79,0,0.09929034,5.08,5.08,0,0.100864336,0.77,0.77,0,-0.43199933,10.199999999999998,10.2,0,-1.0853124,1.38,1.38,0,0.040517684,22.0,22.0,0,0.13166139,19.7,19.7,0,-0.3337848,30.4,30.4,0
R0229,GG0048,CVB0044,REF0024,1,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,0.000751305662561208,predict_proba,0.27,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,-0.8429335355758667,-7.192946434020996,2.7418136596679688e-06,-0.18665402,73.99999999999997,74.0,0,0.0031208321,0.27,0.27,0,0.05171764,13.060000000000004,13.06,0,-0.24513528,1.94,1.94,0,-0.35478103,0.9000000000000001,0.9,0,-0.403044,0.03,0.03,0,-0.2356093,0.16000000000000003,0.16,0,1.1302065,0.28,0.28,0,-0.0068780137,2.8199999999999994,2.82,0,0.025818683,5.19,5.19,0,0.07600664,0.07,0.07,0,-0.5085701,253.99999999999991,254.0,0,-0.68627363,63.300000000000026,63.3,0,0.10749237,55.50000000000001,55.5,0,-0.5581354,333.99999999999994,334.0,0,-0.0064344015,14.499999999999998,14.5,0,-0.9151164,1151.0000000000005,1151.0,0,-0.092858195,56.26000000000001,56.26,0,-0.09494921,98.11999999999996,98.12,0,-0.021079816,12.149999999999999,12.15,0,0.13396378,44.440000000000005,44.44,0,-0.1922462,9.189999999999998,9.19,0,-0.67590475,1.6099999999999999,1.61,0,0.17481488,9.26,9.26,0,-0.03987817,1.4300000000000002,1.43,0,0.36212745,8.929999999999998,8.93,0,-0.22210255,1.83,1.83,0,0.0074988683,5.2299999999999995,5.23,0,-0.13308963,0.77,0.77,0,0.046826087,5.09,5.09,0,0.08658168,0.76,0.76,0,-0.39751485,9.549999999999999,9.55,0,-1.1602974,1.63,1.63,0,0.07596602,19.599999999999998,19.6,0,-1.1599271,31.70000000000001,31.7,0,-0.33567718,37.1,37.1,0
R0230,GG0048,CVB0044,REF0024,1,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,0.0031590491998940706,predict_proba,0.27,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,-0.8429335355758667,-5.75432014465332,1.5497207641601562e-06,-0.19933848,74.28000000000003,74.28,0,-0.228944,0.26,0.26,0,0.06355016,12.660000000000002,12.66,0,0.18034962,0.9299999999999999,0.93,0,0.34139422,1.63,1.63,0,-0.026122816,0.039999999999999994,0.04,0,0.3149176,0.22,0.22,0,-0.35135698,0.95,0.95,0,0.0647565,3.04,3.04,0,0.08899407,5.17,5.17,0,-0.19796686,0.04999999999999999,0.05,0,-0.9703456,208.99999999999994,209.0,0,-0.897362,59.89999999999999,59.9,0,0.08797168,54.39000000000001,54.39,0,-0.68619025,244.99999999999991,245.0,0,0.107211776,13.950000000000001,13.95,0,-0.9089674,859.9999999999998,860.0,0,-0.093465135,64.42000000000002,64.42,0,-0.112225965,123.80000000000001,123.8,0,0.24207766,14.659999999999997,14.66,0,0.03929311,53.840000000000025,53.84,0,-0.058694303,10.929999999999998,10.93,0,-0.7147716,1.5699999999999998,1.57,0,0.31589243,10.49,10.49,0,-0.024640936,1.94,1.94,0,0.36085382,10.550000000000002,10.55,0,-0.19569866,2.1599999999999997,2.16,0,-0.1343412,6.400000000000001,6.4,0,-0.03633216,0.9000000000000001,0.9,0,0.031906966,5.750000000000001,5.75,0,0.047622494,0.8599999999999999,0.86,0,-0.36707297,12.600000000000001,12.6,0,-0.90518045,1.67,1.67,0,0.23908247,23.480000000000004,23.48,0,-0.0038782288,17.73,17.73,0,-0.3243635,38.13,38.13,0
R0231,GG0048,CVB0044,REF0024,1,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,0.07125083357095718,predict_proba,0.27,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,-0.8429335355758667,-2.5676321983337402,2.5033950805664062e-06,0.33646688,72.55000000000001,72.55,0,-0.2986119,0.32000000000000006,0.32,0,0.09090006,13.389999999999999,13.39,0,0.042643704,1.4700000000000002,1.47,0,0.33578685,1.5,1.5,0,-0.12949716,0.039999999999999994,0.04,0,0.16457665,0.4300000000000001,0.43,0,-0.6686205,1.29,1.29,0,0.19711612,2.9199999999999995,2.92,0,0.099822134,5.05,5.05,0,0.04323314,0.060000000000000005,0.06,0,-0.52055264,241.99999999999994,242.0,0,-0.2732834,67.10000000000002,67.1,0,0.17000118,55.540000000000006,55.54,0,-0.57238805,246.00000000000006,246.0,0,0.20013154,15.829999999999998,15.83,0,-0.75628775,956.9999999999998,957.0,0,-0.085939035,68.17000000000002,68.17,0,-0.05810456,127.10000000000005,127.1,0,0.25793487,15.490000000000002,15.49,0,0.0009238594,55.31999999999998,55.32,0,0.00089851674,10.74,10.74,0,-0.7248126,1.4500000000000002,1.45,0,0.41182405,9.920000000000002,9.92,0,0.047128003,1.81,1.81,0,0.49556914,10.070000000000002,10.07,0,-0.2084807,2.07,2.07,0,-0.11757819,6.290000000000001,6.29,0,-0.042664833,0.9000000000000001,0.9,0,0.036172464,5.82,5.82,0,0.027385399,0.9000000000000001,0.9,0,-0.32607746,13.399999999999999,13.4,0,0.46316227,2.19,2.19,0,-0.08019483,25.110000000000003,25.11,0,0.11041345,18.66,18.66,0,-0.39369768,36.28,36.28,0
R0339,GG0054,CVB0050,REF0035,1,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,0.760711133480072,predict_proba,0.27,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,-0.8429335355758667,1.1565823554992676,1.3113021850585938e-06,-0.14344084,74.12999999999998,74.13,0,-0.14148271,0.18000000000000002,0.18,0,0.070998855,14.129999999999999,14.13,0,0.34482583,1.12,1.12,0,-0.29378605,1.0012954754435506,,1,-0.43453676,0.020000000000000004,0.02,0,0.4546309,0.20000000000000004,0.2,0,1.078372,0.5699999999999998,0.57,0,0.09777795,2.91,2.91,0,0.2680433,5.33,5.33,0,1.1679093,0.35000000000000003,0.35,0,0.61599696,470.0,470.0,0,-0.7942782,52.81000000000001,52.81,0,0.20193526,14.649999999999999,14.65,0,-0.14982332,93.99,93.99,0,0.21184488,16.710000000000004,16.71,0,-0.21598841,297.88000000000005,297.88,0,-0.19662155,34.61,34.61,0,-0.06581252,73.5,73.5,0,-0.1207916,7.9,7.9,0,0.06690411,27.84,27.84,0,0.0015526633,5.45,5.45,0,0.087547064,0.54,0.54,0,-0.04628799,4.789999999999999,4.79,0,-0.12654047,0.6399999999999999,0.64,0,-0.29569602,2.9700000000000006,2.97,0,0.076992616,0.4699999999999999,0.47,0,0.11831315,1.2999999999999998,1.3,0,0.07047349,0.19000000000000003,0.19,0,-0.03387199,1.1799999999999997,1.18,0,-0.1766121,0.15000000000000002,0.15,0,-0.15319976,3.3,3.3,0,0.4879484,2.73,2.73,0,0.21880925,21.960000000000004,21.96,0,0.0911516,21.657704209104786,,1,-0.34374285,33.97368224531184,,1
R0340,GG0054,CVB0050,REF0035,1,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,0.8021770119667053,predict_proba,0.27,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,-0.8429335355758667,1.3999568223953247,9.5367431640625e-07,-0.06933923,74.11999999999999,74.12,0,0.31466478,0.13,0.13,0,-0.16152738,14.400000000000002,14.4,0,0.35584065,0.8599999999999999,0.86,0,-0.2774867,0.9211944344088692,,1,-0.38803115,0.03,0.03,0,0.097108476,0.13999999999999999,0.14,0,0.83220947,0.5899999999999999,0.59,0,-0.09443479,3.38,3.38,0,0.16543254,5.07,5.07,0,0.6826946,0.29,0.29,0,0.5515368,666.2500000000003,666.25,0,0.22319233,27.259999999999998,27.26,0,-1.1600084,9.869999999999997,9.87,0,0.62010634,68.01000000000002,68.01,0,0.40854022,23.51,23.51,0,0.019530423,119.13000000000001,119.13,0,0.06155055,11.54,11.54,0,0.20749986,30.480000000000004,30.48,0,-0.1029449,2.9899999999999993,2.99,0,-0.16334404,10.74,10.74,0,0.29600203,2.54,2.54,0,0.40241468,0.23,0.23,0,-0.1755342,2.2700000000000005,2.27,0,0.58141243,0.35000000000000003,0.35,0,-0.3500989,1.87,1.87,0,0.14683336,0.30999999999999994,0.31,0,-0.08353759,0.8800000000000001,0.88,0,0.05721593,0.13999999999999999,0.14,0,-0.120288625,0.9000000000000001,0.9,0,-0.14292544,0.11,0.11,0,-0.07025361,2.6800000000000006,2.68,0,0.7757455,5.260000000000001,5.26,0,0.16911197,21.53,21.53,0,-1.0963837,24.651138651341476,,1,-0.2696147,28.710766520653753,,1
R0341,GG0054,CVB0050,REF0035,1,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,0.5239197611808777,predict_proba,0.27,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,-0.8429335355758667,0.09575201570987701,6.407499313354492e-07,0.15021029,71.87999999999998,71.88,0,0.11840377,0.08999999999999998,0.09,0,-0.050156098,15.780000000000005,15.78,0,0.3044074,0.8800000000000001,0.88,0,-0.07393042,0.7612115823606753,,1,-0.292321,0.03,0.03,0,0.013334502,0.13999999999999999,0.14,0,1.0499623,0.2999999999999999,0.3,0,-0.20088646,2.6100000000000003,2.61,0,0.35083836,6.540000000000002,6.54,0,0.41540453,0.21,0.21,0,0.3909971,802.0,802.0,0,0.20259227,23.740000000000002,23.74,0,-1.6748999,4.700000000000001,4.7,0,0.7144544,44.82000000000001,44.82,0,0.14705351,27.859999999999996,27.86,0,0.24335897,139.37999999999994,139.38,0,0.03125456,8.64,8.64,0,0.1546626,19.130000000000003,19.13,0,-0.11020697,2.1,2.1,0,-0.15715513,7.219999999999997,7.22,0,0.24088421,1.69,1.69,0,0.47498307,0.21000000000000005,0.21,0,-0.20017232,1.48,1.48,0,0.39754066,0.21999999999999997,0.22,0,-0.07917799,1.08,1.08,0,0.26424003,0.17000000000000004,0.17,0,-0.46815687,0.45000000000000007,0.45,0,-0.060959723,0.07000000000000003,0.07,0,-0.57308716,0.46,0.46,0,-0.12449007,0.06000000000000001,0.06,0,0.028651442,2.0500000000000003,2.05,0,0.78236955,5.52,5.52,0,-0.38656998,9.699999999999998,9.7,0,-0.95830524,24.10168719804568,,1,-0.126442,30.958405367251373,,1
R0342,GG0054,CVB0050,REF0035,1,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,0.9952034950256348,predict_proba,0.27,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,-0.8429335355758667,5.335052490234375,1.3113021850585938e-06,0.2439298,70.24000000000002,70.24,0,0.20814079,0.20000000000000004,0.2,0,0.22190365,15.759999999999998,15.76,0,0.08142168,1.5100000000000002,1.51,0,-0.43943617,1.146664990465104,,1,0.21602727,0.039999999999999994,0.04,0,0.42763597,0.23,0.23,0,1.2329462,0.54,0.54,0,0.116261356,2.9400000000000004,2.94,0,0.855407,6.2,6.2,0,1.1001086,0.36,0.36,0,0.7014925,616.0000000000001,616.0,0,-0.26687136,35.95000000000001,35.95,0,0.30942088,18.64,18.64,0,-0.3394843,113.63000000000001,113.63,0,0.014269795,29.139999999999997,29.14,0,0.7776662,219.75000000000009,219.75,0,-0.060009457,27.339999999999996,27.34,0,-0.01688734,60.580000000000005,60.58,0,-0.10457975,7.159999999999998,7.16,0,0.083488606,25.550000000000004,25.55,0,0.0039869975,5.990000000000001,5.99,0,0.091901615,0.41000000000000003,0.41,0,-0.08211165,5.250000000000001,5.25,0,-0.080790274,0.78,0.78,0,-0.238089,3.84,3.84,0,0.21040097,0.6099999999999999,0.61,0,0.1368401,1.6400000000000001,1.64,0,0.08439438,0.24,0.24,0,0.06475012,1.5,1.5,0,-0.06523527,0.19000000000000003,0.19,0,0.020659054,4.02,4.02,0,0.42453948,3.92,3.92,0,0.4345771,36.29999999999999,36.3,0,0.16703826,20.909094682521022,,1,-0.3577294,33.69018975388981,,1
R0343,GG0054,CVB0050,REF0035,1,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,0.9682455062866211,predict_proba,0.27,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,-0.8429335355758667,3.4174516201019287,1.0728836059570312e-06,0.24722277,70.75000000000001,70.75,0,0.07861526,0.23,0.23,0,0.14026728,15.930000000000003,15.93,0,-0.33785805,1.7599999999999993,1.76,0,-0.4117023,1.1405463517213708,,1,0.16772787,0.039999999999999994,0.04,0,0.40310666,0.28,0.28,0,1.496356,0.44000000000000006,0.44,0,0.006383679,2.7799999999999994,2.78,0,0.7910935,5.9399999999999995,5.94,0,1.0087588,0.29,0.29,0,0.61141557,589.6299999999999,589.63,0,-0.2481303,33.42999999999999,33.43,0,0.13492408,14.519999999999998,14.52,0,-0.3852516,121.15999999999998,121.16,0,-0.035258073,31.109999999999992,31.11,0,0.37436038,173.74999999999994,173.75,0,-0.076509796,28.680000000000003,28.68,0,-0.072310835,68.74999999999997,68.75,0,-0.07967273,7.390000000000001,7.39,0,0.14108492,25.960000000000004,25.96,0,-0.0057149553,5.81,5.81,0,0.04234195,0.36,0.36,0,-0.05883135,4.990000000000001,4.99,0,-0.13107754,0.6700000000000002,0.67,0,-0.29876477,3.16,3.16,0,0.0906681,0.5,0.5,0,0.13029015,1.3599999999999999,1.36,0,0.07275943,0.19000000000000003,0.19,0,0.04878951,1.25,1.25,0,-0.10954278,0.15000000000000002,0.15,0,0.055755645,4.19,4.19,0,0.40872645,3.8599999999999994,3.86,0,0.44999927,38.39999999999999,38.4,0,-0.028899487,22.329919839830016,,1,-0.3607384,36.019790731000505,,1
R0344,GG0054,CVB0050,REF0035,1,1,1,XGBoost,8585aaa05cfdc45db07a6521f3455fad438715e7016e8c3af2d92b7b3190896e,0.0065448652021586895,predict_proba,0.27,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,-0.8429335355758667,-5.022508144378662,1.3113021850585938e-06,-0.19350877,73.53000000000003,73.53,0,0.2409078,0.04999999999999999,0.05,0,-0.39151505,14.750000000000002,14.75,0,0.32703286,0.69,0.69,0,-0.13314386,0.6307931743304802,,1,0.0028915778,0.039999999999999994,0.04,0,0.41787595,0.23,0.23,0,0.14348117,0.69,0.69,0,-0.11916986,2.74,2.74,0,0.445265,6.180000000000001,6.18,0,0.1799823,0.18000000000000002,0.18,0,-0.1489479,289.25000000000006,289.25,0,-0.45942283,65.13000000000001,65.13,0,-1.3726592,4.280000000000001,4.28,0,0.6945665,30.390000000000008,30.39,0,0.95534873,4.49,4.49,0,-0.6132407,412.3800000000001,412.38,0,-0.011554562,5.22,5.22,0,0.12557738,10.180000000000001,10.18,0,-0.1784746,1.0899999999999999,1.09,0,-0.16082098,3.7200000000000006,3.72,0,0.21347341,0.8200000000000001,0.82,0,-0.02865515,0.54,0.54,0,-0.1957529,0.8099999999999998,0.81,0,0.3411187,0.13000000000000012,0.13,0,-0.08536418,0.75,0.75,0,0.20297962,0.13999999999999993,0.14,0,-0.46095088,0.4000000000000001,0.4,0,-0.085666575,0.059999999999999984,0.06,0,-0.64384574,0.4799999999999999,0.48,0,-0.19222265,0.06999999999999997,0.07,0,0.35414013,1.4,1.4,0,-1.1816602,1.1,1.1,0,-0.77764004,3.7699999999999996,3.77,0,-1.2518175,30.170768146317215,,1,-0.13818292,25.993189635310543,,1
