Record ID,Geological Group ID,CV Block ID,Reference ID,target,PROSPECTIVITY_MODEL_SCORE_MEDIAN,PROSPECTIVITY_MODEL_SCORE_MEAN_SENSITIVITY,PROSPECTIVITY_MODEL_SCORE_SD,DECISION_THRESHOLD_MEDIAN,DECISION_THRESHOLD_MIN,DECISION_THRESHOLD_MAX,OOF_REPEAT_COUNT,ANALYSIS_PROTOCOL_HASH,MODEL_SCORE_TYPE,SHAP_ADDITIVITY_MAX_ERROR,PROSPECTIVITY_SHAP_MEAN::Rb (ppm),PROSPECTIVITY_SHAP_SD::Rb (ppm),PROSPECTIVITY_OBSERVED_MEDIAN::Rb (ppm),PROSPECTIVITY_COMPLETED_MEAN::Rb (ppm),PROSPECTIVITY_IMPUTED_FRACTION::Rb (ppm),PROSPECTIVITY_SHAP_MEAN::CaO (wt.%),PROSPECTIVITY_SHAP_SD::CaO (wt.%),PROSPECTIVITY_OBSERVED_MEDIAN::CaO (wt.%),PROSPECTIVITY_COMPLETED_MEAN::CaO (wt.%),PROSPECTIVITY_IMPUTED_FRACTION::CaO (wt.%),PROSPECTIVITY_SHAP_MEAN::Nb (ppm),PROSPECTIVITY_SHAP_SD::Nb (ppm),PROSPECTIVITY_OBSERVED_MEDIAN::Nb (ppm),PROSPECTIVITY_COMPLETED_MEAN::Nb (ppm),PROSPECTIVITY_IMPUTED_FRACTION::Nb (ppm),PROSPECTIVITY_SHAP_MEAN::Zr (ppm),PROSPECTIVITY_SHAP_SD::Zr (ppm),PROSPECTIVITY_OBSERVED_MEDIAN::Zr (ppm),PROSPECTIVITY_COMPLETED_MEAN::Zr (ppm),PROSPECTIVITY_IMPUTED_FRACTION::Zr (ppm),PROSPECTIVITY_SHAP_MEAN::P2O5 (wt.%),PROSPECTIVITY_SHAP_SD::P2O5 (wt.%),PROSPECTIVITY_OBSERVED_MEDIAN::P2O5 (wt.%),PROSPECTIVITY_COMPLETED_MEAN::P2O5 (wt.%),PROSPECTIVITY_IMPUTED_FRACTION::P2O5 (wt.%),PROSPECTIVITY_SHAP_MEAN::Ba (ppm),PROSPECTIVITY_SHAP_SD::Ba (ppm),PROSPECTIVITY_OBSERVED_MEDIAN::Ba (ppm),PROSPECTIVITY_COMPLETED_MEAN::Ba (ppm),PROSPECTIVITY_IMPUTED_FRACTION::Ba (ppm),PROSPECTIVITY_SHAP_MEAN::MgO (wt.%),PROSPECTIVITY_SHAP_SD::MgO (wt.%),PROSPECTIVITY_OBSERVED_MEDIAN::MgO (wt.%),PROSPECTIVITY_COMPLETED_MEAN::MgO (wt.%),PROSPECTIVITY_IMPUTED_FRACTION::MgO (wt.%),PROSPECTIVITY_SHAP_MEAN::Na2O (wt.%),PROSPECTIVITY_SHAP_SD::Na2O (wt.%),PROSPECTIVITY_OBSERVED_MEDIAN::Na2O (wt.%),PROSPECTIVITY_COMPLETED_MEAN::Na2O (wt.%),PROSPECTIVITY_IMPUTED_FRACTION::Na2O (wt.%),PROSPECTIVITY_SHAP_MEAN::K2O (wt.%),PROSPECTIVITY_SHAP_SD::K2O (wt.%),PROSPECTIVITY_OBSERVED_MEDIAN::K2O (wt.%),PROSPECTIVITY_COMPLETED_MEAN::K2O (wt.%),PROSPECTIVITY_IMPUTED_FRACTION::K2O (wt.%),OUTER_FOLD_PARAMETER_HASHES,FEATURE_LIST_HASH
R0001,GG0001,CVB0001,REF0001,1,0.3021931052207947,0.3822715183099111,0.19669942969064846,0.5,0.41,0.64,3,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,predict_proba,1.0579824447631836e-06,0.24967672,0.057723287,414.09,414.09,0.0,-0.16419078,0.18191805,0.87,0.8699999999999998,0.0,0.055171132,0.22035046,23.65,23.649999999999995,0.0,-0.3458898,0.13722312,132.24,132.23999999999998,0.0,0.6618995,0.104742326,0.26,0.26,0.0,-0.46818778,0.1828755,278.96,278.96000000000004,0.0,0.49202684,0.21383068,0.29,0.29,0.0,0.012768987,0.13612558,2.39,2.3900000000000006,0.0,0.42498818,0.1483793,5.81,5.81,0.0,346ddaf5046939880747f8abfdd9d7bd219590954e73ecb9a4c5f431db560ccd;34ceedf6a1bb29961f2328af1d5171f68f761751bb240b7ec5769fb12f9571f5;9c6ef1372de324832af1a3a11298ab0f70c60e7c6607f338577a7e844b51225e,651bd31d7043df9c137f91533c5bdeb0b7b1094a7b1c8a0afed862a2db455615
R0002,GG0001,CVB0001,REF0001,1,0.25389060378074646,0.27327924966812134,0.10240039441774385,0.5,0.41,0.64,3,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,predict_proba,1.1920928955078125e-06,0.19850369,0.025175078,394.35,394.34999999999997,0.0,-0.08985036,0.18750456,0.87,0.8699999999999998,0.0,0.33646598,0.21428542,22.33,22.330000000000002,0.0,-0.35681602,0.1430105,134.74,134.74,0.0,0.6579694,0.098246954,0.25,0.24999999999999997,0.0,-0.5445799,0.23576632,262.65,262.6499999999999,0.0,0.5275259,0.21144682,0.29,0.29,0.0,-0.015947634,0.13724348,2.43,2.43,0.0,0.41550326,0.1296736,5.82,5.82,0.0,346ddaf5046939880747f8abfdd9d7bd219590954e73ecb9a4c5f431db560ccd;34ceedf6a1bb29961f2328af1d5171f68f761751bb240b7ec5769fb12f9571f5;9c6ef1372de324832af1a3a11298ab0f70c60e7c6607f338577a7e844b51225e,651bd31d7043df9c137f91533c5bdeb0b7b1094a7b1c8a0afed862a2db455615
R0003,GG0001,CVB0001,REF0001,1,0.1473228484392166,0.2734816024700801,0.2252289162295141,0.5,0.41,0.64,3,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,predict_proba,2.1457672119140625e-06,0.18353157,0.032701746,378.26,378.26000000000005,0.0,-0.23490728,0.17616959,0.97,0.9700000000000001,0.0,-0.17757122,0.29175067,24.69,24.69,0.0,-0.37997928,0.1354497,140.07,140.06999999999994,0.0,0.67499304,0.12594981,0.23,0.23,0.0,-0.7048614,0.12267497,362.63,362.62999999999994,0.0,0.47310653,0.22812086,0.3,0.2999999999999999,0.0,-0.21371996,0.13768522,2.06,2.0599999999999996,0.0,0.44089654,0.18828547,5.41,5.41,0.0,346ddaf5046939880747f8abfdd9d7bd219590954e73ecb9a4c5f431db560ccd;34ceedf6a1bb29961f2328af1d5171f68f761751bb240b7ec5769fb12f9571f5;9c6ef1372de324832af1a3a11298ab0f70c60e7c6607f338577a7e844b51225e,651bd31d7043df9c137f91533c5bdeb0b7b1094a7b1c8a0afed862a2db455615
R0004,GG0001,CVB0001,REF0001,1,0.7426275610923767,0.768896222114563,0.0725413533102641,0.5,0.41,0.64,3,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,predict_proba,8.344650268554688e-07,0.34766266,0.08777211,420.9,420.9000000000001,0.0,0.75459665,0.20486002,0.55,0.55,0.0,0.2544682,0.12713,21.53,21.53,0.0,-0.47471762,0.089575246,160.7,160.69999999999993,0.0,0.40069604,0.35882768,0.18,0.18000000000000002,0.0,-0.44270626,0.22500071,306.52,306.52000000000004,0.0,0.3566219,0.20077533,0.28,0.28,0.0,0.13246448,0.10606733,2.5,2.5,0.0,0.44635263,0.18740037,5.95,5.95,0.0,346ddaf5046939880747f8abfdd9d7bd219590954e73ecb9a4c5f431db560ccd;34ceedf6a1bb29961f2328af1d5171f68f761751bb240b7ec5769fb12f9571f5;9c6ef1372de324832af1a3a11298ab0f70c60e7c6607f338577a7e844b51225e,651bd31d7043df9c137f91533c5bdeb0b7b1094a7b1c8a0afed862a2db455615
R0005,GG0001,CVB0001,REF0001,1,0.06663308292627335,0.04908532494058212,0.030763345474115994,0.5,0.41,0.64,3,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,predict_proba,2.1457672119140625e-06,0.055984244,0.13077953,366.29,366.29000000000013,0.0,0.5426409,0.20183535,0.32,0.31999999999999995,0.0,0.21447407,0.03741331,16.95,16.95,0.0,-0.1663561,0.2709343,90.53,90.53000000000002,0.0,0.25982103,0.28203976,0.18,0.18000000000000002,0.0,0.3591675,0.07377618,205.23,205.22999999999993,0.0,0.37693262,0.2817004,0.22,0.22,0.0,0.18721718,0.032816976,2.87,2.8699999999999997,0.0,0.36947957,0.13981453,5.72,5.72,0.0,346ddaf5046939880747f8abfdd9d7bd219590954e73ecb9a4c5f431db560ccd;34ceedf6a1bb29961f2328af1d5171f68f761751bb240b7ec5769fb12f9571f5;9c6ef1372de324832af1a3a11298ab0f70c60e7c6607f338577a7e844b51225e,651bd31d7043df9c137f91533c5bdeb0b7b1094a7b1c8a0afed862a2db455615
R0006,GG0001,CVB0001,REF0001,1,0.698329508304596,0.6173992951711019,0.4159952630472943,0.5,0.41,0.64,3,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,predict_proba,2.1457672119140625e-06,0.74008054,0.38564333,501.17,501.17,0.0,1.1071159,0.30113056,0.37,0.36999999999999994,0.0,-0.5511079,0.30955613,34.3,34.3,0.0,-0.34062886,0.09449819,234.72,234.72000000000003,0.0,0.36859238,0.32489976,0.17,0.17000000000000004,0.0,-0.45293936,0.23153907,330.54,330.54,0.0,0.27771342,0.2660174,0.2,0.20000000000000004,0.0,-0.027977223,0.18388587,2.33,2.3300000000000005,0.0,0.47541305,0.24509959,6.35,6.349999999999999,0.0,346ddaf5046939880747f8abfdd9d7bd219590954e73ecb9a4c5f431db560ccd;34ceedf6a1bb29961f2328af1d5171f68f761751bb240b7ec5769fb12f9571f5;9c6ef1372de324832af1a3a11298ab0f70c60e7c6607f338577a7e844b51225e,651bd31d7043df9c137f91533c5bdeb0b7b1094a7b1c8a0afed862a2db455615
R0007,GG0001,CVB0001,REF0001,1,0.7590445280075073,0.6805170377095541,0.35636973346724743,0.5,0.41,0.64,3,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,predict_proba,1.9073486328125e-06,0.790808,0.35849398,570.45,570.4499999999998,0.0,0.87819666,0.4394086,0.29,0.29,0.0,-0.10612282,0.11712759,27.77,27.770000000000007,0.0,-0.3630909,0.05982272,184.88,184.88,0.0,0.36370993,0.2957192,0.17,0.17000000000000004,0.0,0.3239362,0.10282922,220.95,220.94999999999993,0.0,0.2851006,0.2378392,0.2,0.20000000000000004,0.0,-0.16966933,0.18514158,2.15,2.15,0.0,0.4938492,0.29200995,6.76,6.759999999999999,0.0,346ddaf5046939880747f8abfdd9d7bd219590954e73ecb9a4c5f431db560ccd;34ceedf6a1bb29961f2328af1d5171f68f761751bb240b7ec5769fb12f9571f5;9c6ef1372de324832af1a3a11298ab0f70c60e7c6607f338577a7e844b51225e,651bd31d7043df9c137f91533c5bdeb0b7b1094a7b1c8a0afed862a2db455615
R0008,GG0042,CVB0039,REF0002,1,0.059426791965961456,0.19145681181301674,0.26874793499002375,0.41,0.345,0.4649999999999999,3,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,predict_proba,5.07105141878128e-07,0.3486124,0.21656471,622.0,622.0,0.0,0.24578188,0.111691624,0.72,0.7200000000000001,0.0,0.29109383,0.15724654,16.7,16.7,0.0,-0.11967233,0.28428656,90.0,89.99999999999996,0.0,0.4721602,0.1761898,0.23,0.23,0.0,0.10271462,0.14697602,96.7,96.70000000000003,0.0,0.35723606,0.21692714,0.27,0.27,0.0,-0.410504,0.1013128,3.78,3.7799999999999994,0.0,-0.043525193,0.13499211,4.65,4.650000000000001,0.0,2a8b1d148acd67bb10e93abe1211393f264d78f08459ade4caba8041b6f90760;9c6ef1372de324832af1a3a11298ab0f70c60e7c6607f338577a7e844b51225e;fa918013c1409dc959ee826802f97650202fb62bb6eb8e25b1ec88c78be5c93e,651bd31d7043df9c137f91533c5bdeb0b7b1094a7b1c8a0afed862a2db455615
R0009,GG0042,CVB0039,REF0002,1,0.03139488399028778,0.09059857514997323,0.11504460492054994,0.41,0.345,0.4649999999999999,3,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,predict_proba,1.7881393432617188e-06,0.16234523,0.0043537715,414.0,413.99999999999983,0.0,-0.10223325,0.030896334,0.76,0.7600000000000001,0.0,0.27897903,0.14835021,17.1,17.1,0.0,-0.115995,0.28174242,90.0,89.99999999999996,0.0,0.5536749,0.2212724,0.25,0.24999999999999997,0.0,0.14208545,0.18318683,84.5,84.50000000000003,0.0,0.30221155,0.19126345,0.23,0.23,0.0,-0.45476755,0.10460515,3.82,3.8200000000000003,0.0,-0.014868475,0.05136934,4.44,4.44,0.0,2a8b1d148acd67bb10e93abe1211393f264d78f08459ade4caba8041b6f90760;9c6ef1372de324832af1a3a11298ab0f70c60e7c6607f338577a7e844b51225e;fa918013c1409dc959ee826802f97650202fb62bb6eb8e25b1ec88c78be5c93e,651bd31d7043df9c137f91533c5bdeb0b7b1094a7b1c8a0afed862a2db455615
R0010,GG0042,CVB0039,REF0002,1,0.061582207679748535,0.22402705376346907,0.2859681028623399,0.41,0.345,0.4649999999999999,3,9eb1905b0d2d4dff99236976201e564cbe25ee258ba901ad38107c5c6b5846f0,predict_proba,7.748603820800781e-07,0.29771355,0.05327669,448.0,448.00000000000017,0.0,0.24360342,0.042615224,0.72,0.7200000000000001,0.0,0.30902252,0.17142709,16.7,16.7,0.0,-0.14030892,0.27527407,90.0,89.99999999999996,0.0,0.5344967,0.23770846,0.24,0.24,0.0,0.11357987,0.17758858,102.0,102.00000000000001,0.0,0.2880771,0.17523701,0.25,0.24999999999999997,0.0,-0.2907609,0.13427329,3.55,3.5500000000000007,0.0,0.004209464,0.07517727,4.49,4.49,0.0,2a8b1d148acd67bb10e93abe1211393f264d78f08459ade4caba8041b6f90760;9c6ef1372de324832af1a3a11298ab0f70c60e7c6607f338577a7e844b51225e;fa918013c1409dc959ee826802f97650202fb62bb6eb8e25b1ec88c78be5c93e,651bd31d7043df9c137f91533c5bdeb0b7b1094a7b1c8a0afed862a2db455615
